head	structural_role_default_de	structural_role_evidence_channel	registered_prior_role	best_concrete_candidate_de	best_historical_lemma	best_candidate_score	best_candidate_decision	confidence	top_tied_candidate_ids	top_tie_count	second_candidate_de	third_candidate_de	relation_summary	observed_context_compatibility	inherited_prior_support	unobserved_identity_gates	observed_profile_counterevidence	unobserved_evidence_is_not_falsehood	literal_identity_selected	evidence_channels	source_provenance	hypothesis_not_plaintext	confirmed_lexeme	component_export_credit
chckhedy	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	DRY|PREPARATION|CLOSE|MIDDLE_STAGE|END_STAGE	Wasser|Salz|zerreibe|Gefäß	aqua|sal|tere|vas/olla/ampulla	4	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S04|S11|S17	4	Salz	zerreibe	NONE	AMOUNT_CONTACT_ANY|NONHERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	PRIOR_CLOSE|PRIOR_DRY|PRIOR_PREPARATION	MANUAL_VESSEL_OWNER_MULTI_FOLIO|PATIENT_MEDIUM_DURATION_OR_PROCESS|SALT_SPECIFIC_ANCHOR|SOLID_PATIENT_THEN_MIX_OR_SIEVE	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
chckhey	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	DRY|PREPARATION|MIDDLE_STAGE	Wasser|Wein|Salz|zerreibe|mische|Gefäß	aqua|vinum|sal|tere|misce|vas/olla/ampulla	4	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S02|S04|S11|S12|S17	6	Wein	Salz	NONE	AMOUNT_CONTACT_ANY|AMOUNT_CONTACT_RECURRENT|NONHERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	PRIOR_DRY|PRIOR_PREPARATION	MANUAL_VESSEL_OWNER_MULTI_FOLIO|MULTIPLE_PATIENTS_THEN_NEXT_STEP|PATIENT_MEDIUM_DURATION_OR_PROCESS|QUALIFIED_OR_ADMIN_MEDIUM|SALT_SPECIFIC_ANCHOR|SOLID_PATIENT_THEN_MIX_OR_SIEVE	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
cheal	Drogenmaterialkopf	INHERITED_SEMANTIC_PRIOR	DRY|MATERIAL|MIDDLE_STAGE	Wasser|Salz|Gefäß	aqua|sal|vas/olla/ampulla	4	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S04|S17	3	Salz	Gefäß	NONE	AMOUNT_CONTACT_ANY|NONHERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	DRY_INGREDIENT_PROXY|PRIOR_DRY|PRIOR_MATERIAL	MANUAL_VESSEL_OWNER_MULTI_FOLIO|PATIENT_MEDIUM_DURATION_OR_PROCESS|SALT_SPECIFIC_ANCHOR	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
cheeol	Drogenmaterialkopf	INHERITED_SEMANTIC_PRIOR	DRY|MATERIAL|END_STAGE	Wurzel|Samen|Holz	radix|semen|lignum	5	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S06|S08|S10	3	Samen	Holz	NONE	AMOUNT_CONTACT_ANY|HERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	PRIOR_MATERIAL	MANUAL_ROOT_OWNER_MULTI_FOLIO|MANUAL_SEED_OWNER_MULTI_FOLIO|MANUAL_WOOD_OWNER_MULTI_FOLIO|MULTI_NAME_INGREDIENT_LIST	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
cheo	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	DRY|PREPARATION	mische	misce	5	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_RANK	S12	1	Wasser	Wein	NONE	AMOUNT_CONTACT_RECURRENT|NEAR_AMOUNT_2_FOLIOS|NONHERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	PRIOR_PREPARATION	MULTIPLE_PATIENTS_THEN_NEXT_STEP	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_EXACT_LANDMARK_PROXIMITY|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|experiments/yolo/gdt809_record_conditioned_whole_head_semantic_tournament/src/LANDMARK_SPECS.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
cheor	Drogenteil oder Pflanzenmaterial	INHERITED_SEMANTIC_PRIOR	DRY|PART|MATERIAL	Öl|Salz|Blattgut|Wurzel|Samen|Pulver|mische|oberirdisches Kraut|opaker botanischer Ganzwortkopf	oleum|sal|folium/folia|radix|semen|pulvis|misce|herba|OPAQUE_BOTANICAL_HEAD	4	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S03|S04|S05|S06|S08|S09|S12|S19|S20	9	Salz	Blattgut	NONE	AMOUNT_CONTACT_ANY|AMOUNT_CONTACT_RECURRENT|NEAR_AMOUNT_2_FOLIOS|NEAR_CHOR_SHOR_2_FOLIOS|SOURCE_CONTENT_HEAD|VISUAL_MATERIAL_3	DRY_INGREDIENT_PROXY|PRIOR_DRY|PRIOR_MATERIAL	BOTANICAL_HEAD_DISCRIMINATING_SIGNATURE|MANUAL_AERIAL_HERB_OWNER_MULTI_FOLIO|MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_ROOT_OWNER_MULTI_FOLIO|MANUAL_SEED_OWNER_MULTI_FOLIO|MULTIPLE_PATIENTS_THEN_NEXT_STEP|MULTI_NAME_INGREDIENT_LIST|POWDER_SPECIFIC_ANCHOR|PRODUCED_RESULT_OR_MEASURED_MIXING_MEDIUM|SALT_SPECIFIC_ANCHOR	NONE	1	0	CACHED_VISUAL_CONTEXT_NOT_TOKEN_OWNER|OBSERVED_EXACT_LANDMARK_PROXIMITY|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|experiments/yolo/gdt791_thirty_page_visual_owner_spine/artifacts/GDT791_5866_OCCURRENCE_SPINE.tsv|experiments/yolo/gdt809_record_conditioned_whole_head_semantic_tournament/src/LANDMARK_SPECS.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
cheos	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	DRY|AMOUNT|PREPARATION	Wasser|Salz|Blattgut|Wurzel|Samen|Holz|zerreibe|oberirdisches Kraut|opaker botanischer Ganzwortkopf	aqua|sal|folium/folia|radix|semen|lignum|tere|herba|OPAQUE_BOTANICAL_HEAD	3	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S04|S05|S06|S08|S10|S11|S19|S20	9	Salz	Blattgut	NONE	AMOUNT_CONTACT_ANY|SOURCE_CONTENT_HEAD	PRIOR_DRY	BOTANICAL_HEAD_DISCRIMINATING_SIGNATURE|MANUAL_AERIAL_HERB_OWNER_MULTI_FOLIO|MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_ROOT_OWNER_MULTI_FOLIO|MANUAL_SEED_OWNER_MULTI_FOLIO|MANUAL_WOOD_OWNER_MULTI_FOLIO|MULTI_NAME_INGREDIENT_LIST|PATIENT_MEDIUM_DURATION_OR_PROCESS|SALT_SPECIFIC_ANCHOR|SOLID_PATIENT_THEN_MIX_OR_SIEVE	NONE	1	0	OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	0
cheoty	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	COLD|DRY|PREPARATION|BEGIN_STAGE	Wasser|Salz|zerreibe|Gefäß	aqua|sal|tere|vas/olla/ampulla	4	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S04|S11|S17	4	Salz	zerreibe	NONE	AMOUNT_CONTACT_ANY|NONHERBAL_DOMINANT_75|SOURCE_CONTENT_HEAD	PRIOR_DRY|PRIOR_PREPARATION	MANUAL_VESSEL_OWNER_MULTI_FOLIO|PATIENT_MEDIUM_DURATION_OR_PROCESS|SALT_SPECIFIC_ANCHOR|SOLID_PATIENT_THEN_MIX_OR_SIEVE	NONE	1	0	OBSERVED_CACHED_REGISTER_POSITION|OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv|transcription/voynich_cross_transcription_lines.tsv|transcription/voynich_zl3b_lines.tsv|transcription/voynich_zl3b_tokens.tsv	1	0	0
chofol	offenes Inhalts-/Wertfeld	INHERITED_SEMANTIC_PRIOR	OPEN_FIELD	Kälte-/Gradfeld	frigidum/gradus	2	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_RANK	S18	1	Wasser	Wein	NONE	SOURCE_VALUE_FIELD_HEAD	NONE	QUALITY_IDENTITY_DIRECTION_ANCHOR	NONE	1	0	SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt764_bounded_value_field_dispatch/artifacts/X_DAIIN_9_EXACT_BIGRAM_ATLAS.tsv	1	0	0
chokal	Zubereitungskopf	INHERITED_SEMANTIC_PRIOR	HOT|DRY|MATERIAL|PREPARATION|BEGIN_STAGE	Wasser|Salz|Blattgut|Wurzel|Samen|Holz|zerreibe|oberirdisches Kraut|opaker botanischer Ganzwortkopf	aqua|sal|folium/folia|radix|semen|lignum|tere|herba|OPAQUE_BOTANICAL_HEAD	3	EXPLORATORY_RIVAL__IDENTITY_GATE_UNOBSERVED	C0_EXPLORATORY_CONTEXT_TIE	S01|S04|S05|S06|S08|S10|S11|S19|S20	9	Salz	Blattgut	NONE	AMOUNT_CONTACT_ANY|SOURCE_CONTENT_HEAD	PRIOR_DRY|PRIOR_MATERIAL	BOTANICAL_HEAD_DISCRIMINATING_SIGNATURE|MANUAL_AERIAL_HERB_OWNER_MULTI_FOLIO|MANUAL_LEAF_OWNER_MULTI_FOLIO|MANUAL_ROOT_OWNER_MULTI_FOLIO|MANUAL_SEED_OWNER_MULTI_FOLIO|MANUAL_WOOD_OWNER_MULTI_FOLIO|MULTI_NAME_INGREDIENT_LIST|PATIENT_MEDIUM_DURATION_OR_PROCESS|SALT_SPECIFIC_ANCHOR|SOLID_PATIENT_THEN_MIX_OR_SIEVE	NONE	1	0	OBSERVED_INHERITED_ATTACHMENT_COORDINATES|SOURCE_POOL_MEMBERSHIP	experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_45_ATTACHMENT_ATLAS.tsv|experiments/yolo/gdt760_quantity_bilateral_content_attachment/artifacts/CONTENT_ANCHOR_35_CANDIDATE_DECK.tsv	1	0	0
