edge_id	event_id	head	signed_offset	axis	expanded_label	pivot_surface	carrier	page	physical_folio	locus	pivot_token_index	head_token_index	rank_stable_head	semantic_credit	component_export_credit
G809-OE0001	G808-E0009	sho	-1	L	0	shol	sh	f2v	f2v	f2v.2	4	3	1	0	0
G809-OE0002	G808-E0015	cthy	2	L	0	chol	ch	f3r	f3r	f3r.3	3	5	1	0	0
G809-OE0003	G808-E0035	sho	1	L	0	cthol	cth	f4v	f4v	f4v.8	3	4	1	0	0
G809-OE0004	G808-E0036	sheo	-2	L	0	chol	ch	f4v	f4v	f4v.10	4	2	1	0	0
G809-OE0005	G808-E0038	sho	-1	L	1	okeol	ok	f4v	f4v	f4v.12	3	2	1	0	0
G809-OE0006	G808-E0045	dal	-1	L	0	chol	ch	f5v	f5v	f5v.5	7	6	1	0	0
G809-OE0007	G808-E0067	cthy	1	L	0	cthol	cth	f7v	f7v	f7v.2	7	8	1	0	0
G809-OE0008	G808-E0068	sho	-2	L	0	shol	sh	f7v	f7v	f7v.4	7	5	1	0	0
G809-OE0009	G808-E0071	sho	2	L	0	shol	sh	f8r	f8r	f8r.14	3	5	1	0	0
G809-OE0010	G808-E0083	sho	-1	L	0	kchol	kch	f8v	f8v	f8v.7	2	1	1	0	0
G809-OE0011	G808-E0092	cthy	-2	L	0	shol	sh	f9r	f9r	f9r.5	6	4	1	0	0
G809-OE0012	G808-E0105	cthy	1	L	0	chol	ch	f10r	f10r	f10r.5	3	4	1	0	0
G809-OE0013	G808-E0110	qoty	-2	L	0	qokol	qok	f10v	f10v	f10v.6	6	4	1	0	0
G809-OE0014	G808-E0113	qoty	-1	L	0	chol	ch	f11r	f11r	f11r.3	2	1	1	0	0
G809-OE0015	G808-E0113	cthy	1	L	0	chol	ch	f11r	f11r	f11r.3	2	3	1	0	0
G809-OE0016	G808-E0118	qoty	-1	L	0	shol	sh	f11v	f11v	f11v.1	5	4	1	0	0
G809-OE0017	G808-E0137	cthy	1	L	0	chol	ch	f15r	f15r	f15r.3	5	6	1	0	0
G809-OE0018	G808-E0140	choky	-1	L	0	shol	sh	f15v	f15v	f15v.4	3	2	1	0	0
G809-OE0019	G808-E0142	cheor	-1	L	0	chol	ch	f15v	f15v	f15v.11	4	3	1	0	0
G809-OE0020	G808-E0142	cthy	2	L	0	chol	ch	f15v	f15v	f15v.11	4	6	1	0	0
G809-OE0021	G808-E0144	ody	2	L	0	kol	k	f16r	f16r	f16r.2	3	5	1	0	0
G809-OE0022	G808-E0155	olaiin	2	L	0	qokol	qok	f17r	f17r	f17r.4	3	5	1	0	0
G809-OE0023	G808-E0158	odaiin	1	L	0	okol	ok	f17v	f17v	f17v.2	4	5	1	0	0
G809-OE0024	G808-E0173	cheo	-2	L	1	oteol	ot	f17v	f17v	f17v.15	6	4	1	0	0
G809-OE0025	G808-E0179	cheor	-1	L	0	chol	ch	f17v	f17v	f17v.20	4	3	1	0	0
G809-OE0026	G808-E0179	sho	1	L	0	chol	ch	f17v	f17v	f17v.20	4	5	1	0	0
G809-OE0027	G808-E0203	cheo	-2	DY	1	cheody	ch	f20r	f20r	f20r.8	4	2	1	0	0
G809-OE0028	G808-E0208	cthy	2	DY	1	keody	k	f20v	f20v	f20v.9	2	4	1	0	0
G809-OE0029	G808-E0209	cthy	-1	L	0	chol	ch	f20v	f20v	f20v.9	5	4	1	0	0
G809-OE0030	G808-E0209	qoty	2	L	0	chol	ch	f20v	f20v	f20v.9	5	7	1	0	0
G809-OE0031	G808-E0233	cthy	-1	L	0	qokol	qok	f22v	f22v	f22v.8	3	2	1	0	0
G809-OE0032	G808-E0244	sho	-1	L	0	shol	sh	f23v	f23v	f23v.7	4	3	1	0	0
G809-OE0033	G808-E0245	sho	-2	L	0	qokol	qok	f23v	f23v	f23v.7	5	3	1	0	0
