paragraph_id	page	locus	line_number	paragraph_start	paragraph_end	section	language	hand	eva_clean	it2a_clean	rf1b_clean	whole_line_all_three_exact	token_count	confirmed_plaintext
JP01	f17r	f17r.4	4	1	0	H	A	1	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tchor shol qokol qor olaiin opydg rom ypchy ypaim	0	9	0
JP01	f17r	f17r.5	5	0	0	H	A	1	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	1	9	0
JP01	f17r	f17r.6	6	0	1	H	A	1	tsho qof cho qokcheor cheteg	tsho qofcho qokcheor chekeg	tsho qof cho qokcheor cheteg	0	5	0
JP02	f21r	f21r.8	8	1	0	H	A	1	fcho kshy otor sheol ocphal opsheas cthodaiin oty	fchokshy otor cheol ocphal opcheas cthodaiin oty	fchokshy otor sheol ocphal opsheas cthodaiin oty	0	8	0
JP02	f21r	f21r.9	9	0	0	H	A	1	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	okaiin sho tshaiin chkaiin shcthey cthody cthy s	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	0	9	0
JP02	f21r	f21r.10	10	0	0	H	A	1	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	totchy keor chyky qotaiin qotchol ty ctheey otaiin	0	9	0
JP02	f21r	f21r.11	11	0	0	H	A	1	shol chol shol tchol chcthy otyky shey yteol shody	shol chol shol tchol chcthy otyky shey yteol shody	shol chol shol tchol chcthy otyky shey yteol shody	1	9	0
JP02	f21r	f21r.12	12	0	1	H	A	1	ykeey chor sheey ysheol chor chol daiin chkaiin	ykeea chor sheey ysheol chor chol daiin chkaiin	ykee chor sheey sheol chor chol daiin chkaiin	0	8	0
JP03	f32v	f32v.7	7	1	0	H	A	1	ksho cphos she sheaiin otshcho r dain shckhy s odan	ksho cphor she sheaiin otshchor dain shckhy s odan	ksho cphos she sheaiin otshcho r daii shckhy s odan	0	10	0
JP03	f32v	f32v.8	8	0	0	H	A	1	otchol daiin daiin ctho daiin qotaiin otchy d shan	otchol daiin daiin ctho daiin qotaiin otchy d shar	otchol daiin daiin cthodaiin qotaiin otchy shan	0	9	0
JP03	f32v	f32v.9	9	0	0	H	A	1	qotchy cfhy skey chocthy daiin cthaiin daiin	qotchy cfhy skey chocthy daiin cthaiin daiin	qotchy cfhy skey chocthy daiin cthaiin daiin	1	7	0
JP03	f32v	f32v.10	10	0	0	H	A	1	sho keol chor chol daiin cpho l cthol da ar	sho keol chor chol daiin cphol cthol da ar	sho keol chor chol daiin cphol cthol da ar	0	10	0
JP03	f32v	f32v.11	11	0	1	H	A	1	ol sho chy	ol sho chy	ol sho chy	1	3	0
JP04	f29v	f29v.1	1	1	0	H	A	1	kooiin shor chetchy ol ls shytchy cthy shy cho shy daiin	kooiin shor chetchy olals shytchy cth y shy cho shy daiin	kooiin shor chetchy ol als shytchy cthyshy cho shy daiin	0	11	0
JP04	f29v	f29v.2	2	0	0	H	A	1	qotcheaiin s chol chol cthy chey cthold ytchor dary	qotcheaiin schol chol cthy chey cthold ytchor dary	qotcheaiin s chol chol cthy chey cthold ytchor dary	0	9	0
JP04	f29v	f29v.3	3	0	0	H	A	1	chol chol kor shey odaiin qotchy taiin s she otey sy	chol chol kor shey odaiin qotchy taiin s she otey sy	chol chol kor ey o aiin qotchy taiin s e otey sy	0	11	0
JP04	f29v	f29v.4	4	0	1	H	A	1	ysho otshy okaiin cthy oltchy s shot sho okaiin	ysho otshy okaiin cthy oltchy ctos shot sho okaiin	ysho otshy okaiin cthy oltchy s shot sho okaiin	0	9	0
