head_ed1_safe	population	head	axis	primary_unique_events	primary_contact_folios	base_contacts	expanded_contacts	haldane_log_or	absolute_haldane_log_or	direction	target_rotation_absolute_rank	target_rotation_denominator	leave_one_contact_folio_sign_agreement	weighted_base_contacts	weighted_expanded_contacts	weighted_haldane_log_or	weighted_direction_agrees	folio_disjoint_external_occurrences	folio_disjoint_external_folios	external_record_compatibility_mean_score	external_record_compatibility_direction	external_record_compatibility_direction_agrees	record_training_external_overlap_folios	record_training_external_overlap_occurrences	record_compatibility_not_independent_semantics	local_association_pass	relation_conditioned_record_head	literal_credit	component_export_credit
1	ED1_SAFE18	chckhedy	L	2	2	1	1	0.854610507233	0.854610507233	EXPANDED	16	25	0.5	1	1	0.854610507233	1	1	1	1.00969586186	EXPANDED	1	1	1	1	0	0	0	0
1	ED1_SAFE18	chckhedy	DY	2	2	2	0	-0.03984043376	0.03984043376	BASE	25	25	0	2	0	-0.03984043376	1	1	1	-0.411745843035	BASE	1	1	1	1	0	0	0	0
1	ED1_SAFE18	chckhey	L	2	2	1	1	0.854610507233	0.854610507233	EXPANDED	19	25	0.5	1	1	0.854610507233	1	18	17	0.662080429299	EXPANDED	1	17	18	1	0	0	0	0
1	ED1_SAFE18	chckhey	DY	3	3	2	1	1.06552863737	1.06552863737	EXPANDED	25	25	0.666666666667	2	1	1.06552863737	1	19	18	-0.448025396365	BASE	0	17	18	1	0	0	0	0
0	ED1_SAFE18	cheal	L	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
0	ED1_SAFE18	cheal	DY	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
0	ED1_SAFE18	cheeol	L	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
0	ED1_SAFE18	cheeol	DY	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
0	ED1_SAFE18	cheo	L	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
0	ED1_SAFE18	cheo	DY	0	0	0	0	NA	NA	REMOVED_ED1	NA	25	NA	NA	NA	NA	0	0	0	NA	NA	0	0	0	1	0	0	0	0
