surface	descriptive_de	recipe_de	working_default_de	confidence	positive_evidence	counterevidence	provenance	literal_credit	component_export_credit
cthy	Blattgut	Blattzutat	Blatt/Kraut	LOW_EXPLORATORY	Herbal concentration and recurring exact content-like contexts	Leaf versus aerial herb and opaque botanical entry unresolved; no direct word-to-leaf ownership	GDT625|GDT768	0	0
chor	Blütenstand	Blütenzutat	Blüten-/Samenstand	LOW_EXPLORATORY	Recurrent exact part-state candidate spans and parallel occurrence with cthy and shor	Flower and seed/fruit assignment tied; nominal role itself is a hypothesis	GDT759|GDT768	0	0
shor	Fruchtstand	Fruchtzutat	Frucht-/Blütenstand	LOW_EXPLORATORY	Parallel contexts and direct cthy chor shor sequence	Reversing chor and shor remains equally possible	GDT768	0	0
chol	trocken (Eigenschaft)	getrocknet (Zustand)	trocken; Eigenschaft/Zustand offen	LOW_EXPLORATORY	Exact chor chol daiin recurrence and complete-form state/value candidates	Constitutional dryness does not entail previous drying; literal repetition requires scope explanation	GDT625|GDT629|GDT759	0	0
shol	feucht (Eigenschaft)	feucht (Zustand)	feucht	LOW_EXPLORATORY	Inherited complete-whole contrast with chol	No confirmed moist identity and no automatic soaking operation	GDT625|GDT759	0	0
daiin	Grad III?	drei Portionen?	Wert III?; Grad/Menge lokal offen	LOW_EXPLORATORY	Repeated forms and value-like contexts; exact two-site chor chol daiin span	Numeric value and dimension remain hypotheses; adjacent repetitions retain separate positions	GDT629|GDT686|GDT759	0	0
dain	Grad II?	zwei Portionen?	Wert II?; Grad/Menge lokal offen	LOW_EXPLORATORY	Inherited whole-form value series	No independently recovered number or unit; alternate reading differs at selected occurrence	GDT686	0	0
dair	Anteil II?	Anteil II?	Anteil II?	LOW_EXPLORATORY	Whole-form fraction-series candidate	Not a secure number; old global root meaning retired	GDT768	0	0
okaiin	Zubereitung?	Zubereitung?	Zubereitung?	LOW_EXPLORATORY	Repeated exact whole in f29v.4 and inherited nominal carrier candidate	Same word need not designate same preparation or same batch	GDT625	0	0
otshy	kalt-feucht?	kalt-feucht?	kalt-feucht?	LOW_INHERITED_AXIS	Old complete-whole state interpretation adjacent to okaiin	Inherited axes are assumptions; no soaking or cooling action follows	GDT625	0	0
oltchy	kalt-trocken?	kalt-trocken?	kalt-trocken?	LOW_INHERITED_AXIS	Old complete-whole state interpretation adjacent to cthy	Inherited axes are assumptions; no drying action follows	GDT625	0	0
s	je?	je?	je?; Gleichanteile als Rivale	LOW_CONTEXT_DEPENDENT	Existing quantity-expression and list-context candidates	No s-plus-value expression in this selected paragraph set; terminal equal-parts remains optional	GDT759	0	0
ar	Anteil?	Anteil?	Anteil?	LOW_CONTEXT_DEPENDENT	Existing exact ar-plus-value constructions elsewhere in admitted cache	Bare ar here has no recovered value; unit or grammar remains open	GDT759	0	0
kooiin	Wurzelstockdroge?	Wurzelstockzutat?	Wurzelstockdroge?	LOW_SPARSE	Two previously inspected Herbal headings with conspicuous underground plant parts	General article or plant name remains possible; page-level evidence only	GDT625|GDT768	0	0
cthey	Droge Form I?	Droge Form I?	Droge Form I?	VERY_LOW_INHERITED_WHOLE	Existing exact-whole GDT768 working card at f17r.5	No free cthy or cth component meaning; numerical/form label is speculative	GDT768	0	0
qody	fertige Zubereitung?	fertige Zubereitung?	fertige Zubereitung?	VERY_LOW_INHERITED_WHOLE	Existing exact-whole GDT768 working card at f17r.5	Closure marker or different learned whole remains possible	GDT768	0	0
