locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	<SOURCE:chosaroshol>	<SOURCE:chosaroshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	<SOURCE:dakocth>	<SOURCE:dakocth>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	<SOURCE:sofal>	<SOURCE:sofal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	<SOURCE:pcheol> <SOURCE:sheod> <SOURCE:qocpheeckhy> <SOURCE:shodol> <SOURCE:cthdaoto> <SOURCE:ch> <SOURCE:qeos> <SOURCE:sheey> <SOURCE:chcthso> <SOURCE:s>	<SOURCE:pcheol> <SOURCE:sheod> <SOURCE:qocpheeckhy> <SOURCE:shodol> <SOURCE:cthdaoto> <SOURCE:ch> <SOURCE:qeos> <SOURCE:sheey> <SOURCE:chcthso> <SOURCE:s>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	<SOURCE:dsheor> <SOURCE:cthey> <SOURCE:qokeey> <SOURCE:oteey> <SOURCE:ykeeodain> <SOURCE:sorary> <SOURCE:daiin> <SOURCE:daiin> <SOURCE:deeamshol>	<SOURCE:dsheor> <SOURCE:cthey> <SOURCE:qokeey> <SOURCE:oteey> <SOURCE:ykeeodain> <SOURCE:sorary> <SOURCE:daiin> <SOURCE:daiin> <SOURCE:deeamshol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	<SOURCE:shor> <SOURCE:chkeey> <SOURCE:qoteey> <SOURCE:qokeody> <SOURCE:qoteold> <SOURCE:qokeol> <SOURCE:so> <SOURCE:raiin> <SOURCE:otal> <SOURCE:ykecho>	<SOURCE:shor> <SOURCE:chkeey> <SOURCE:qoteey> <SOURCE:qokeody> <SOURCE:qoteold> <SOURCE:qokeol> <SOURCE:so> <SOURCE:raiin> <SOURCE:otal> <SOURCE:ykecho>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	<SOURCE:dcheor> <SOURCE:shol> <SOURCE:qokeeol> <SOURCE:chor> <SOURCE:chol> <SOURCE:qokeeody> <SOURCE:dareu>	<SOURCE:dcheor> <SOURCE:shol> <SOURCE:qokeeol> <SOURCE:chor> <SOURCE:chol> <SOURCE:qokeeody> <SOURCE:dareu>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	<SOURCE:okeeos>	<SOURCE:okeeos>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	<SOURCE:shockhey>	<SOURCE:shockhey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	<SOURCE:orol>	<SOURCE:orol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.19	f100r	P	A	f100r.19|P01	olcheom	<SOURCE:olcheom>	<SOURCE:olcheom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.2	f100r	P	A	f100r.2|P01	sochorcfhy	<SOURCE:sochorcfhy>	<SOURCE:sochorcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.20	f100r	P	A	f100r.20|P01	oteol	<SOURCE:oteol>	<SOURCE:oteol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.21	f100r	P	A	f100r.21|P01|f100r.21|P02	otols	<SOURCE:otols>	<SOURCE:otols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.22	f100r	P	A	f100r.22|P01|f100r.22|P02|f100r.22|P03	folshody chol daiin fchodycheol cphol qotees shey oreso alcfhy	<SOURCE:folshody> <SOURCE:chol> <SOURCE:daiin> <SOURCE:fchodycheol> <SOURCE:cphol> <SOURCE:qotees> <SOURCE:shey> <SOURCE:oreso> <SOURCE:alcfhy>	<SOURCE:folshody> <SOURCE:chol> <SOURCE:daiin> <SOURCE:fchodycheol> <SOURCE:cphol> <SOURCE:qotees> <SOURCE:shey> <SOURCE:oreso> <SOURCE:alcfhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.23	f100r	P	A	f100r.23|P01|f100r.23|P02|f100r.23|P03	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	<SOURCE:soiin> <SOURCE:chol> <SOURCE:cphol> <SOURCE:shol> <SOURCE:shol> <SOURCE:qockhol> <SOURCE:chor> <SOURCE:chol> <SOURCE:sho> <SOURCE:keey> <SOURCE:cckhhy> <SOURCE:ykeeam>	<SOURCE:soiin> <SOURCE:chol> <SOURCE:cphol> <SOURCE:shol> <SOURCE:shol> <SOURCE:qockhol> <SOURCE:chor> <SOURCE:chol> <SOURCE:sho> <SOURCE:keey> <SOURCE:cckhhy> <SOURCE:ykeeam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
