source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
a	r	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	478	all nonselected groups stay in a literal source channel; restart mapping is unstable
b	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	3	all nonselected groups stay in a literal source channel; restart mapping is unstable
c	s	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	2989	all nonselected groups stay in a literal source channel; restart mapping is unstable
d	e	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	963	all nonselected groups stay in a literal source channel; restart mapping is unstable
e	n	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	3511	all nonselected groups stay in a literal source channel; restart mapping is unstable
f	c	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	23	all nonselected groups stay in a literal source channel; restart mapping is unstable
g	p	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	1	all nonselected groups stay in a literal source channel; restart mapping is unstable
h	i	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	2997	all nonselected groups stay in a literal source channel; restart mapping is unstable
i	u	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	293	all nonselected groups stay in a literal source channel; restart mapping is unstable
j	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
k	e	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	400	all nonselected groups stay in a literal source channel; restart mapping is unstable
l	t	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	74	all nonselected groups stay in a literal source channel; restart mapping is unstable
m	v	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	3	all nonselected groups stay in a literal source channel; restart mapping is unstable
n	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
o	d	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	862	all nonselected groups stay in a literal source channel; restart mapping is unstable
p	e	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	58	all nonselected groups stay in a literal source channel; restart mapping is unstable
q	y	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	1	all nonselected groups stay in a literal source channel; restart mapping is unstable
r	o	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	22	all nonselected groups stay in a literal source channel; restart mapping is unstable
s	a	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	28	all nonselected groups stay in a literal source channel; restart mapping is unstable
t	e	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	180	all nonselected groups stay in a literal source channel; restart mapping is unstable
u	x	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
v	m	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
x	h	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	1	all nonselected groups stay in a literal source channel; restart mapping is unstable
y	g	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	37	all nonselected groups stay in a literal source channel; restart mapping is unstable
z	f	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
<MANUAL_GROUP_BOUNDARY>	 	EXPLORATORY_DETERMINISTIC_KEY_NOT_POSTERIOR	CORE_OF_CHE_PREFIX_GROUP_ONLY	0	all nonselected groups stay in a literal source channel; restart mapping is unstable
