surface	default_de	rival_1_de	rival_2_de	rival_3_de	confidence_0_100_not_probability	confidence_label	lineage_sources	lineage_decision
ar	Anteil	Portion oder Teilmenge	Stoffklasse	Wertfeld	64	C1_ROLE_HEAD_C0_WORD	GDT693|GDT759|GDT789	BARE_COMPLETE_WHOLE_RELATIVE_SHARE_LEAD
qokar	heißer Anteil	heiße Teilmenge	heißes Wertfeld	gelernter technischer Name	52	C0_RECURRENT_WHOLE	GDT693|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
otar	kalter Zubereitungsanteil	kalte Teilmenge	kaltes Wertfeld	gelernter technischer Name	48	C0_RECURRENT_WHOLE	GDT693|GDT716|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
okar	Anteil des heißen Ansatzes	heiße Teilmenge	heißes Wertfeld	gelernter technischer Name	50	C0_RECURRENT_WHOLE	GDT693|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
char	trockener Anteil	trockene Teilmenge	Trockenklasse	gelernter technischer Name	48	C0_RECURRENT_WHOLE	GDT694|GDT716|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
qotar	kalter Anteil	kalte Teilmenge	kaltes Wertfeld	gelernter technischer Name	46	C0_RECURRENT_WHOLE	GDT693|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
kar	heißer Anteil	heiße Teilmenge	Wärmeklasse	gelernter technischer Name	50	C0_RECURRENT_WHOLE	GDT654|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
chear	trockener Anteil, mittlere Stufe	getrocknete Teilmenge	Trockenklasse, mittlere Stufe	gelernter technischer Name	44	C0_RECURRENT_WHOLE	GDT694|GDT724|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
tar	kalter Anteil	kalte Teilmenge	Kälteklasse	gelernter technischer Name	48	C0_RECURRENT_WHOLE	GDT693|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
shar	angefeuchteter Anteil	feuchte Teilmenge	Feuchteklasse	gelernter technischer Name	42	C0_RECURRENT_WHOLE	GDT662|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
shear	eingeweichter Anteil	feuchte Teilmenge	Feuchteklasse, mittlere Stufe	gelernter technischer Name	40	C0_RECURRENT_WHOLE	GDT669|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
chotar	abgekühlter trockener Anteil	kalte Trockenmenge	Trocken-/Kälteklasse	gelernter technischer Name	38	C0_RECURRENT_WHOLE	GDT694|GDT724|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
oar	Zubereitungsanteil	Teilmenge der Zubereitung	Zubereitungsklasse	gelernter technischer Name	42	C0_RECURRENT_WHOLE	GDT693|GDT716|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
chkar	heiß-getrockneter Anteil	heiß-getrocknete Teilmenge	Wärme-/Trockenklasse	gelernter technischer Name	40	C0_RECURRENT_WHOLE	GDT667|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
qoar	benannter Anteil	Teilmenge	Stoffklasse	gelernter technischer Name	34	C0_RECURRENT_WHOLE	GDT654|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
chekar	erhitzter trockener Anteil, mittlere Stufe	erhitzte Trockenmenge	Wärme-/Trockenklasse	gelernter technischer Name	38	C0_RECURRENT_WHOLE	GDT666|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
chokar	heiß-getrockneter Zubereitungsanteil	heiß-getrocknete Teilmenge	Wärme-/Trockenklasse	gelernter technischer Name	38	C0_RECURRENT_WHOLE	GDT666|GDT789	COMPLETE_WHOLE_PRIOR_NO_AR_EXPORT
arar	Anteil eines Anteils	zwei Anteilfelder	Anteil mit Wiederholungsmarker	gelernter technischer Name	32	C0_RECURSIVE_WHOLE	GDT693|GDT789	RECURSIVE_COMPLETE_WHOLE_NO_AR_EXPORT
otarar	Unteranteil des kalten Ansatzes	zwei Anteilfelder im Kälterahmen	kaltes Klassenfeld	gelernter technischer Name	38	C0_RECURRENT_WHOLE	GDT693|GDT716|GDT789	RECURSIVE_COMPLETE_WHOLE_NO_AR_EXPORT
