path	expected_sha256	use
experiments/yolo/gdt782_recurrent_six_target_external_field_adjudication/src/run.py	94b15ffaa293ea0dc55b7467fbada2c0d9bd0e9c636070d3e93b6857491389cc	guarded cache loader and axis patterns
experiments/yolo/gdt635_initial_head_same_remainder_swaps/artifacts/PAGE_ALLOWLIST.tsv	f0def5a04bd91443cf4770c78f1b67e62cac2060627d8de38faba27899188483	inherited 179-page allow-list
transcription/voynich_zl3b_tokens.tsv	6a061a26edc05ff37dc386c2215774c229a5ff087d3091e68bdd4983a6c007aa	guarded token source
transcription/voynich_cross_transcription_lines.tsv	ff3a4559004a29764c60102326de154b29fbba06a2a206bdd76d7feda432e16c	guarded alternate-reader source
transcription/voynich_zl3b_lines.tsv	7520dd4c11f4d23c8492e4b2a52cc0fcbda6d9fc88a96ead8f1c31081a4d7ed2	guarded line metadata source
transcription/voynich_stolfi25e1_lines.tsv	b4c83c18f8f814e547ab4a849dab8cf24188680fc512d9497885bdaa0d944988	guarded boundary sensitivity source
experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/V99R7_32339_COMPACT_CELL_REGISTER.tsv	47e8c7375503c2af7c95049392660de23556993ef78c1f24a10af6d9d7a1ed3c	cached cell semantics
experiments/yolo/gdt734_v99r7_recurrent_unknown_family_dispatch/artifacts/V99R7_1606_COMPLETE_WORD_CONFIDENCE.tsv	9646b8960840f0a6bb10985f0f9d7eef1237725f0763b712a96f0190aeaf7816	prior complete-whole cards and clean control candidates
experiments/yolo/gdt739_twelve_whole_local_dimension_dispatch/src/ANCHOR_AXIS_SPECS.tsv	0561329a79ce6c32e8eea4ca58a38e5a5f9602bf181beb79d741543b95aa2b53	semantic-axis regex registry
experiments/yolo/gdt746_whole_analogy_distribution_test/artifacts/CALIBRATION_782_CANDIDATE_KNOWN_SCORES.tsv	be2baabe82f18a650d55b387f0bb05504706239cdd0c11c8db33958c8cd1e06f	learned-whole reference universe
experiments/yolo/gdt788_dal_remainder_cross_family_transfer/src/model.py	0c41eb42b65b3df4dfda8f4e3e186968b3eaedfa4ac1f1822f6be7cd40e3c325	target-defined profile score helper
experiments/yolo/gdt788_dal_remainder_cross_family_transfer/artifacts/GDT788_996_SEMANTIC_LEAKAGE_MASK.tsv	fdb98630a6350e580f17e99deec51de10227eb30569ce8573329756a90be9e8f	inherited leakage-mask base
experiments/yolo/gdt735_historical_semantic_bridge_atlas/artifacts/HISTORICAL_SOURCE_ARCHITECTURE_MATRIX.tsv	8d9427ddd60a6db7bb0613da3c7769eb2e2efa45a543742e485bf2090630263d	historical record-architecture controls
tools/relation_edge_intake.py	fb8447470aa81ed608b90aedf7478893ddf6a445351aa12ab23c6fd725be3a47	relation packet validator
vmanus-exp	53b69eec8412b54d1248fd52d91c06e0eabc7f436b9015d0cfdb0746606c1528	guarded query and packet CLI
experiments/yolo/gdt654_ar_or_surface_consolidation/REPORT.md	ab9581f972c7007cbda02be1a999ddea9187833e6689d3e0fa04effbf1370fbe	AR/OR historical working contrast
experiments/yolo/gdt693_ar_head_semantic_tournament/REPORT.md	7c3b4ad0c18e0c36a069f316b74b216f68edff61eeb242a910a15daa957552b5	bare ar Anteil working prior
experiments/yolo/gdt724_v97_remaining_indexed_share_core_context_repair/REPORT.md	84e21b20d64002023b0c27d6afc7cc8cb00c55a3ea22ee71e1f475bc183628b8	no-free-ar correction
experiments/yolo/gdt759_quantity_part_state_construction_atlas/REPORT.md	322a0842c189fd3f3f2fd3384030781db1f6c3c4e147a324c18ddd5dafeda7d1	bare ar value-binding construction prior
experiments/yolo/gdt760_quantity_bilateral_content_attachment/REPORT.md	a58f98014700da93e4d8e3db2a8e7a16d94b110313649f0a7f2a7952a8d6cfdd	amount/content attachment prior
experiments/yolo/gdt788_dal_remainder_cross_family_transfer/REPORT.md	3ceba95e7d7e78c2e705dcfa132eb46abb815cd091436aa89d7d30b4a4b7cd1b	predecessor protocol and longest-tail partition
experiments/yolo/gdt789_ar_remainder_cross_family_transfer/src/DEFAULT_OVERRIDES.tsv	f4ea3fe58042778bdc33f45d0f5bd78e12eb13f2be1cc9bf0a81f626c204e1ba	complete-whole display overrides
