occurrence_id	page	locus	token_index	surface	quality_prefix	interfix	remainder	bare_cth_surface	in_inherited_cth_surface_deck	triple_exact_token_stable	triple_boundary_normalized	left_surface	right_surface	position	section	language	hand	working_material_de	interfix_semantics	surface_line
G632-O0001	f100v	f100v.19	4	chocthey	CH	O	ey	cthey	1	1	1	chockhy	keody	MIDDLE	P	A	1	trockene CTH-Materialform; Rest ey offen	OPEN	sain cheokeos chockhy chocthey keody choor chckhey du
G632-O0002	f102r1	f102r1.3	2	shocthy	SH	O	y	cthy	1	1	1	polaiin	qoteol	MIDDLE	P	A	1	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	polaiin shocthy qoteol loiiin oteeor cpheodar sholdaiin
G632-O0003	f102v1	f102v1.7	7	sheocthy	SH	EO	y	cthy	1	0	1	shockhsy	qokeody	MIDDLE	P	A	1	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	poaiin ockhey pchol doiin shey shockhsy sheocthy qokeody
G632-O0004	f103r	f103r.6	8	shcthy	SH	NONE	y	cthy	1	1	1	qokealdy	qotedy	MIDDLE	S	B	3	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	ocheey dain shek okeedy okey shedy qokealdy shcthy qotedy qoto ota san am
G632-O0005	f103r	f103r.14	12	chcthy	CH	NONE	y	cthy	1	1	1	eekain	qoky	MIDDLE	S	B	3	trockene CTH-Pflanzen-/Drogenmaterialform	OPEN	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky
G632-O0006	f103r	f103r.18	4	checthy	CH	E	y	cthy	1	1	1	okain	oteeylshedy	MIDDLE	S	B	3	trockene CTH-Pflanzen-/Drogenmaterialform	OPEN	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G632-O0007	f103r	f103r.22	8	chcthy	CH	NONE	y	cthy	1	1	1	qotar	chep	MIDDLE	S	B	3	trockene CTH-Pflanzen-/Drogenmaterialform	OPEN	dalshy okain shckhody shdal qokeedy shedy qotar chcthy chep ar otar opchy
G632-O0008	f103r	f103r.24	8	shcthy	SH	NONE	y	cthy	1	1	1	qotain	otey	MIDDLE	S	B	3	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G632-O0009	f103r	f103r.32	7	shcthy	SH	NONE	y	cthy	1	1	1	otedy	oraiin	MIDDLE	S	B	3	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	okeey shedy qokedy qokal shety otedy shcthy oraiin
G632-O0010	f103r	f103r.38	3	shcthy	SH	NONE	y	cthy	1	0	0	qokain	chckhy	MIDDLE	S	B	3	feuchte CTH-Pflanzen-/Drogenmaterialform	OPEN	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
