remainder	ch_none_surface	ch_none_occurrences	ch_none_pages	ch_none_triple_exact	ch_e_surface	ch_e_occurrences	ch_e_pages	ch_e_triple_exact	ch_o_surface	ch_o_occurrences	ch_o_pages	ch_o_triple_exact	ch_eo_surface	ch_eo_occurrences	ch_eo_pages	ch_eo_triple_exact	sh_none_surface	sh_none_occurrences	sh_none_pages	sh_none_triple_exact	sh_e_surface	sh_e_occurrences	sh_e_pages	sh_e_triple_exact	sh_o_surface	sh_o_occurrences	sh_o_pages	sh_o_triple_exact	sh_eo_surface	sh_eo_occurrences	sh_eo_pages	sh_eo_triple_exact	in_inherited_cth_surface_deck	occupied_cells	occupied_cell_ids	interfixes_with_both_quality_prefixes	total_occurrences
y	chcthy	75	53	69	checthy	26	17	24	chocthy	17	15	14	cheocthy	4	3	4	shcthy	29	17	26	shecthy	18	10	17	shocthy	10	10	10	sheocthy	3	3	2	1	8	CH_NONE|CH_E|CH_O|CH_EO|SH_NONE|SH_E|SH_O|SH_EO	4	182
ey	chcthey	7	7	6	checthey	3	3	3	chocthey	4	4	4	cheocthey	1	1	1	shcthey	4	4	4	shecthey	1	1	1	shocthey	1	1	1	sheocthey	0	0	0	1	7	CH_NONE|CH_E|CH_O|CH_EO|SH_NONE|SH_E|SH_O	3	21
edy	chcthedy	6	6	5	checthedy	2	2	1	chocthedy	1	1	0	cheocthedy	1	1	1	shcthedy	1	1	1	shecthedy	1	1	1	shocthedy	0	0	0	sheocthedy	0	0	0	1	6	CH_NONE|CH_E|CH_O|CH_EO|SH_NONE|SH_E	2	12
dy	chcthdy	7	7	4	checthdy	1	1	1	chocthdy	0	0	0	cheocthdy	0	0	0	shcthdy	1	1	1	shecthdy	0	0	0	shocthdy	0	0	0	sheocthdy	0	0	0	1	3	CH_NONE|CH_E|SH_NONE	1	9
ody	chcthody	3	3	3	checthody	0	0	0	chocthody	1	1	1	cheocthody	0	0	0	shcthody	0	0	0	shecthody	0	0	0	shocthody	1	1	1	sheocthody	0	0	0	1	3	CH_NONE|CH_O|SH_O	1	5
al	chcthal	2	2	2	checthal	1	1	1	chocthal	0	0	0	cheocthal	0	0	0	shcthal	1	1	1	shecthal	0	0	0	shocthal	0	0	0	sheocthal	0	0	0	1	3	CH_NONE|CH_E|SH_NONE	1	4
am	chctham	2	2	1	chectham	1	1	1	choctham	0	0	0	cheoctham	0	0	0	shctham	0	0	0	shectham	0	0	0	shoctham	0	0	0	sheoctham	1	1	1	1	3	CH_NONE|CH_E|SH_EO	0	4
o	chctho	3	3	3	chectho	0	0	0	choctho	0	0	0	cheoctho	0	0	0	shctho	0	0	0	shectho	0	0	0	shoctho	0	0	0	sheoctho	0	0	0	1	1	CH_NONE	0	3
BARE	chcth	2	2	2	checth	0	0	0	chocth	0	0	0	cheocth	0	0	0	shcth	0	0	0	shecth	0	0	0	shocth	0	0	0	sheocth	0	0	0	1	1	CH_NONE	0	2
ol	chcthol	1	1	0	checthol	0	0	0	chocthol	0	0	0	cheocthol	0	0	0	shcthol	0	0	0	shecthol	0	0	0	shocthol	1	1	1	sheocthol	0	0	0	1	2	CH_NONE|SH_O	0	2
aiin	chcthaiin	1	1	1	checthaiin	0	0	0	chocthaiin	0	0	0	cheocthaiin	0	0	0	shcthaiin	0	0	0	shecthaiin	0	0	0	shocthaiin	0	0	0	sheocthaiin	0	0	0	1	1	CH_NONE	0	1
ain	chcthain	1	1	1	checthain	0	0	0	chocthain	0	0	0	cheocthain	0	0	0	shcthain	0	0	0	shecthain	0	0	0	shocthain	0	0	0	sheocthain	0	0	0	1	1	CH_NONE	0	1
ar	chcthar	1	1	1	checthar	0	0	0	chocthar	0	0	0	cheocthar	0	0	0	shcthar	0	0	0	shecthar	0	0	0	shocthar	0	0	0	sheocthar	0	0	0	1	1	CH_NONE	0	1
d	chcthd	1	1	1	checthd	0	0	0	chocthd	0	0	0	cheocthd	0	0	0	shcthd	0	0	0	shecthd	0	0	0	shocthd	0	0	0	sheocthd	0	0	0	1	1	CH_NONE	0	1
ed	chcthed	1	1	1	checthed	0	0	0	chocthed	0	0	0	cheocthed	0	0	0	shcthed	0	0	0	shecthed	0	0	0	shocthed	0	0	0	sheocthed	0	0	0	0	1	CH_NONE	0	1
edchy	chcthedchy	0	0	0	checthedchy	0	0	0	chocthedchy	0	0	0	cheocthedchy	0	0	0	shcthedchy	0	0	0	shecthedchy	1	1	1	shocthedchy	0	0	0	sheocthedchy	0	0	0	0	1	SH_E	0	1
od	chcthod	1	1	1	checthod	0	0	0	chocthod	0	0	0	cheocthod	0	0	0	shcthod	0	0	0	shecthod	0	0	0	shocthod	0	0	0	sheocthod	0	0	0	1	1	CH_NONE	0	1
or	chcthor	1	1	1	checthor	0	0	0	chocthor	0	0	0	cheocthor	0	0	0	shcthor	0	0	0	shecthor	0	0	0	shocthor	0	0	0	sheocthor	0	0	0	1	1	CH_NONE	0	1
ory	chcthory	1	1	0	checthory	0	0	0	chocthory	0	0	0	cheocthory	0	0	0	shcthory	0	0	0	shecthory	0	0	0	shocthory	0	0	0	sheocthory	0	0	0	1	1	CH_NONE	0	1
ydain	chcthydain	1	1	0	checthydain	0	0	0	chocthydain	0	0	0	cheocthydain	0	0	0	shcthydain	0	0	0	shecthydain	0	0	0	shocthydain	0	0	0	sheocthydain	0	0	0	0	1	CH_NONE	0	1
ykedy	chcthykedy	1	1	0	checthykedy	0	0	0	chocthykedy	0	0	0	cheocthykedy	0	0	0	shcthykedy	0	0	0	shecthykedy	0	0	0	shocthykedy	0	0	0	sheocthykedy	0	0	0	0	1	CH_NONE	0	1
