occurrence_id	page	locus	surface	quality_prefix	interfix	remainder	zl3b_mode	it2a_mode	rf1b_mode	triple_exact_token_stable	triple_boundary_normalized	any_internal_split_reader
G632-O0001	f100v	f100v.19	chocthey	CH	O	ey	FUSED	FUSED	FUSED	1	1	0
G632-O0002	f102r1	f102r1.3	shocthy	SH	O	y	FUSED	FUSED	FUSED	1	1	0
G632-O0003	f102v1	f102v1.7	sheocthy	SH	EO	y	FUSED	SPLIT_QM	FUSED	0	1	1
G632-O0004	f103r	f103r.6	shcthy	SH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0005	f103r	f103r.14	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0006	f103r	f103r.18	checthy	CH	E	y	FUSED	FUSED	FUSED	1	1	0
G632-O0007	f103r	f103r.22	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0008	f103r	f103r.24	shcthy	SH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0009	f103r	f103r.32	shcthy	SH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0010	f103r	f103r.38	shcthy	SH	NONE	y	FUSED	FUSED	ABSENT_OR_DIFFERENT	0	0	0
G632-O0011	f103v	f103v.3	chcthy	CH	NONE	y	FUSED	FUSED	ABSENT_OR_DIFFERENT	0	0	0
G632-O0012	f103v	f103v.29	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0013	f104r	f104r.2	chcthedy	CH	NONE	edy	FUSED	FUSED	FUSED	1	1	0
G632-O0014	f104r	f104r.40	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0015	f104v	f104v.15	chocthy	CH	O	y	FUSED	FUSED	FUSED	1	1	0
G632-O0016	f104v	f104v.25	chcthy	CH	NONE	y	FUSED	ABSENT_OR_DIFFERENT	ABSENT_OR_DIFFERENT	0	0	0
G632-O0017	f106v	f106v.4	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0018	f106v	f106v.34	shcthy	SH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0019	f106v	f106v.43	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0020	f107v	f107v.4	shocthy	SH	O	y	FUSED	FUSED	FUSED	1	1	0
G632-O0021	f107v	f107v.15	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0022	f107v	f107v.35	chcthy	CH	NONE	y	FUSED	FUSED	FUSED	1	1	0
G632-O0023	f108v	f108v.10	chectham	CH	E	am	FUSED	FUSED	FUSED	1	1	0
G632-O0024	f108v	f108v.23	checthal	CH	E	al	FUSED	FUSED	FUSED	1	1	0
G632-O0025	f108v	f108v.48	checthy	CH	E	y	FUSED	FUSED	FUSED	1	1	0
G632-O0026	f10r	f10r.3	chocthy	CH	O	y	FUSED	FUSED	FUSED	1	1	0
