neighbor_id	occurrence_id	page	locus	part_surface	quality_prefix	interfix	quality_surface	quality_source	quality_axes	prefix_axis_relation	both_triple_stable	surface_line
G632-N001	G632-O0015	f104v	f104v.15	chocthy	CH	O	tolkshey	GDT625_TERMINAL_QUALITY	HOT|MOIST	OPPOSITE_PREFIX_AXIS	0	tolkshey chocthy qokeochy qokchy qotcheo qotcheo dlchd chedy tchdy qotchdy ram
G632-N002	G632-O0026	f10r	f10r.3	chocthy	CH	O	qotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	qotor o tchy daiin chocthy qotchy chol or yty dy dy
G632-N003	G632-O0045	f111v	f111v.20	shcthy	SH	NONE	qokshedy	GDT625_TERMINAL_QUALITY	HOT|MOIST	MATCHING_PREFIX_AXIS	1	shain qokal shar qoteal qotain chedy qotain shcthy qokshedy qotain ar
G632-N004	G632-O0058	f113r	f113r.32	chcthal	CH	NONE	okshedy	GDT625_TERMINAL_QUALITY	HOT|MOIST	OPPOSITE_PREFIX_AXIS	0	shodaiin shkaiin chcthal okshedy otal okaiin cphoal otain okaiin chedy qotal
G632-N005	G632-O0072	f115v	f115v.25	chcthy	CH	NONE	tchedy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	ykees aiin olkeeody qos ain cheodain chcthy tchedy qokeedy lkeedas
G632-N006	G632-O0073	f115v	f115v.33	chcthy	CH	NONE	qotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	ychedal qotchy chcthy chdal lchedy
G632-N007	G632-O0083	f15r	f15r.8	shocthy	SH	O	tol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	0	shocthy tol kaiin s dain ctholy
G632-N008	G632-O0085	f16r	f16r.12	shcthy	SH	NONE	kchy	GDT625_TERMINAL_QUALITY	DRY|HOT	OPPOSITE_PREFIX_AXIS	0	dy cho kchy shcthy shtshy sho tchokyd
G632-N009	G632-O0085	f16r	f16r.12	shcthy	SH	NONE	shtshy	GDT625_TERMINAL_QUALITY	COLD|MOIST	MATCHING_PREFIX_AXIS	1	dy cho kchy shcthy shtshy sho tchokyd
G632-N010	G632-O0090	f18r	f18r.9	chcthal	CH	NONE	chol	GDT628_BARE_OL_QUALITY	DRY	MATCHING_PREFIX_AXIS	1	chol chcthal okshal chykald
G632-N011	G632-O0091	f19v	f19v.4	chcthy	CH	NONE	qotol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	1	ytch chcthy qotol daiin daiin
G632-N012	G632-O0093	f20v	f20v.2	checthy	CH	E	otol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	1	sos ykoiin cheol chol choiin checthy otol chol chodaiin oty
G632-N013	G632-O0094	f20v	f20v.3	chcthy	CH	NONE	shol	GDT628_BARE_OL_QUALITY	MOIST	OPPOSITE_PREFIX_AXIS	0	okchy sho kchol shol chcthy qoty chy tolshy qotchy
G632-N014	G632-O0096	f20v	f20v.10	chocthy	CH	O	chol	GDT628_BARE_OL_QUALITY	DRY	MATCHING_PREFIX_AXIS	1	shokaiin chocthy chol daiin chy chor ety
G632-N015	G632-O0097	f21r	f21r.11	chcthy	CH	NONE	tchol	GDT628_BARE_OL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	shol chol shol tchol chcthy otyky shey yteol shody
G632-N016	G632-O0099	f22v	f22v.15	chocthy	CH	O	qokchy	GDT625_TERMINAL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	1	sho cthy chocthy qokchy dory
G632-N017	G632-O0102	f24v	f24v.8	chcthy	CH	NONE	shol	GDT628_BARE_OL_QUALITY	MOIST	OPPOSITE_PREFIX_AXIS	1	kochky chcthy shol sain
G632-N018	G632-O0103	f25r	f25r.4	shocthy	SH	O	ytchey	GDT625_TERMINAL_QUALITY	COLD|DRY	OPPOSITE_PREFIX_AXIS	1	dchckhy shocthy ytchey cthor s chan chaiin qotchain
G632-N019	G632-O0108	f29r	f29r.6	shocthy	SH	O	chokshy	GDT625_TERMINAL_QUALITY	HOT|MOIST	MATCHING_PREFIX_AXIS	1	chokshy shocthy shor shor daiin qokaiiin
G632-N020	G632-O0113	f30r	f30r.10	chctho	CH	NONE	qotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	chokchaiin dchor chkchean qotchy chctho rchody
G632-N021	G632-O0121	f34v	f34v.3	chcthy	CH	NONE	okchdy	GDT625_TERMINAL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	0	ytal shor chdal olchdy char or ol kedaiiin chcthy okchdy chckhy dasam
G632-N022	G632-O0123	f35v	f35v.5	chocthy	CH	O	dchokchy	GDT625_TERMINAL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	1	dchokchy chocthy chckhor
G632-N023	G632-O0130	f44v	f44v.3	shcthy	SH	NONE	otol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	1	tol okchor shcthy otol daiin cthy cthy
G632-N024	G632-O0133	f45r	f45r.3	chcthy	CH	NONE	kchol	GDT628_BARE_OL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	1	qo chcthy kchol daiin qoaiin cthy chaiin ykeey cthom
G632-N025	G632-O0137	f49v	f49v.6	chcthy	CH	NONE	chotchy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	chotchy chcthy cthey koddy
G632-N026	G632-O0146	f5r	f5r.3	chocthy	CH	O	otchy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	0	qoaiin otan chy daiin oteeeb chocthy otchy qotchody
G632-N027	G632-O0157	f75r	f75r.9	chcthy	CH	NONE	qokchdy	GDT625_TERMINAL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	1	qokchdy chcthy lo qokedy qokan checkhy qokar olchedy sal
G632-N028	G632-O0180	f79r	f79r.8	chcthy	CH	NONE	ykchedy	GDT625_TERMINAL_QUALITY	DRY|HOT	MATCHING_PREFIX_AXIS	1	qokol cheedy qokal shed ykchedy chcthy yoky qokal cholo
G632-N029	G632-O0186	f80r	f80r.18	shcthy	SH	NONE	qotol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	1	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam
G632-N030	G632-O0187	f80r	f80r.18	shecthy	SH	E	qotol	GDT628_BARE_OL_QUALITY	COLD	ORTHOGONAL_AXIS	1	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam
G632-N031	G632-O0231	f85r2	f85r2.1	chcthy	CH	NONE	otchdy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	odeedy otedy opaees ar chcthy otchdy otody otar chepaiin otodar otodaiin opaiin otaiin qopchas otchedy olkaiin odar aloees otchedy qotedaiin odar octhody shedaiin olaiin olfor daiin ol lkechch os aiin oteedy dar otees opaiin chcphdar
G632-N032	G632-O0234	f86v6	f86v6.29	chcthdy	CH	NONE	shol	GDT628_BARE_OL_QUALITY	MOIST	OPPOSITE_PREFIX_AXIS	1	dchedy chcthdy shol oky ytaiin ykaiin chedy dy dal shdaiin
G632-N033	G632-O0235	f86v6	f86v6.40	shcthdy	SH	NONE	qokol	GDT628_BARE_OL_QUALITY	HOT	ORTHOGONAL_AXIS	1	daiin ar qotal tshdy otar shcthdy qokol chotal kar ol kar alky
G632-N034	G632-O0247	f95r1	f95r1.6	chcthy	CH	NONE	qotchdy	GDT625_TERMINAL_QUALITY	COLD|DRY	MATCHING_PREFIX_AXIS	1	tchdor or chekchdy qokar chcthy qotchdy lshedy qoky qofain dy
G632-N035	G632-O0250	f95v1	f95v1.12	shcthy	SH	NONE	dolkchy	GDT625_TERMINAL_QUALITY	DRY|HOT	OPPOSITE_PREFIX_AXIS	1	shotshey s aiin ody olkchdy qotaiin shcthy dolkchy tchdaiin dal
G632-N036	G632-O0254	f99v	f99v.13	shocthy	SH	O	okol	GDT628_BARE_OL_QUALITY	HOT	ORTHOGONAL_AXIS	1	okoraiin okol shocthy qokor oloiram
