population	quality_prefix	interfix	e_slot	o_slot	expression_occurrences	expression_types	predicted_inner_head_family	occurrences_with_attested_inner_head	types_with_attested_inner_head	occurrences_with_same_page_inner_head	coverage_scope	inner_head_token_coverage	inner_head_type_coverage	attested_inner_heads	missing_inner_heads	morphological_composition	orthographic_boundary_default
FUSED_ONLY	CH	NONE	0	0	118	20	cth+R	115	17	27	GLOBAL_TYPE_DECK	0.9746	0.8500	cth|cthaiin|cthain|cthal|ctham|cthar|cthd|cthdy|cthedy|cthey|ctho|cthod|cthody|cthol|cthor|cthory|cthy	cthed|cthydain|cthykedy	ch+[cth+R]	ch | cth+R
FUSED_ONLY	CH	E	1	0	34	6	cth+R	34	6	2	GLOBAL_TYPE_DECK	1.0000	1.0000	cthal|ctham|cthdy|cthedy|cthey|cthy	NONE	ch+e+[cth+R]	che | cth+R
FUSED_ONLY	CH	O	0	1	23	4	o+cth+R	23	4	3	GLOBAL_TYPE_DECK	1.0000	1.0000	octhedy|octhey|octhody|octhy	NONE	ch+[o+cth+R]	cho | cth+R
FUSED_ONLY	CH	EO	1	1	6	3	o+cth+R	6	3	0	GLOBAL_TYPE_DECK	1.0000	1.0000	octhedy|octhey|octhy	NONE	ch+e+[o+cth+R]	cheo | cth+R
FUSED_ONLY	SH	NONE	0	0	36	5	cth+R	36	5	8	GLOBAL_TYPE_DECK	1.0000	1.0000	cthal|cthdy|cthedy|cthey|cthy	NONE	sh+[cth+R]	sh | cth+R
FUSED_ONLY	SH	E	1	0	21	4	cth+R	20	3	1	GLOBAL_TYPE_DECK	0.9524	0.7500	cthedy|cthey|cthy	cthedchy	sh+e+[cth+R]	she | cth+R
FUSED_ONLY	SH	O	0	1	13	4	o+cth+R	13	4	0	GLOBAL_TYPE_DECK	1.0000	1.0000	octhey|octhody|octhol|octhy	NONE	sh+[o+cth+R]	sho | cth+R
FUSED_ONLY	SH	EO	1	1	4	2	o+cth+R	4	2	0	GLOBAL_TYPE_DECK	1.0000	1.0000	octham|octhy	NONE	sh+e+[o+cth+R]	sheo | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	CH	NONE	0	0	118	20	cth+R	115	17	27	GLOBAL_TYPE_DECK	0.9746	0.8500	cth|cthaiin|cthain|cthal|ctham|cthar|cthd|cthdy|cthedy|cthey|ctho|cthod|cthody|cthol|cthor|cthory|cthy	cthed|cthydain|cthykedy	ch+[cth+R]	ch | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	CH	E	1	0	34	6	cth+R	34	6	2	GLOBAL_TYPE_DECK	1.0000	1.0000	cthal|ctham|cthdy|cthedy|cthey|cthy	NONE	ch+e+[cth+R]	che | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	CH	O	0	1	25	5	o+cth+R	25	5	3	GLOBAL_TYPE_DECK	1.0000	1.0000	octhedy|octhey|octhody|octhor|octhy	NONE	ch+[o+cth+R]	cho | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	CH	EO	1	1	8	4	o+cth+R	7	3	0	GLOBAL_TYPE_DECK	0.8750	0.7500	octhedy|octhey|octhy	octheey	ch+e+[o+cth+R]	cheo | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	SH	NONE	0	0	37	5	cth+R	37	5	9	GLOBAL_TYPE_DECK	1.0000	1.0000	cthal|cthdy|cthedy|cthey|cthy	NONE	sh+[cth+R]	sh | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	SH	E	1	0	22	5	cth+R	21	4	2	GLOBAL_TYPE_DECK	0.9545	0.8000	cthedy|cthey|cthol|cthy	cthedchy	sh+e+[cth+R]	she | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	SH	O	0	1	17	5	o+cth+R	17	5	0	GLOBAL_TYPE_DECK	1.0000	1.0000	octhey|octhody|octhol|octhos|octhy	NONE	sh+[o+cth+R]	sho | cth+R
INCLUSIVE_BOUNDARY_NORMALIZED	SH	EO	1	1	5	3	o+cth+R	5	3	0	GLOBAL_TYPE_DECK	1.0000	1.0000	octham|octhody|octhy	NONE	sh+e+[o+cth+R]	sheo | cth+R
