contact_id	occurrence_id	page	locus	part_surface	quality_prefix	interfix	remainder	quality_source	quality_surface	quality_axes	distance	order	prefix_axis_relation	both_triple_stable	working_part_de	working_quality_de	surface_line
G632-Q001	G632-O0006	f103r	f103r.18	checthy	CH	E	y	GDT627_MINIM_QUALITY_DEGREE	okain	HOT	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im o-Rahmen, Grad II	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G632-Q002	G632-O0006	f103r	f103r.18	checthy	CH	E	y	GDT627_MINIM_QUALITY_DEGREE	okain	HOT	2	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im o-Rahmen, Grad II	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G632-Q003	G632-O0006	f103r	f103r.18	checthy	CH	E	y	GDT627_MINIM_QUALITY_DEGREE	qokain	HOT	3	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im qo-Qualitätsrahmen, Grad II	polchedy qokeol okain checthy oteeylshedy okain qokain qokalshedy oteys
G632-Q004	G632-O0008	f103r	f103r.24	shcthy	SH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	qotain	COLD	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	feuchte CTH-Pflanzen-/Drogenmaterialform	kalt im qo-Qualitätsrahmen, Grad II	tchoky okeal shedy qokal oty opchedy qotain shcthy otey dain oteey oky
G632-Q005	G632-O0010	f103r	f103r.38	shcthy	SH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	qokain	HOT	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	0	feuchte CTH-Pflanzen-/Drogenmaterialform	heiß im qo-Qualitätsrahmen, Grad II	otechedy qokain shcthy chckhy lokeedy checkhy lokain shedy okeey
G632-Q006	G632-O0014	f104r	f104r.40	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	qotaiiin	COLD	2	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	kalt im qo-Qualitätsrahmen, Grad IV	olkeeos olkaiin oair qcthy oiinol al ly oeear chcthy olched qotaiiin
G632-Q007	G632-O0017	f106v	f106v.4	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	okain	HOT	1	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im o-Rahmen, Grad II	ycheoto lsheo aiin chcthy okain chdal chdam charam
G632-Q008	G632-O0020	f107v	f107v.4	shocthy	SH	O	y	GDT627_MINIM_QUALITY_DEGREE	qokain	HOT	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	feuchte CTH-Pflanzen-/Drogenmaterialform	heiß im qo-Qualitätsrahmen, Grad II	dain cheky okechy qokain shocthy otaiin alkaiin
G632-Q009	G632-O0020	f107v	f107v.4	shocthy	SH	O	y	GDT627_MINIM_QUALITY_DEGREE	otaiin	COLD	1	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	feuchte CTH-Pflanzen-/Drogenmaterialform	kalt im o-Rahmen, Grad III	dain cheky okechy qokain shocthy otaiin alkaiin
G632-Q010	G632-O0021	f107v	f107v.15	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	otain	COLD	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	kalt im o-Rahmen, Grad II	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
G632-Q011	G632-O0021	f107v	f107v.15	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	okain	HOT	3	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im o-Rahmen, Grad II	solain qokal okeey lkaiin okain chkal otain chcthy tarairy
G632-Q012	G632-O0022	f107v	f107v.35	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	qokaiin	HOT	3	PART_BEFORE_QUALITY	ORTHOGONAL_AXIS	1	trockene CTH-Pflanzen-/Drogenmaterialform	heiß im qo-Qualitätsrahmen, Grad III	polchedy olkeey lkey chcthy lkar shedy qokaiin chedy qokeedy lol
G632-Q013	G632-O0027	f10r	f10r.4	chcthy	CH	NONE	y	GDT627_MINIM_QUALITY_DEGREE	chaiin	DRY	1	QUALITY_BEFORE_PART	MATCHING_PREFIX_AXIS	1	trockene Blatt-/Krautmaterialform	trocken, Grad III	sor chaiin chcthy ctho ckhy or aiin chtchor doiir ody
G632-Q014	G632-O0039	f111r	f111r.53	chcthydain	CH	NONE	ydain	GDT627_MINIM_QUALITY_DEGREE	qokaiin	HOT	1	QUALITY_BEFORE_PART	ORTHOGONAL_AXIS	1	trockene CTH-Materialform; Rest ydain offen	heiß im qo-Qualitätsrahmen, Grad III	yshe aiin okshdy shkeey kain chaiin alolshey qokaiin chcthydain
