context_id	remainder	fixed_side	fixed_neighbor	cells	distinct_cells	occurrences	pages	surfaces	triple_exact_occurrences	loci
G632-OF001	y	RIGHT	<END>	CH_E|CH_EO|CH_NONE|CH_O|SH_NONE	5	14	14	chcthy|checthy|cheocthy|chocthy|shcthy	13	f106v.43|f111r.31|f114r.45|f2r.13|f31r.8|f34r.4|f49r.12|f5r.4|f79r.25|f80r.21|f81v.4|f88v.2|f93r.21|f95v1.13
G632-OF002	y	LEFT	qokain	CH_E|CH_NONE|SH_E|SH_NONE|SH_O	5	11	9	chcthy|checthy|shcthy|shecthy|shocthy	9	f103r.38|f107v.4|f113v.39|f116r.30|f75r.6|f78v.11|f79v.13|f80r.16|f80r.42|f80r.44|f83r.16
G632-OF003	y	RIGHT	daiin	CH_NONE|CH_O|SH_E|SH_EO|SH_NONE	5	7	7	chcthy|chocthy|shcthy|shecthy|sheocthy	4	f104v.25|f11v.2|f2v.3|f32v.9|f76v.4|f78v.11|f94v.8
G632-OF004	y	LEFT	daiin	CH_EO|CH_NONE|CH_O|SH_NONE	4	9	9	chcthy|cheocthy|chocthy|shcthy	8	f10r.3|f115r.17|f14v.3|f16v.8|f2r.13|f49r.12|f81v.4|f93r.21|f94v.12
G632-OF005	y	LEFT	qokal	CH_E|CH_NONE|CH_O|SH_E	4	6	4	chcthy|checthy|chocthy|shecthy	6	f113r.23|f76r.35|f80r.19|f80r.30|f80r.31|f80v.10
G632-OF006	y	LEFT	chedy	CH_E|CH_NONE|CH_O|SH_E	4	4	4	chcthy|checthy|chocthy|shecthy	4	f111v.39|f114r.45|f76r.24|f76v.12
G632-OF007	y	RIGHT	qokain	CH_E|CH_NONE|SH_E	3	7	2	chcthy|checthy|shecthy	7	f111v.39|f80r.14|f80r.18|f80r.19|f80r.30|f80r.42|f80r.42
G632-OF008	y	LEFT	qokaiin	CH_NONE|SH_E|SH_NONE	3	6	4	chcthy|shcthy|shecthy	6	f77r.26|f77v.31|f80v.3|f80v.10|f80v.17|f83r.14
G632-OF009	am	RIGHT	<END>	CH_E|CH_NONE|SH_EO	3	4	4	chctham|chectham|sheoctham	3	f108v.10|f111v.24|f58r.35|f95r2.8
G632-OF010	y	LEFT	<START>	CH_EO|CH_O|SH_O	3	4	4	cheocthy|chocthy|shocthy	4	f15r.8|f20v.7|f29r.4|f88v.2
G632-OF011	y	LEFT	okain	CH_E|CH_NONE|SH_E	3	4	4	chcthy|checthy|shecthy	4	f103r.18|f116r.24|f80r.33|f81r.7
G632-OF012	ey	RIGHT	oteody	CH_O|SH_E|SH_O	3	3	3	chocthey|shecthey|shocthey	3	f111r.18|f87r.9|f88v.19
