pair_id	interfix	remainder	ch_surface	sh_surface	ch_occurrences	sh_occurrences	ch_pages	sh_pages	ch_triple_exact	sh_triple_exact	in_inherited_cth_surface_deck	working_contrast_de
G632-P001	NONE	y	chcthy	shcthy	75	29	53	17	69	26	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P002	NONE	ey	chcthey	shcthey	7	4	7	4	6	4	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P003	NONE	dy	chcthdy	shcthdy	7	1	7	1	4	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P004	NONE	edy	chcthedy	shcthedy	6	1	6	1	5	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P005	NONE	al	chcthal	shcthal	2	1	2	1	2	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P006	E	y	checthy	shecthy	26	18	17	10	24	17	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P007	E	ey	checthey	shecthey	3	1	3	1	3	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P008	E	edy	checthedy	shecthedy	2	1	2	1	1	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P009	O	y	chocthy	shocthy	17	10	15	10	14	10	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P010	O	ey	chocthey	shocthey	4	1	4	1	4	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P011	O	ody	chocthody	shocthody	1	1	1	1	1	1	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
G632-P012	EO	y	cheocthy	sheocthy	4	3	3	3	4	2	1	trockene ↔ feuchte CTH-Materialform; Interfixbedeutung OPEN
