remainder	none_surface	none_occurrences	none_pages	none_triple_exact	e_surface	e_occurrences	e_pages	e_triple_exact	o_surface	o_occurrences	o_pages	o_triple_exact	eo_surface	eo_occurrences	eo_pages	eo_triple_exact	published_bare_cth_remainder
BARE	cth	4	4	2	ecth	0	0	0	octh	0	0	0	eocth	0	0	0	1
aiar	cthaiar	1	1	0	ecthaiar	0	0	0	octhaiar	0	0	0	eocthaiar	0	0	0	1
aiin	cthaiin	11	10	11	ecthaiin	0	0	0	octhaiin	0	0	0	eocthaiin	0	0	0	1
aildy	cthaildy	1	1	1	ecthaildy	0	0	0	octhaildy	0	0	0	eocthaildy	0	0	0	1
ain	cthain	4	3	4	ecthain	0	0	0	octhain	1	1	1	eocthain	0	0	0	1
al	cthal	7	5	5	ecthal	0	0	0	octhal	1	1	1	eocthal	0	0	0	1
am	ctham	1	1	1	ectham	0	0	0	octham	1	1	1	eoctham	0	0	0	1
an	cthan	2	2	2	ecthan	0	0	0	octhan	0	0	0	eocthan	0	0	0	1
ar	cthar	14	12	13	ecthar	0	0	0	octhar	0	0	0	eocthar	0	0	0	1
arad	ctharad	1	1	0	ectharad	0	0	0	octharad	0	0	0	eoctharad	0	0	0	1
aral	ctharal	1	1	0	ectharal	0	0	0	octharal	0	0	0	eoctharal	0	0	0	1
ay	cthay	1	1	0	ecthay	0	0	0	octhay	0	0	0	eocthay	0	0	0	1
d	cthd	1	1	1	ecthd	0	0	0	octhd	0	0	0	eocthd	0	0	0	1
daly	cthdaly	1	1	1	ecthdaly	0	0	0	octhdaly	0	0	0	eocthdaly	0	0	0	1
dy	cthdy	7	7	5	ecthdy	0	0	0	octhdy	2	2	2	eocthdy	0	0	0	1
e	cthe	1	1	0	ecthe	0	0	0	octhe	0	0	0	eocthe	0	0	0	1
ear	cthear	0	0	0	ecthear	0	0	0	octhear	1	1	0	eocthear	0	0	0	0
edy	cthedy	11	9	8	ecthedy	0	0	0	octhedy	1	1	0	eocthedy	0	0	0	1
eeb	ctheeb	1	1	0	ectheeb	0	0	0	octheeb	0	0	0	eoctheeb	0	0	0	1
eees	ctheees	1	1	1	ectheees	0	0	0	octheees	0	0	0	eoctheees	0	0	0	1
ees	cthees	1	1	1	ecthees	0	0	0	octhees	0	0	0	eocthees	0	0	0	1
eety	ctheety	1	1	1	ectheety	0	0	0	octheety	0	0	0	eoctheety	0	0	0	1
eey	ctheey	10	9	9	ectheey	0	0	0	octheey	0	0	0	eoctheey	0	0	0	1
eo	ctheo	2	2	0	ectheo	0	0	0	octheo	0	0	0	eoctheo	0	0	0	1
eod	ctheod	2	2	1	ectheod	0	0	0	octheod	0	0	0	eoctheod	0	0	0	1
eody	ctheody	4	4	4	ectheody	0	0	0	octheody	2	2	1	eoctheody	0	0	0	1
eol	ctheol	8	8	7	ectheol	0	0	0	octheol	1	1	1	eoctheol	0	0	0	1
eoly	ctheoly	1	1	1	ectheoly	0	0	0	octheoly	0	0	0	eoctheoly	0	0	0	1
eor	ctheor	4	4	3	ectheor	0	0	0	octheor	0	0	0	eoctheor	0	0	0	1
eos	ctheos	1	1	1	ectheos	0	0	0	octheos	0	0	0	eoctheos	0	0	0	1
er	cther	1	1	1	ecther	0	0	0	octher	0	0	0	eocther	0	0	0	1
