population	scope_type	scope	occurrences	none_occurrences	none_share	e_occurrences	e_share	o_occurrences	o_share	eo_occurrences	eo_share	dominant_interfix	diagnostic_de
FUSED_ONLY	SECTION	B	65	36	0.5538	29	0.4462	0	0.0000	0	0.0000	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	SECTION	C	2	2	1.0000	0	0.0000	0	0.0000	0	0.0000	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	SECTION	H	84	52	0.6190	5	0.0595	25	0.2976	2	0.0238	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	SECTION	P	7	1	0.1429	0	0.0000	4	0.5714	2	0.2857	O	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	SECTION	S	76	49	0.6447	17	0.2237	6	0.0789	4	0.0526	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	SECTION	T	21	14	0.6667	4	0.1905	1	0.0476	2	0.0952	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	LANGUAGE	A	74	40	0.5405	2	0.0270	28	0.3784	4	0.0541	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	LANGUAGE	B	181	114	0.6298	53	0.2928	8	0.0442	6	0.0331	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	HAND	1	71	38	0.5352	2	0.0282	28	0.3944	3	0.0423	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
FUSED_ONLY	HAND	2	94	56	0.5957	35	0.3723	2	0.0213	1	0.0106	NONE	E und O sind registergeprägte lokale Klassen; die Populationen halten fusionierte, all-reader-getrennte, konservativ normalisierte und inklusive linke Grenzen auseinander.
