case_id	page	locus	surface_clause	quality_prefix	interfix	working_reading_de	interfix_semantics	prefix_axis_relation	residual_policy
G632-C001	f103r	f103r.18	okain checthy	CH	E	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C002	f103r	f103r.24	qotain shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: kalt im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C003	f106v	f106v.4	chcthy okain	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C004	f107v	f107v.4	qokain shocthy	SH	O	feuchte CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C005	f107v	f107v.4	shocthy otaiin	SH	O	feuchte CTH-Pflanzen-/Drogenmaterialform: kalt im o-Rahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C006	f107v	f107v.15	otain chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: kalt im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C007	f10r	f10r.4	chaiin chcthy	CH	NONE	trockene Blatt-/Krautmaterialform: trocken, Grad III	OPEN	MATCHING_PREFIX_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C008	f111r	f111r.53	qokaiin chcthydain	CH	NONE	trockene CTH-Materialform; Rest ydain offen: heiß im qo-Qualitätsrahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C009	f111v	f111v.8	chcthey okain	CH	NONE	trockene CTH-Materialform; Rest ey offen: heiß im o-Rahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C010	f111v	f111v.20	qotain shcthy	SH	NONE	feuchte CTH-Pflanzen-/Drogenmaterialform: kalt im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C011	f111v	f111v.35	okaiin chcthy	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im o-Rahmen, Grad III	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
G632-C012	f111v	f111v.39	chcthy qokain	CH	NONE	trockene CTH-Pflanzen-/Drogenmaterialform: heiß im qo-Qualitätsrahmen, Grad II	OPEN	ORTHOGONAL_AXIS	kleinste sichtbare Klammer; übrige Tokens OPEN
