quality_prefix	interfix	section	occurrences	pages	types	triple_exact_occurrences	hands
CH	NONE	B	25	14	4	20	2
CH	NONE	C	2	2	1	2	2
CH	NONE	H	43	33	14	37	1|2|3
CH	NONE	P	1	1	1	0	1
CH	NONE	S	39	19	11	36	3|@
CH	NONE	T	8	5	5	7	2|5
CH	E	B	16	8	3	15	2
CH	E	H	4	4	2	3	1|2
CH	E	S	13	7	5	12	3|@
CH	E	T	1	1	1	1	2
CH	O	H	15	13	3	12	1|2
CH	O	P	2	2	1	2	1
CH	O	S	5	5	3	4	3
CH	O	T	1	1	1	1	2
CH	EO	H	1	1	1	1	1
CH	EO	P	1	1	1	1	1
CH	EO	S	3	2	2	3	3|@
CH	EO	T	1	1	1	1	2
SH	NONE	B	11	6	3	11	2
SH	NONE	H	9	9	3	9	1|2|3
SH	NONE	S	10	4	2	9	3
SH	NONE	T	6	3	2	4	2|5
SH	E	B	13	5	3	12	2
SH	E	H	1	1	1	1	1
SH	E	S	4	2	2	4	3
SH	E	T	3	2	1	3	2|5
SH	O	H	10	10	4	10	1
SH	O	P	2	2	1	2	1
SH	O	S	1	1	1	1	3
SH	EO	H	1	1	1	1	3
SH	EO	P	1	1	1	0	1
SH	EO	S	1	1	1	1	3
SH	EO	T	1	1	1	1	5
