event_id	page	record	statement_id	desk	semantic_component_parse	invariant_command_de	previous_parse	expected_card_no	selected_card_no	selection_reason	observed_surface	licensed_surfaces	card_selection_correct	surface_is_licensed
E008	f10r	H1	H1-S001	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	OT+Y+T+CH+OL	PROC008	PROC008	DEFAULT_CARD	oky	choky|oky|qoky	YES	YES
E011	f10r	H1	H1-S002	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	START	PROC011	PROC011	SR06_EXCEPTION	qokchy	chokchy|okchy|qokchy	YES	YES
E013	f10r	H1	H1-S002	P_PREPARATION_DESK	OL	FORTSETZEN	OT+CH+OL	PROC013	PROC013	DEFAULT_CARD	chol	cheol|chol|ol|qol|sol|tol	YES	YES
E027	f10r	H2	H2-S002	P_PREPARATION_DESK	OL	FORTSETZEN	OT+OL	PROC013	PROC013	DEFAULT_CARD	chol	cheol|chol|ol|qol|sol|tol	YES	YES
E029	f10r	H2	H2-S002	P_PREPARATION_DESK	OL	FORTSETZEN	OL+OR	PROC013	PROC013	DEFAULT_CARD	chol	cheol|chol|ol|qol|sol|tol	YES	YES
E044	f11r	H3	H3-S001	P_PREPARATION_DESK	SH+EE+Y	HALTEN · LANG · DIES	P+Y	PROC031	PROC031	DEFAULT_CARD	shey	cheey|shey	YES	YES
E052	f11r	H3	H3-S004	P_PREPARATION_DESK	OT+Y	DANACH · DIES	START	PROC036	PROC036	SR09_EXCEPTION	qotchy	qotchy	YES	YES
E053	f11r	H3	H3-S004	P_PREPARATION_DESK	OK+OL	ANSETZEN · FORTSETZEN	OT+Y	PROC037	PROC037	DEFAULT_CARD	okchol	okchol	YES	YES
E062	f55v	H4	H4-S002	P_PREPARATION_DESK	CHD+Y	UMSETZEN · DIES	AIIN	PROC042	PROC042	DEFAULT_CARD	chedy	chdy|chedy	YES	YES
E066	f55v	H4	H4-S003	P_PREPARATION_DESK	CHK+EE+Y	WAERMEN · LANG · DIES	CH+E+O+AR	PROC046	PROC046	DEFAULT_CARD	cheeky	cheeky	YES	YES
E081	f56r	H5	H5-S001	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	OT+CH+OR	PROC008	PROC008	DEFAULT_CARD	choky	choky|oky|qoky	YES	YES
E085	f56r	H5	H5-S002	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	HO+Y	PROC008	PROC008	DEFAULT_CARD	choky	choky|oky|qoky	YES	YES
E091	f56r	H5	H5-S004	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	START	PROC011	PROC011	SR06_EXCEPTION	okchy	chokchy|okchy|qokchy	YES	YES
E095	f56r	H5	H5-S005	P_PREPARATION_DESK	OK+Y	ANSETZEN · DIES	HO	PROC011	PROC011	SR06_EXCEPTION	chokchy	chokchy|okchy|qokchy	YES	YES
E098	f56r	H5	H5-S006	P_PREPARATION_DESK	OT+Y	DANACH · DIES	START	PROC065	PROC065	DEFAULT_CARD	otchey	otchey	YES	YES
E106	f81v	B1	B1-S002	B_BATH_DESK	OL	FORTSETZEN	AR	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E110	f81v	B1	B1-S002	B_BATH_DESK	OL	FORTSETZEN	AL	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E114	f81v	B1	B1-S002	B_BATH_DESK	OL	FORTSETZEN	OL+OR	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E120	f81v	B1	B1-S002	B_BATH_DESK	CHD+DY	UMSETZEN; SCHLUSS	CKH+Y	PROC076	PROC076	DEFAULT_CARD	schedy	dchedy|schedy|tchedy	YES	YES
E121	f81v	B1	B1-S003	B_BATH_DESK	OL	FORTSETZEN	START	PROC013	PROC013	DEFAULT_CARD	qol	cheol|chol|ol|qol|sol|tol	YES	YES
E123	f81v	B1	B1-S004	B_BATH_DESK	CHD+Y	UMSETZEN · DIES	START	PROC042	PROC042	DEFAULT_CARD	chedy	chdy|chedy	YES	YES
E124	f81v	B1	B1-S004	B_BATH_DESK	OL	FORTSETZEN	CHD+Y	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E131	f81v	B1	B1-S007	B_BATH_DESK	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	START	PROC082	PROC082	DEFAULT_CARD	qokchdy	qokchdy	YES	YES
E133	f81v	B1	B1-S008	B_BATH_DESK	OL	FORTSETZEN	Y	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E135	f81v	B1	B1-S008	B_BATH_DESK	OL	FORTSETZEN	CHK+E+Y	PROC013	PROC013	DEFAULT_CARD	ol	cheol|chol|ol|qol|sol|tol	YES	YES
E140	f81v	B1	B1-S011	B_BATH_DESK	OK+Y	ANSETZEN · DIES	CKH+Y	PROC008	PROC008	DEFAULT_CARD	qoky	choky|oky|qoky	YES	YES
E145	f81v	B1	B1-S014	B_BATH_DESK	CHD+Y	UMSETZEN · DIES	START	PROC042	PROC042	DEFAULT_CARD	chedy	chdy|chedy	YES	YES
