card_no	semantic_component_parse	invariant_command_de	occurrences	licensed_surfaces	default_surface	preparation_desk_surfaces	bath_desk_surfaces	station_desk_surfaces	records	surface_teaching_rule_de
PROC008	OK+Y	ANSETZEN · DIES	10	choky|oky|qoky	qoky	choky|oky	qoky	qoky	B1|B2|B3|B4|H1|H5	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC011	OK+Y	ANSETZEN · DIES	3	chokchy|okchy|qokchy	chokchy	chokchy|okchy|qokchy	NONE	NONE	H1|H5	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC013	OL	FORTSETZEN	19	cheol|chol|ol|qol|sol|tol	ol	chol	ol|qol	cheol|ol|sol|tol	B1|B3|B4|B5|B6|H1|H2	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC031	SH+EE+Y	HALTEN · LANG · DIES	4	cheey|shey	cheey	shey	cheey	shey	B2|B4|H3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC036	OT+Y	DANACH · DIES	1	qotchy	qotchy	qotchy	NONE	NONE	H3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC037	OK+OL	ANSETZEN · FORTSETZEN	1	okchol	okchol	okchol	NONE	NONE	H3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC042	CHD+Y	UMSETZEN · DIES	11	chdy|chedy	chedy	chedy	chedy	chdy|chedy	B1|B3|B4|B5|H4	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC046	CHK+EE+Y	WAERMEN · LANG · DIES	2	cheeky	cheeky	cheeky	NONE	cheeky	B4|H4	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC065	OT+Y	DANACH · DIES	2	otchey	otchey	otchey	NONE	otchey	B4|H5	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC076	CHD+DY	UMSETZEN; SCHLUSS	4	dchedy|schedy|tchedy	schedy	NONE	dchedy|schedy	schedy|tchedy	B1|B2|B3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC082	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	3	qokchdy	qokchdy	NONE	qokchdy	qokchdy	B1|B3|B5	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC091	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	2	okchedy|qokchedy	okchedy	NONE	okchedy	qokchedy	B1|B3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC094	CHD+DY	UMSETZEN; SCHLUSS	1	dchdy	dchdy	NONE	dchdy	NONE	B1	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC107	CHK+EE+Y	WAERMEN · LANG · DIES	1	chkeey	chkeey	NONE	chkeey	NONE	B2	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC115	OL	FORTSETZEN	1	ls	ls	NONE	ls	NONE	B2	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC133	CHD+Y	UMSETZEN · DIES	1	chedchy	chedchy	NONE	NONE	chedchy	B3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC145	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	2	otchedy|qotchedy	otchedy	NONE	NONE	otchedy|qotchedy	B3	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC157	SH+EE+Y	HALTEN · LANG · DIES	1	sheey	sheey	NONE	NONE	sheey	B4	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC160	OK+OL	ANSETZEN · FORTSETZEN	1	qokol	qokol	NONE	NONE	qokol	B4	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
PROC166	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	1	otchdy	otchdy	NONE	NONE	otchdy	B5	use the desk surface if listed; where several are listed copy the local exemplar; all licensed surfaces keep the same command
