event_serial	record_unit_id	page	locus	field_id	statement_id	event_index_in_record	surface_display_only	joint_tuple_id	formal_formula_opaque	terminal_status	selected_exact_mnemonic_unchanged	strict_formal_prompt	v63_event_template	v63_event_parse_status	v64_support_class	v63_statement_parse_status	v63_field_parse_status	v62_statement_pre_state	v62_statement_post_state	register_scope	v59_local_expansion_for_comparison	v64_local_source_expansion	local_expansion_level	unsupported_nouns_reference	strongest_nonmedical_field_reading	semantic_noninheritance	source_lineage
1	H1	f10r	f10r.2	F001	H1-S001	1	dchey	65f320e75510b2f38182	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	Nimm die faserige untere Wurzel	Nimm vom Bildbesitzer die faserige Unterwurzel	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
2	H1	f10r	f10r.2	F001	H1-S001	2	cthoor	dedc383b600397a301ee	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	wasche sie in fließendem Wasser	wasche sie in sauberem Wasser	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
3	H1	f10r	f10r.2	F001	H1-S001	3	char	4d4559019a961b834aa1	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	Daraus, aus demselben Ansatz	führe sie als denselben Arbeitsansatz weiter	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
4	H1	f10r	f10r.2	F001	H1-S001	4	chty	80ebbbbf238eee9f0aef	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	Gleichmäßig bearbeiten	zerteile sie gleichmäßig	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
5	H1	f10r	f10r.2	F001	H1-S001	5	os	df1098831679a8ad1b39	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	zerstoße sie zu grobem Pulver	zerstoße sie grob	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
6	H1	f10r	f10r.2	F001	H1-S001	6	chair	12efe866f335461823a6	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	gib Rotwein hinzu	gib Quellwasser hinzu	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
7	H1	f10r	f10r.2	F001	H1-S001	7	otytchol	62ff059766b21c7de083	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	trinke es bei Magenschmerz	lasse den Ansatz gelinde ziehen	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
8	H1	f10r	f10r.2	F001	H1-S001	8	oky	276a7c2d74d1143446f4	OPAQUE_PAYLOAD	NONCLOSE	ANWENDEN?	NONE	ACTION_APPLY	UNIQUE_EXACT	UNIQUE_EVENT_TEMPLATE;LOCAL_WORDING_AMBIGUOUS	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	Die aktive Portion verwenden	wende die aktive Portion an	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
9	H1	f10r	f10r.2	F001	H1-S001	9	daiin	2f1c5e56e8f0ff459065	OPAQUE_PAYLOAD	NONCLOSE	MASS?	VORGABEPARAMETER?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	UNIQUE_EVENT_TEMPLATE;LOCAL_WORDING_AMBIGUOUS	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	Ein vorgeschriebenes Maß	nach vorgeschriebenem Maß	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
10	H1	f10r	f10r.2	F001	H1-S001	10	etyd	a6939862e33ece5a0483	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	EXEMPLAR_ONLY	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	STATEMENT_ENVELOPE_ONLY;NO_EVENT_ORDER_INHERITANCE	bewahre die übrige Wurzel trocken auf	bewahre den übrigen Wurzelstoff trocken auf	CREATIVE_HERBAL_EXEMPLAR;NOT_CARD_VALUE	SEE_H1_RECORD_LEDGER	Wurzelprobe waschen, zerkleinern, wässern, abmessen und Rest lagern	EXACT_CARD_UNCHANGED;FORMAL_CONTROL_NOT_WORD;SURFACE_DISPLAY_ONLY	V53_SELECTED_VISUAL_OWNER>V60_SELECTED_EVENT>V61_SELECTED_STATEMENT>V62_SELECTED_REGISTER>V63_SELECTED_PARSE>V64_R1
