field_id	record_unit_id	page	locus	statement_id	field_position_in_statement	event_count	event_serials	v63_primary_template	v63_ordered_template_sequence	v63_parse_status_fixed	recognized_event_count	exemplar_only_event_count	register_pre_state_statement_envelope	register_post_state_statement_envelope	local_plant_input	complete_technical_field_reading	local_plant_output	iatromedical_field_comparator	comparison_winner_from_statement	strongest_technical_contradiction	opaque_roundtrip_trace	roundtrip_status	layer_contract	source_lineage
F001	H1	f10r	f10r.2	H1-S001	ONLY	10	1|2|3|4|5|6|7|8|9|10	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > ACTION_APPLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	2	8	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	H1-R01 sichtbarer Wurzelstock	Wurzelstock sammeln, waschen, sortieren, schneiden und in Wasser mazerieren; aktive Prüfportion am Musterstreifen einsetzen, Sollmaß buchen, Rest trocken lagern.	H1-P01 Prüfauszug + H1-R02 Trockenrest	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	IATROMEDICAL	Wasser, Musterstreifen und Auszugsfunktion sind lokale Annahmen.	E1@65f320e75510b2f38182:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E2@dedc383b600397a301ee:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E3@4d4559019a961b834aa1:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E4@80ebbbbf238eee9f0aef:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E5@df1098831679a8ad1b39:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E6@12efe866f335461823a6:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E7@62ff059766b21c7de083:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E8@276a7c2d74d1143446f4:ACTION_APPLY:EXACT_JOINT_TUPLE_MNEMONIC > E9@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_PLUS_FORMAL_CONVERGENT > E10@a6939862e33ece5a0483:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F002	H1	f10r	f10r.5	H1-S002	ONLY	4	11|12|13|14	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > EXEMPLAR_ONLY > LINK_ACTIVE > STATE_GATE	AMBIGUOUS	2	2	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	H1-P01 + H1-R02	Gelagerten Wurzelrest aufnehmen, zweiten Auszug erwärmen, formal an den laufenden Stand verknüpfen und als bereit freigeben.	H1-P02 freigegebener zweiter Wurzelauszug	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	TIE	Wärme und die Identität beider verknüpften Chargen sind nicht aus der Karte lesbar.	E11@9ad66e67803a12e745de:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E12@e8a6105b5c3a6220b440:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E13@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E14@e0b630cb1b5df5e7105b:STATE_GATE:EXACT_JOINT_TUPLE_MNEMONIC	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F003	H2	f10r	f10r.6	H2-S001	ONLY	9	15|16|17|18|19|20|21|22|23	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > STATE_GATE > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	3	6	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	H2-R01 sichtbare obere Pflanzenteile	Oberteile sammeln, quetschen, Pflanzenflüssigkeit auffangen, mit Wasser nachziehen, zusammenführen und nach Sollmenge buchen.	H2-P01 Press-/Nachauszug + H2-R02 Pressrest	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	TECHNICAL	Pressen, Wasser und oberirdischer Pflanzenteil sind Record-Expansion.	E15@7249edc4df3419c26999:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E16@e0b630cb1b5df5e7105b:STATE_GATE:EXACT_JOINT_TUPLE_MNEMONIC > E17@7a4bb8136330ee4e6e56:LINK_ACTIVE:EXACT_JOINT_TUPLE_MNEMONIC > E18@f3c23f42baf625639e1e:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E19@af816c04e65874a0f2fa:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E20@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E21@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E22@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_JOINT_TUPLE_MNEMONIC > E23@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F004	H2	f10r	f10r.8	H2-S002	ONLY	8	24|25|26|27|28|29|30|31	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > LINK_ACTIVE > EXEMPLAR_ONLY > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN > EXEMPLAR_ONLY	AMBIGUOUS	5	3	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	H2-P01 + frühe Fraktion H2-R03	Frühe Erntefraktion eröffnen, aktiven und vorigen Ansatz verknüpfen, Sollmenge abteilen und als Vergleich mazerieren.	H2-P02 frühe Vergleichscharge	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	TECHNICAL	Die frühe Erntezeit und Vergleichsfunktion sind nicht durch die exakten Karten festgelegt.	E24@10488b911aae52b3b334:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E25@7a4bb8136330ee4e6e56:LINK_ACTIVE:EXACT_JOINT_TUPLE_MNEMONIC > E26@497cbd9c7401810ff56b:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E27@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E28@dec401773c1f0347793d:SELECT_PREVIOUS:EXACT_JOINT_TUPLE_MNEMONIC > E29@dcda95c81a5460feb191:LINK_ACTIVE:STRICT_FORMAL_PROMPT_ONLY > E30@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_PLUS_FORMAL_CONVERGENT > E31@4d4559019a961b834aa1:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F005	H2	f10r	f10r.9	H2-S003	ONLY	7	32|33|34|35|36|37|38	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > LINK_ACTIVE > LINK_ACTIVE > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	2	5	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	H2-P02 + späte Fraktion H2-R04	Späte Fraktion als parallelen Ansatz führen, beide Auszüge gleich seihen, Farbe und Bodensatz vergleichen und verschlossen lagern.	H2-P02/H2-P03 gelagertes Vergleichspaar	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	TIE	Spätfraktion, Farbe und Lagerart sind stille technische Argumente.	E32@27d97af8c96eb056c2e6:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E33@7a4bb8136330ee4e6e56:LINK_ACTIVE:EXACT_JOINT_TUPLE_MNEMONIC > E34@7a4bb8136330ee4e6e56:LINK_ACTIVE:EXACT_JOINT_TUPLE_MNEMONIC > E35@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E36@409de02322e7b2ca0c62:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E37@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E38@834825c61d048a6b5628:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F006	H3	f11r	f11r.1	H3-S001	ONLY	7	39|40|41|42|43|44|45	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > STATE_GATE > EXEMPLAR_ONLY	AMBIGUOUS	1	6	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	H3-R01 sichtbares Blüten-/Krautlos	Junge Teile sortieren, quetschen, in Wasser mazerieren und zweimal seihen; bei KLAR?-Gate absetzen lassen und schließen.	H3-P01 geklärtes Filtrat + sortierte Nebenfraktion	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	TIE	Wasser, zweimaliges Seihen und die Farbextraktfunktion sind lokale Prozessannahmen.	E39@953ad19b79517fc8a211:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E40@428a5e3662aa57b4b256:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E41@bdad9f9ea8b80f141496:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E42@a8af08e69edab8e54f15:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E43@deb377381ceaf55ea310:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E44@b5df9126607030b95175:STATE_GATE:EXACT_JOINT_TUPLE_MNEMONIC > E45@2e2027b1951d79911e24:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F007	H3	f11r	f11r.1	H3-S002	ONLY	1	46	EXEMPLAR_ONLY	EXEMPLAR_ONLY	UNPARSED	0	1	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	H3-R01 Blütenkopf	Einen Blütenkopf als offene Referenzfraktion zurücklegen.	H3-R02 Referenzfraktion	behalte die Blütenkrone zurück	TECHNICAL	Das einzige Ereignis ist EXEMPLAR_ONLY; Referenzfunktion vollständig lokal.	E46@577c03a928d674d420d7:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F008	H3	f11r	f11r.4	H3-S003	ONLY	5	47|48|49|50|51	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY > PARAMETER_ASSIGN	AMBIGUOUS	1	4	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	H3-P01 geklärtes Filtrat	Filtrat wieder aufnehmen, auf drei Probengläser verteilen, Farbe und Niederschlag vermerken und das Sollmaß je Glas buchen.	H3-T03 dosierte Probenserie	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	IATROMEDICAL	Gläser, Farbe und Probensinn sind stille technische Argumente.	E47@d665560c8ff80799a82c:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E48@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E49@b2812c8283c3a62438bd:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E50@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E51@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_PLUS_FORMAL_CONVERGENT	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F009	H3	f11r	f11r.7	H3-S004	ONLY	4	52|53|54|55	COMPOSITE_SEQUENCE	EXEMPLAR_ONLY > EXEMPLAR_ONLY > STATE_GATE > EXEMPLAR_ONLY	AMBIGUOUS	1	3	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	H3-R03 Blattfraktion	Blattfraktion warm ausziehen, am BEREIT?-Gate freigeben und getrennt von der Referenzblüte verwahren.	H3-P02 bereiter getrennter Blattauszug	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	IATROMEDICAL	Warmer Auszug und getrennte Lagerung sind exemplarische Expansion.	E52@a48efd6c4491a046ba78:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E53@322281bd391aa621f568:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E54@e0b630cb1b5df5e7105b:STATE_GATE:EXACT_JOINT_TUPLE_MNEMONIC > E55@b921a237be883a820352:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
F010	H4	f55v	f55v.5	H4-S001	ONLY	5	56|57|58|59|60	COMPOSITE_SEQUENCE	PARAMETER_ASSIGN > PARAMETER_ASSIGN > EXEMPLAR_ONLY > EXEMPLAR_ONLY > EXEMPLAR_ONLY	AMBIGUOUS	2	3	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	H4-R01 sichtbare breite Blätter	Standardposten und Sollmaß setzen, Blätter waschen, schneiden und in Wasser mazerieren; erste Flotte absetzen und schließen.	H4-P01 erste abgesetzte Blattflotte	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	TECHNICAL	Wasser, Waschen und Blattflotte sind lokale Rohstoffannahmen.	E56@b5fcea1eaed06b2f2291:PARAMETER_ASSIGN:STRICT_FORMAL_PROMPT_ONLY > E57@2f1c5e56e8f0ff459065:PARAMETER_ASSIGN:EXACT_JOINT_TUPLE_MNEMONIC > E58@403c1592f918c8f23b88:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E59@d929a14ec45749b2e805:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER > E60@97cc9ac109148723c472:EXEMPLAR_ONLY:NO_LICENSED_TRIGGER	PASS_EXACT_OPAQUE_ID_SEQUENCE	V63_STATUS_UNCHANGED;V62_ENVELOPE_UNCHANGED;V64_WORDS_LOCAL_ONLY	V60_SELECTED_EVENTS>V63_SELECTED_FIELD_PARSE>V64_R3_PLANT_FIELD
