field_id	record_unit_id	page	locus	statement_id	v63_parse_status	v63_primary_template	selected_source_clause	technical_rival	unsupported_nouns	status
F001	H1	f10r	f10r.2	H1-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Nimm den gereinigten unteren Wurzelstock, zerstoße ihn, ziehe ihn in Wasser und Wein aus, gebrauche ein vorgeschriebenes Maß und verwahre den Rest.	Wurzelrohstoff reinigen, extrahieren, eine Standardcharge buchen und den Rest warm weiterverarbeiten.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F002	H1	f10r	f10r.5	H1-S002	AMBIGUOUS	COMPOSITE_SEQUENCE	Bereite aus demselben Ansatz eine zweite, nur gelinde erwärmte Anwendung.	Wurzelrohstoff reinigen, extrahieren, eine Standardcharge buchen und den Rest warm weiterverarbeiten.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F003	H2	f10r	f10r.6	H2-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Nimm vor voller Blüte die oberen Teile, zerquetsche sie und gewinne einen Ansatz; halte ein vorgeschriebenes Maß bereit.	Obere Pflanzenfraktion separat ausziehen, mit der Vorcharge verbinden und als öligen Werkstoff lagern.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F004	H2	f10r	f10r.8	H2-S002	AMBIGUOUS	COMPOSITE_SEQUENCE	Verbinde einen Anteil dieses Ansatzes mit dem Vorigen und derselben Maßvorgabe.	Obere Pflanzenfraktion separat ausziehen, mit der Vorcharge verbinden und als öligen Werkstoff lagern.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F005	H2	f10r	f10r.9	H2-S003	AMBIGUOUS	COMPOSITE_SEQUENCE	Bearbeite die beiden angesetzten Fraktionen mit Öl und verwahre sie als äußerliche Bereitung.	Obere Pflanzenfraktion separat ausziehen, mit der Vorcharge verbinden und als öligen Werkstoff lagern.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F006	H3	f11r	f11r.1	H3-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Sammle junge Blätter und Blüten am schattigen Ort, presse den Auszug zweimal durch Tuch und prüfe ihn auf Klarheit.	Schattenkraut in klare Flüssig- und weiche Festfraktion trennen und getrennt verwahren.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F007	H3	f11r	f11r.1	H3-S002	UNPARSED	EXEMPLAR_ONLY	Behalte einen Teil der Blütenkrone getrennt zurück.	Schattenkraut in klare Flüssig- und weiche Festfraktion trennen und getrennt verwahren.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F008	H3	f11r	f11r.4	H3-S003	AMBIGUOUS	COMPOSITE_SEQUENCE	Nimm vom abgebildeten Simplex ein Maß und binde den warmen Brei auf eine geschwollene Stelle.	Schattenkraut in klare Flüssig- und weiche Festfraktion trennen und getrennt verwahren.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F009	H3	f11r	f11r.7	H3-S004	AMBIGUOUS	COMPOSITE_SEQUENCE	Bereite die übrigen Teile als warmen Umschlag und wende sie an, sobald sie bereit sind.	Schattenkraut in klare Flüssig- und weiche Festfraktion trennen und getrennt verwahren.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
F010	H4	f55v	f55v.5	H4-S001	AMBIGUOUS	COMPOSITE_SEQUENCE	Setze ein vorgeschriebenes Maß frischer breiter Blätter in Wein oder Wasser an und lasse es ausziehen.	Breitblatt-Rohstoff in Waschflotte und gebundene weiche Restfraktion aufteilen.	plant identity|plant part|medium|application site|ailment|quantity unit	COMPLETE_CREATIVE_FIELD_READING
