statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_loci	constituent_fields	event_count	event_serials	entry_boundary_class	exit_boundary_class	internal_cross_line_boundaries	v63_parse_status	v64_support_class	licensed_primitive_sequence	recognized_event_count	exemplar_only_event_count	v62_pre_state	v62_operations	v62_post_state	v64_german_clause	exact_unsupported_nouns	unsupported_actions_or_relations	revision_from_v59_v53	strongest_local_alternative	semantic_boundary	source_lineage
H1-S001	H1	f10r	1	f10r.2	F001	10	1|2|3|4|5|6|7|8|9|10	RECORD_START	RESUME_ACTIVE_ITEM	NONE	AMBIGUOUS	AMBIGUOUS	ACTION_APPLY > PARAMETER_ASSIGN	2	8	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:INTRODUCE;PREVIOUS:INTRODUCE	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Nimm vom Bildbesitzer die faserige Unterwurzel, wasche und zerstoße sie, setze sie mit Quellwasser an, wende eine vorgeschriebene Portion an und bewahre den übrigen Wurzelstoff trocken auf.	Unterwurzel;Quellwasser;Wurzelstoff	waschen;zerstoßen;ansetzen;trocken aufbewahren	Magenschmerz und Rotwein entfernt; Anwendung und Maß bleiben die einzigen exakten semantischen Prompts.	erste Feldzelle als Überschrift oder Material-/Farbprobenbuchung statt Arzneiklausel	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H1-S002	H1	f10r	2	f10r.5	F002	4	11|12|13|14	RESUME_ACTIVE_ITEM	RECORD_END	NONE	AMBIGUOUS	AMBIGUOUS	LINK_ACTIVE > STATE_GATE	2	2	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	OWNER:CARRY;ACTIVE:RESUME;TARGET:CARRY;PREVIOUS:RESUME	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Für einen zweiten Gebrauch nimm dieselbe Flüssigkeit wieder auf, erwärme sie nur handwarm, verbinde sie mit dem vorigen Ansatz und verwende sie, sobald sie bereit ist.	Flüssigkeit;zweiter Gebrauch	erwärmen;verwenden	V61-RESUME und V62-PREVIOUS ersetzen die frühere lose zweite Satzfolge.	warme zweite Färberprobe oder bloße Fortsetzungsrubrik	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H2-S001	H2	f10r	1	f10r.6	F003	9	15|16|17|18|19|20|21|22|23	RECORD_START	RESUME_ACTIVE_ITEM	NONE	AMBIGUOUS	AMBIGUOUS	STATE_GATE > LINK_ACTIVE > PARAMETER_ASSIGN	3	6	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:RESET	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	Nimm die oberen jungen Teile derselben Bildpflanze, setze daraus einen frischen Ansatz an, gib den ausgepressten Saft hinzu, lasse ihn gelinde einkochen und teile eine vorgeschriebene Portion ab.	Oberteile;Pflanzensaft	nehmen;pressen;einkochen;abteilen	Habitatbehauptung entfernt; die Klausel wird als erste Charge statt als Pflanzenbeschreibung gelesen.	erste Pigment- oder Färbercharge aus oberen Pflanzenteilen	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H2-S002	H2	f10r	2	f10r.8	F004	8	24|25|26|27|28|29|30|31	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	NONE	AMBIGUOUS	AMBIGUOUS	LINK_ACTIVE > LINK_ACTIVE > SELECT_PREVIOUS > LINK_ACTIVE > PARAMETER_ASSIGN	5	3	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER:CARRY;ACTIVE:RESUME;TARGET:CARRY;PREVIOUS:RESUME	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	Nimm eine kleine Handvoll vom vorigen Ansatz, verbinde beide Arbeitsanteile in vorgeschriebenem Maß und rühre sie zu einer gleichmäßigen Masse.	Handvoll;Arbeitsanteile;Masse	nehmen;verbinden;rühren	VORIGES? und die beiden formalen Links werden auf den anonymen PREVIOUS-Slot begrenzt.	zwei Chargen eines Materialregisters werden zusammengebucht, nicht physisch gemischt	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H2-S003	H2	f10r	3	f10r.9	F005	7	32|33|34|35|36|37|38	NEXT_PARALLEL_CELL	RECORD_END	NONE	AMBIGUOUS	AMBIGUOUS	LINK_ACTIVE > LINK_ACTIVE	2	5	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	OWNER:CARRY;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:INTRODUCE	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	Wenn sich die Blüten öffnen, beginne eine Schlusscharge, führe den Ansatz ein zweites Mal weiter, lasse ihn bis zu kräftiger Bitterkeit ziehen und bewahre die abgeteilte Portion unter Öl auf.	Blüten;Schlusscharge;Bitterkeit;Öl	beginnen;ziehen;abteilen;aufbewahren	Die doppelte ANSATZ?-Folge bleibt sichtbar und wird nicht zu zwei neuen Kartenbedeutungen zerlegt.	doppelte Kategorienmarke oder Kopierwiederholung vor einer Lagerbuchung	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H3-S001	H3	f11r	1	f11r.1	F006	7	39|40|41|42|43|44|45	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	AMBIGUOUS	AMBIGUOUS	STATE_GATE	1	6	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:INTRODUCE;PREVIOUS:RESET	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	Sammle Blüten und junge Blätter am schattigen Standort kurz vor voller Blüte, zerquetsche und presse sie durch ein Tuch, seihe den Auszug zweimal, bis er klar ist, und lasse ihn abkühlen.	Blüten;Blätter;Schattenstandort;Tuch;Auszug	sammeln;zerquetschen;pressen;seihen;abkühlen	Wein entfällt; KLAR? bleibt ein Zustandsanker ohne ausgeschriebene Filterbedingung.	Herstellung eines geklärten Blütenfarbstoffs	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H3-S002	H3	f11r	2	f11r.1	F007	1	46	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	NONE	UNPARSED	EXEMPLAR_ONLY	NONE	0	1	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	OWNER:CARRY;ACTIVE:CARRY;TARGET:CARRY;PREVIOUS:INTRODUCE	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	Behalte den Presskuchen als vorigen Posten zurück.	Presskuchen;Posten	zurückbehalten	Der Ein-Ereignis-Satz wird ausdrücklich als vollständig exemplar-only geführt.	bloße Trenn- oder Ablagemarke im Musterbuch	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H3-S003	H3	f11r	3	f11r.4	F008	5	47|48|49|50|51	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	NONE	AMBIGUOUS	AMBIGUOUS	PARAMETER_ASSIGN	1	4	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	OWNER:CARRY;ACTIVE:RESUME;TARGET:INTRODUCE;PREVIOUS:CARRY	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	Nimm vom zurückbehaltenen Material eine vorgeschriebene Portion und binde sie als Umschlag auf die geschwollene Hautstelle.	Material;Portion;Umschlag;Hautstelle	nehmen;binden;auflegen	MASS? liefert nur den Parameterprompt; Körperstelle und Umschlag bleiben Exemplarnomen.	abgemessene Farbprobe auf einen Testträger aufbringen	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H3-S004	H3	f11r	4	f11r.7	F009	4	52|53|54|55	NEXT_PARALLEL_CELL	RECORD_END	NONE	AMBIGUOUS	AMBIGUOUS	STATE_GATE	1	3	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	OWNER:CARRY;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:INTRODUCE	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	Bereite aus frischen Blättern einen zweiten warmen Umschlag und verwende ihn, sobald er bereit ist.	Blätter;Umschlag	bereiten;erwärmen;verwenden	NEXT_PARALLEL_CELL eröffnet I003; BEREIT? benennt nur das Gate, nicht Wärme oder Anwendung.	zweite warme Pigment- oder Leimprobe	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
H4-S001	H4	f55v	1	f55v.5	F010	5	56|57|58|59|60	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	NONE	AMBIGUOUS	AMBIGUOUS	PARAMETER_ASSIGN > PARAMETER_ASSIGN	2	3	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER:INTRODUCE;ACTIVE:INTRODUCE;TARGET:RESET;PREVIOUS:RESET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	Beginne einen standardisierten Blattposten, nimm ein vorgeschriebenes Maß frischer Blätter, zerstoße sie, gib weißen Wein hinzu und lasse den Ansatz zugedeckt ziehen.	Blattposten;Blätter;Weißwein;Ansatz	zerstoßen;zugeben;ziehen	Standard- und exakter Maßslot bleiben zwei getrennte Kanäle; Weißwein wird nur lokal ergänzt.	standardisierte Blattflotte für Färberei oder Lederbehandlung	CLAUSE_IS_LOCAL_EXEMPLAR;NO_NOUN_OR_ACTION_BACKFILLS_A_CARD	V61_SELECTED_CLAUSE>V62_SELECTED_REGISTERS>V63_SELECTED_PARSE>V64_R1
