event_serial	page	record_unit_id	locus	field_id	statement_id	surface_display_only	joint_tuple_id	selected_exact_mnemonic	v63_event_template	v63_event_parse_status	v64_r4_local_source_expansion	expansion_source	semantic_status
1	f10r	H1	f10r.2	F001	H1-S001	dchey	65f320e75510b2f38182	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Nimm die faserige untere Wurzel	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
2	f10r	H1	f10r.2	F001	H1-S001	cthoor	dedc383b600397a301ee	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	wasche sie in fließendem Wasser	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
3	f10r	H1	f10r.2	F001	H1-S001	char	4d4559019a961b834aa1	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Daraus, aus demselben Ansatz	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
4	f10r	H1	f10r.2	F001	H1-S001	chty	80ebbbbf238eee9f0aef	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	Gleichmäßig bearbeiten	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
5	f10r	H1	f10r.2	F001	H1-S001	os	df1098831679a8ad1b39	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	zerstoße sie zu grobem Pulver	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
6	f10r	H1	f10r.2	F001	H1-S001	chair	12efe866f335461823a6	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gib Rotwein hinzu	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
7	f10r	H1	f10r.2	F001	H1-S001	otytchol	62ff059766b21c7de083	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	trinke es bei Magenschmerz	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
8	f10r	H1	f10r.2	F001	H1-S001	oky	276a7c2d74d1143446f4	ANWENDEN?	ACTION_APPLY	UNIQUE_EXACT	Den aktiven Anteil anwenden	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
9	f10r	H1	f10r.2	F001	H1-S001	daiin	2f1c5e56e8f0ff459065	MASS?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	Ein vorgeschriebenes Maß	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
10	f10r	H1	f10r.2	F001	H1-S001	etyd	a6939862e33ece5a0483	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	bewahre die übrige Wurzel trocken auf	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
11	f10r	H1	f10r.5	F002	H1-S002	qokchy	9ad66e67803a12e745de	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gebrauche die frisch bereitete Arznei	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
12	f10r	H1	f10r.5	F002	H1-S002	qotchol	e8a6105b5c3a6220b440	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	wende sie warm an	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
13	f10r	H1	f10r.5	F002	H1-S002	chol	dcda95c81a5460feb191	UNKNOWN	LINK_ACTIVE	UNIQUE_FORMAL_ONLY	Mit der vorigen Zubereitung weiter	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
14	f10r	H1	f10r.5	F002	H1-S002	cthy	e0b630cb1b5df5e7105b	BEREIT?	STATE_GATE	UNIQUE_EXACT	Sobald die Zubereitung gebrauchsfertig ist	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
15	f10r	H2	f10r.6	F003	H2-S001	ycheor	7249edc4df3419c26999	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	sie wächst auf feuchtem Wiesengrund	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
16	f10r	H2	f10r.6	F003	H2-S001	cthy	e0b630cb1b5df5e7105b	BEREIT?	STATE_GATE	UNIQUE_EXACT	Sobald die Zubereitung gebrauchsfertig ist	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
17	f10r	H2	f10r.6	F003	H2-S001	chor	7a4bb8136330ee4e6e56	ANSATZ?	LINK_ACTIVE	UNIQUE_EXACT	Der aktive Ansatz	V60_SELECTED_MNEMONIC	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
18	f10r	H2	f10r.6	F003	H2-S001	cthaiin	f3c23f42baf625639e1e	UNKNOWN	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	gib den ausgepressten Saft hinzu	IMAGE_GENRE_OR_LOCAL_EXEMPLAR	CREATIVE_HERBAL_SECOND_EDITION_NOT_CARD_GLOSS
