event_serial	page	locus	record_unit_id	field_id	statement_id	joint_tuple_id_opaque	surface_display_only	formal_formula_opaque	terminal_status	fixed_exact_mnemonic	strict_formal_prompt	event_template	event_parse_status	fixed_value_clause	formal_clause_no_semantic_inheritance	v64_local_plant_filler	complete_layered_technical_reading	local_filler_source_class	local_input_id	local_output_id	statement_pre_state	statement_post_state	iatromedical_comparator_event	opaque_roundtrip_atom	noninheritance_contract	source_lineage
1	f10r	f10r.2	H1	F001	H1-S001	65f320e75510b2f38182	dchey	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen	LOCAL[Bildbesitzer H1 als Rohstofflos H1-R01 eröffnen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Nimm die faserige untere Wurzel	E1@65f320e75510b2f38182	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
2	f10r	f10r.2	H1	F001	H1-S001	dedc383b600397a301ee	cthoor	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	unteren Wurzelstock als sichtbaren Pflanzenteil wählen	LOCAL[unteren Wurzelstock als sichtbaren Pflanzenteil wählen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	wasche sie in fließendem Wasser	E2@dedc383b600397a301ee	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
3	f10r	f10r.2	H1	F001	H1-S001	4d4559019a961b834aa1	char	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	Erde und Fremdstoff mit Wasser abwaschen	LOCAL[Erde und Fremdstoff mit Wasser abwaschen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Daraus, aus demselben Ansatz	E3@4d4559019a961b834aa1	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
4	f10r	f10r.2	H1	F001	H1-S001	80ebbbbf238eee9f0aef	chty	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	beschädigte Fasern aussortieren	LOCAL[beschädigte Fasern aussortieren]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Gleichmäßig bearbeiten	E4@80ebbbbf238eee9f0aef	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
5	f10r	f10r.2	H1	F001	H1-S001	df1098831679a8ad1b39	os	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	sauberen Wurzelstock grob schneiden	LOCAL[sauberen Wurzelstock grob schneiden]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	zerstoße sie zu grobem Pulver	E5@df1098831679a8ad1b39	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
6	f10r	f10r.2	H1	F001	H1-S001	12efe866f335461823a6	chair	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	Schnittgut im Mazeriergefäß mit Wasser bedecken	LOCAL[Schnittgut im Mazeriergefäß mit Wasser bedecken]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	gib Rotwein hinzu	E6@12efe866f335461823a6	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
7	f10r	f10r.2	H1	F001	H1-S001	62ff059766b21c7de083	otytchol	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	Auszug umrühren und eine Prüfportion abnehmen	LOCAL[Auszug umrühren und eine Prüfportion abnehmen]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	trinke es bei Magenschmerz	E7@62ff059766b21c7de083	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
8	f10r	f10r.2	H1	F001	H1-S001	276a7c2d74d1143446f4	oky	OPAQUE_PAYLOAD	NONCLOSE	ANWENDEN?	NONE	ACTION_APPLY	UNIQUE_EXACT	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen	NONE	aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01	ANWENDEN?=aktive Charge am gesetzten Arbeitsziel einsetzen ; LOCAL[aktive Prüfportion=H1-P01; Arbeitsziel=Musterstreifen H1-T01]	V60_EXACT_VALUE+V53/V64_LOCAL_ARGUMENT	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Die aktive Portion verwenden	E8@276a7c2d74d1143446f4	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
9	f10r	f10r.2	H1	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	MASS?	VORGABEPARAMETER?	PARAMETER_ASSIGN	UNIQUE_CONVERGENT_CHANNELS	MASS?=vorgesehenen Mengenwert buchen	VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION	Sollwert für die Prüfportion in das Losregister eintragen	MASS?=vorgesehenen Mengenwert buchen ; VORGABEPARAMETER?=FORMAL_OPAQUE_SLOT_OPERATION ; LOCAL[Sollwert für die Prüfportion in das Losregister eintragen]	V60_EXACT_VALUE+V63_FORMAL_CHANNEL_SEPARATE+V53/V64_LOCAL_ARGUMENT	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Ein vorgeschriebenes Maß	E9@2f1c5e56e8f0ff459065	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
10	f10r	f10r.2	H1	F001	H1-S001	a6939862e33ece5a0483	etyd	OPAQUE_PAYLOAD	NONCLOSE	UNKNOWN	NONE	EXEMPLAR_ONLY	UNPARSED_EXEMPLAR	NONE	NONE	trockenen Rest als H1-R02 verwahren	LOCAL[trockenen Rest als H1-R02 verwahren]	V53_VISIBLE_OWNER_OR_V64_RECORD_LOCAL_HYPOTHESIS;NOT_CARD_MEANING	H1-R01 sichtbarer Wurzelstock	H1-P01 Prüfauszug + H1-R02 Trockenrest	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	bewahre die übrige Wurzel trocken auf	E10@a6939862e33ece5a0483	EXACT_TUPLE_ATOMIC;EXACT_VALUE_FIXED;FORMAL_PROMPT_NO_SEMANTIC_WORD;LOCAL_FILLER_NEVER_CARD_GLOSS	V53_VISUAL+V60_SELECTED_EVENT+V61/V62_STATE+V63_SELECTED_PARSE>V64_R3_LOCAL_PLANT_EDITION
