assumption_id	record_unit_id	layer	assumption	used_at	basis	confidence	strongest_contradiction	disposition	card_licensed	use_count_in_event_interlinear	semantic_contract
A001	H1|H2	IMAGE	Teufelsabbiss/Succisa als Besitzer von f10r	F001|F003	V53 erlaubter Bildbefund; Frankfurter Abiss-Wasser als Nahvergleich	MEDIUM	Rote endständige Verdickungen statt abgebissener Wurzel	KEEP_IMAGE_WAGER	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A002	H1	IMAGE	unterer Wurzelstock als verwendeter Teil	F001	Bild + Herbal-Gattung	MEDIUM_LOW	Karte bezeichnet keinen Pflanzenteil	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A003	H1	GENRE	Wurzel säubern und schneiden	e2|e4	Rezept-/Destillierpraxis	MEDIUM	vollständig exemplarisch	KEEP_TAGGED	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A004	H1	GENRE	Hydrodestillation im Brennhafen	e5|e6|e7	Frankfurt Ms. germ. qu. 17: gebrannte Wasser	MEDIUM_HIGH	keine Geräteabbildung und kein Kartenanker	KEEP_GENRE	NO	3	NEVER_PROMOTE_TO_CARD_MEANING
A005	H1	GENRE	Quellwasser als Medium	e6	Gattung gebrannter Wasser	MEDIUM	Medium unsichtbar	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A006	H1	GENRE	erster Lauf und Glas	e7|e11	Destillierpraxis	MEDIUM_LOW	Fraktion und Gefäß unsichtbar	KEEP_TAGGED	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A007	H1	GENRE	innerlicher Gebrauch	e8	Abiss-Wasser-Nahquelle	MEDIUM	ANWENDEN? sagt nicht innerlich	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A008	H1	EXEMPLAR	kleine Gabe	e9	MASS? plus Dosisgenre	LOW	keine Zahl/Einheit sichtbar	KEEP_LOCAL_ONLY	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A009	H1	GENRE	Stechen im Leib als Indikation	e10	Frankfurter Abiss-Einträge	MEDIUM	Krankheit unsichtbar	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A010	H1	GENRE	verschlossene Verwahrung	e10	Arzneiwasserpraxis	MEDIUM_LOW	kein Schlussfeld	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A011	H1	GENRE	gelindes Erwärmen	e12	Rezeptpraxis	LOW	kein TEMPERIEREN?-Anker	KEEP_LOCAL_ONLY	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A012	H1	EXEMPLAR	örtliches Bereitschaftskriterium	e14	BEREIT? braucht lokalen Füller	MEDIUM	Kriterium unbekannt	KEEP_OPEN	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A013	H2	IMAGE	Blütenköpfe und junge Blätter	e15|e24	f10r-Bild	MEDIUM	Pflanzenteil nicht kartiert	KEEP_TAGGED	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A014	H2	EXEMPLAR	Ernte beim Aufgehen/vor voller Blüte	e16|e24	Herbal-Gattung	LOW	BEREIT? ist kein Erntekalender	KEEP_LOCAL_ONLY	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A015	H2	GENRE	zerstoßen und durch Tuch pressen	e18|e19	Materia-medica-Praxis	MEDIUM	beide Ereignisse unparsed	KEEP_TAGGED	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A016	H2	EXEMPLAR	zwei Saftfraktionen	e20|e31	V62 recordlokale Postenfolge	MEDIUM_LOW	kann Parallelzelle statt Mischung sein	KEEP_OPEN	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A017	H2	GENRE	Olivenöl als Träger	e21	Salben-/Ölpraxis	LOW	Medium unsichtbar	KEEP_LOCAL_ONLY	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
A018	H2	EXEMPLAR	Handvoll/gleiche örtliche Maße	e22|e26|e30	MASS? plus Rezeptgenre	LOW	keine Einheit oder Gleichheit kartiert	KEEP_LOCAL_ONLY	NO	3	NEVER_PROMOTE_TO_CARD_MEANING
A019	H2	GENRE	gelindes Erhitzen	e23|e35	Salbenpraxis	LOW	kein TEMPERIEREN?	KEEP_LOCAL_ONLY	NO	2	NEVER_PROMOTE_TO_CARD_MEANING
A020	H2	GENRE	Fraktionen verbinden	e31	Rezeptfolge	MEDIUM_LOW	formaler Link ist keine Mischanweisung	KEEP_TAGGED	NO	1	NEVER_PROMOTE_TO_CARD_MEANING
