event_serial	page	locus	record_unit_id	field_id	statement_id	joint_tuple_id	surface_display_only	formal_formula_opaque	terminal_status	strict_formal_prompt	selected_exact_mnemonic	v63_event_template	v63_trigger_origin	v63_event_parse_status	v63_field_parse_status	v63_statement_parse_status	v62_statement_pre_state	v62_symbolic_register_effect	v62_statement_post_state	v61_inherited_local_expansion	v64_tagged_source_segment	source_layer_tags	unsupported_assumption_ids	editorial_status	semantic_contract
1	f10r	f10r.2	H1	F001	H1-S001	65f320e75510b2f38182	dchey	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Nimm die faserige untere Wurzel	[IMAGE:unterer Wurzelstock des Teufelsabbisses]	IMAGE	A001|A002	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
2	f10r	f10r.2	H1	F001	H1-S001	dedc383b600397a301ee	cthoor	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	wasche sie in fließendem Wasser	[GENRE:säubere ihn]	GENRE	A003	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
3	f10r	f10r.2	H1	F001	H1-S001	4d4559019a961b834aa1	char	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Daraus, aus demselben Ansatz	[REGISTER:H1:I001 als derselbe Arbeitsansatz]	REGISTER	NONE	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
4	f10r	f10r.2	H1	F001	H1-S001	80ebbbbf238eee9f0aef	chty	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Gleichmäßig bearbeiten	[GENRE:zerschneide ihn]	GENRE	A003	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
5	f10r	f10r.2	H1	F001	H1-S001	df1098831679a8ad1b39	os	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	zerstoße sie zu grobem Pulver	[GENRE:gib ihn in den Brennhafen]	GENRE	A004	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
6	f10r	f10r.2	H1	F001	H1-S001	12efe866f335461823a6	chair	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	gib Rotwein hinzu	[GENRE:füge Quellwasser hinzu]	GENRE	A004|A005	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
7	f10r	f10r.2	H1	F001	H1-S001	62ff059766b21c7de083	otytchol	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	trinke es bei Magenschmerz	[GENRE:fange den ersten Lauf im Glas auf]	GENRE	A004|A006	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
8	f10r	f10r.2	H1	F001	H1-S001	276a7c2d74d1143446f4	oky	OPAQUE_PAYLOAD	NONCLOSE	NONE	ANWENDEN?	ACTION_APPLY	EXACT_JOINT_TUPLE_MNEMONIC	UNIQUE_EXACT	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	APPLY(ACTIVE_ITEM/PREPARATION,TARGET/STATION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Die aktive Portion verwenden	[CARD:ANWENDEN?] [GENRE:gebrauche den Lauf innerlich]	CARD|GENRE	A007	CARD_WITH_TAGGED_EXPANSION	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
9	f10r	f10r.2	H1	F001	H1-S001	2f1c5e56e8f0ff459065	daiin	OPAQUE_PAYLOAD	NONCLOSE	VORGABEPARAMETER?	MASS?	PARAMETER_ASSIGN	EXACT_PLUS_FORMAL_CONVERGENT	UNIQUE_CONVERGENT_CHANNELS	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	PARAMETER_SLOT:=EXACT_MASS_VALUE;FOUR_REGISTERS=CARRY || FORMAL_PARAMETER_SLOT:=OPAQUE_EVENT_VALUE;FOUR_REGISTERS=CARRY	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	Ein vorgeschriebenes Maß	[CARD:MASS?] [FORMAL:VORGABEPARAMETER?; keine Wortbedeutung] [EXEMPLAR:in kleinem örtlichem Maß]	CARD|FORMAL|EXEMPLAR	A008	CARD_PLUS_FORMAL_WITH_TAGGED_EXPANSION	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
10	f10r	f10r.2	H1	F001	H1-S001	a6939862e33ece5a0483	etyd	OPAQUE_PAYLOAD	NONCLOSE	NONE	UNKNOWN	EXEMPLAR_ONLY	NO_LICENSED_TRIGGER	UNPARSED_EXEMPLAR	AMBIGUOUS	AMBIGUOUS	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	FOUR_REGISTERS:=SELECTED_V62_CONTEXT;NO_TEMPLATE_SEMANTICS	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	bewahre die übrige Wurzel trocken auf	[GENRE:gegen Stechen im Leib] [GENRE:verwahre den Rest verschlossen]	GENRE|GENRE	A009|A010	EXEMPLAR_EXPANSION_ONLY	EXACT_CARD_ONLY_WHEN_CARD_TAGGED;FORMAL_HAS_NO_WORD;ALL_CONCRETE_CONTENT_IMAGE_GENRE_OR_EXEMPLAR
