page	locus	token_ordinal	surface	revision_class	v66_rule_id	v65_fraction_de	v66_selected_share_de	v66_selected_semantic_role
f104v	f104v.2	7	otarar	TARGET_HEAD	H009	erste Unterfraktion der Fraktion I des kalten Ansatzes	Unteranteil I des Anteils I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f104v	f104v.2	9	otair	TARGET_HEAD	H008	Fraktion II des kalten Ansatzes	Anteil II des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f105r	f105r.2	6	qodor	NEUTRAL_GRAMMAR	O001	eine Portion Ansatz abmessen	eine Portion des Ansatzes abmessen	OR_INDEPENDENT_PORTION_ACTION
f105r	f105r.2	11	odar	TARGET_HEAD	H005	Fraktion I des Ansatzes abmessen	Anteil I des Ansatzes abmessen	R_INDEXED_MATERIAL_SHARE_SELECTOR
f105r	f105r.31	4	ar	TARGET_HEAD	H001	Drogenfraktion I	Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f105v	f105v.1	2	oair	TARGET_HEAD	H004	Fraktion II des Ansatzes	Anteil II des Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f105v	f105v.14	3	qokaiir	TARGET_HEAD	H016	nimm die heiße Drogenfraktion III	nimm den heißen Drogenanteil III	R_INDEXED_MATERIAL_SHARE_SELECTOR
f105v	f105v.14	8	odar	TARGET_HEAD	H005	Fraktion I des Ansatzes abmessen	Anteil I des Ansatzes abmessen	R_INDEXED_MATERIAL_SHARE_SELECTOR
f106r	f106r.23	3	dair	AR_CONTROL_HEAD	C008	abgemessene Fraktion II	abgemessener Anteil II	R_INDEXED_MATERIAL_SHARE_SELECTOR
f106r	f106r.23	9	dar	AR_CONTROL_HEAD	C007	abgemessene Fraktion I	abgemessener Anteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f106r	f106r.23	10	aror	AR_CONTROL_HEAD	C010	eine Portion der ersten Drogenfraktion	eine Portion des Drogenanteils I	R_SHARE_SELECTOR_PLUS_OR_PORTION
f107r	f107r.40	7	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f107r	f107r.40	8	otair	TARGET_HEAD	H008	Fraktion II des kalten Ansatzes	Anteil II des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f113v	f113v.17	4	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f113v	f113v.3	1	sar	AR_CONTROL_HEAD	C005	erste Samenfraktion	Samenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114r	f114r.24	8	aiir	TARGET_HEAD	H002	Drogenfraktion III	Drogenanteil III	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114r	f114r.24	11	sair	AR_CONTROL_HEAD	C006	zweite Samenfraktion	Samenanteil II	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114r	f114r.24	13	dair	AR_CONTROL_HEAD	C008	abgemessene Fraktion II	abgemessener Anteil II	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114r	f114r.26	2	olkaiir	TARGET_HEAD	H012	Fraktion III des heißen Holzansatzes	Anteil III des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114r	f114r.26	5	okar	TARGET_HEAD	H006	Fraktion I des heißen Ansatzes	Anteil I des heißen Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f114v	f114v.36	8	qotar	TARGET_HEAD	H014	kalte Drogenfraktion I	kalter Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f115r	f115r.1	8	oroiir	AR_CONTROL_HEAD	C011	eine Portion der dritten Ansatzfraktion	eine Portion des Ansatzanteils III	R_SHARE_SELECTOR_PLUS_OR_PORTION
f116r	f116r.12	2	ar	TARGET_HEAD	H001	Drogenfraktion I	Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f23r	f23r.6	6	dar	AR_CONTROL_HEAD	C007	abgemessene Fraktion I	abgemessener Anteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f75r	f75r.3	8	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f80r	f80r.17	5	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f80r	f80r.17	9	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f80v	f80v.27	3	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f80v	f80v.35	3	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f83v	f83v.12	8	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f85r2	f85r2.5	2	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v3	f86v3.13	5	qodaiin	BOUND_RIGHT_HEAD_CARRY_TOKEN	O002	drei Portionen der folgenden Fraktion	drei Portionen des folgenden Anteils	BOUND_RIGHT_QUANTITY_TO_R_SHARE
f86v3	f86v3.13	6	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v3	f86v3.19	9	dar	AR_CONTROL_HEAD	C007	abgemessene Fraktion I	abgemessener Anteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.2	3	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.2	5	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.24	1	oar	TARGET_HEAD	H003	Fraktion I des Ansatzes	Anteil I des Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.24	8	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.4	9	dar	AR_CONTROL_HEAD	C007	abgemessene Fraktion I	abgemessener Anteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v5	f86v5.4	10	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.25	2	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.25	3	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.25	4	qodar	TARGET_HEAD	H015	Fraktion I abmessen	Drogenanteil I abmessen	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.31	1	dair	AR_CONTROL_HEAD	C008	abgemessene Fraktion II	abgemessener Anteil II	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.31	4	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.31	6	okar	TARGET_HEAD	H006	Fraktion I des heißen Ansatzes	Anteil I des heißen Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.31	8	dar	AR_CONTROL_HEAD	C007	abgemessene Fraktion I	abgemessener Anteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.4	12	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.5	1	tar	AR_CONTROL_HEAD	C004	kalte Drogenfraktion I	kalter Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.5	4	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.5	9	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f86v6	f86v6.5	12	qotar	TARGET_HEAD	H014	kalte Drogenfraktion I	kalter Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f95v1	f95v1.7	3	qokar	TARGET_HEAD	H013	heiße Drogenfraktion I	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f95v1	f95v1.7	4	olkar	TARGET_HEAD	H011	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f95v1	f95v1.7	6	tar	AR_CONTROL_HEAD	C004	kalte Drogenfraktion I	kalter Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
f95v1	f95v1.7	7	otar	TARGET_HEAD	H007	Fraktion I des kalten Ansatzes	Anteil I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
f95v1	f95v1.7	11	otardy	TARGET_HEAD	H010	fertige Fraktion I des kalten Ansatzes	fertiger Anteil I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
