pair_id	left_body	terminal	surface	page	locus	token_ordinal	v65_gloss_de	v66_selected_gloss_de	typed_role	v66_selected_terminal_semantics	interpretive_contrast
M001	aii	R	aiir	f114r	f114r.24	8	Drogenfraktion III	Drogenanteil III	indexed_share_selector_III	R_INDEXED_MATERIAL_SHARE_SELECTOR	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f107r	f107r.2	3	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f107r	f107r.2	7	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f107r	f107r.40	5	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f113v	f113v.3	2	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f26r	f26r.2	2	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f86v5	f86v5.24	2	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M001	aii	N	aiin	f86v6	f86v6.4	5	Menge III	Menge III	typed_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	Bare R makes a selected drug share while N supplies a quantity/value.
M002	dai	R	dair	f106r	f106r.23	3	abgemessene Fraktion II	abgemessener Anteil II	measured_share_selector_II	R_INDEXED_MATERIAL_SHARE_SELECTOR	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M002	dai	R	dair	f114r	f114r.24	13	abgemessene Fraktion II	abgemessener Anteil II	measured_share_selector_II	R_INDEXED_MATERIAL_SHARE_SELECTOR	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M002	dai	R	dair	f86v6	f86v6.31	1	abgemessene Fraktion II	abgemessener Anteil II	measured_share_selector_II	R_INDEXED_MATERIAL_SHARE_SELECTOR	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M002	dai	N	dain	f112v	f112v.10	1	Feuchtgrad II	Feuchtgrad II	typed_value_II	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M002	dai	N	dain	f116r	f116r.12	5	zwei Portionen des erhitzten nachgetrockneten Drogenmaterials	zwei Portionen des erhitzten nachgetrockneten Drogenmaterials	typed_value_II	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M002	dai	N	dain	f116r	f116r.12	11	zwei Portionen der Rohdroge I im kalten Anfangsansatz	zwei Portionen der Rohdroge I im kalten Anfangsansatz	typed_value_II	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	After D, R selects a measured material share while N supplies a head-dependent degree or amount.
M003	olkaii	R	olkaiir	f114r	f114r.26	2	Fraktion III des heißen Holzansatzes	Anteil III des heißen Holzansatzes	wood_preparation_share_III	R_INDEXED_MATERIAL_SHARE_SELECTOR	The same O-L-K body distinguishes an R-selected wood-preparation share from an N-valued hot preparation.
M003	olkaii	N	olkaiin	f114r	f114r.26	6	heiße Drogenbasis, Stufe III	heiße Drogenbasis, Stufe III	wood_preparation_value_III	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	The same O-L-K body distinguishes an R-selected wood-preparation share from an N-valued hot preparation.
M004	otai	R	otair	f104v	f104v.2	9	Fraktion II des kalten Ansatzes	Anteil II des kalten Ansatzes	cold_preparation_share_II	R_INDEXED_MATERIAL_SHARE_SELECTOR	The same O-T body distinguishes a selected share II from cold preparation grade II.
M004	otai	R	otair	f107r	f107r.40	8	Fraktion II des kalten Ansatzes	Anteil II des kalten Ansatzes	cold_preparation_share_II	R_INDEXED_MATERIAL_SHARE_SELECTOR	The same O-T body distinguishes a selected share II from cold preparation grade II.
M004	otai	N	otain	f116r	f116r.12	8	kalter Ansatz, Grad II	kalter Ansatz, Grad II	cold_preparation_value_II	N_HEAD_TYPED_GRADE_AMOUNT_OR_BATCH_VALUE	The same O-T body distinguishes a selected share II from cold preparation grade II.
