page	locus	token_ordinal	surface	line_mode	reader_mode	rule_id	role	ar_level	v65_gloss_de	fraction_de	share_de	stage_de	class_de
f105r	f105r.2	6	qodor	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C009	OR_PORTION_ACTION	NONE	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen
f105r	f105r.2	8	or	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C001	OR_PORTION	NONE	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion
f105r	f105r.31	12	or	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C001	OR_PORTION	NONE	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion
f106r	f106r.23	3	dair	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C008	AR_HEAD	II	abgemessene Fraktion II	abgemessene Fraktion II	abgemessener Anteil II	abgemessenes Material auf Stufe II	abgemessenes Material der Klasse II
f106r	f106r.23	9	dar	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C007	AR_HEAD	I	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I
f106r	f106r.23	10	aror	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C010	AR_PLUS_OR	I	eine Portion der ersten Drogenfraktion	eine Portion der ersten Drogenfraktion	eine Portion des Drogenanteils I	eine Portion des Drogenmaterials auf Stufe I	eine Portion Drogenstoff der Klasse I
f107r	f107r.2	13	lor	ACTION_SEQUENCE	ARBEITSGANG	C003	OR_PORTION	NONE	Holzportion	Holzportion	Holzportion	Holzportion	Holzportion
f113v	f113v.3	1	sar	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	C005	AR_HEAD	I	erste Samenfraktion	erste Samenfraktion	Samenanteil I	Samen auf Stufe I	Samen, Stoffklasse I
f114r	f114r.24	11	sair	NOMINAL_REGISTER	ZUSTANDSLISTE	C006	AR_HEAD	II	zweite Samenfraktion	zweite Samenfraktion	Samenanteil II	Samen auf Stufe II	Samen, Stoffklasse II
f114r	f114r.24	13	dair	NOMINAL_REGISTER	ZUSTANDSLISTE	C008	AR_HEAD	II	abgemessene Fraktion II	abgemessene Fraktion II	abgemessener Anteil II	abgemessenes Material auf Stufe II	abgemessenes Material der Klasse II
f115r	f115r.1	8	oroiir	ACTION_SEQUENCE	ARBEITSGANG	C011	OR_PLUS_AR	III	eine Portion der dritten Ansatzfraktion	eine Portion der dritten Ansatzfraktion	eine Portion des Ansatzanteils III	eine Portion des Ansatzes auf Zubereitungsstufe III	eine Portion Ansatzstoff der Klasse III
f23r	f23r.6	3	kor	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C002	OR_PORTION	NONE	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion	heiße Drogenportion
f23r	f23r.6	6	dar	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C007	AR_HEAD	I	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I
f75r	f75r.3	9	or	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C001	OR_PORTION	NONE	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion
f86v3	f86v3.19	9	dar	ACTION_SEQUENCE	ARBEITSGANG	C007	AR_HEAD	I	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I
f86v5	f86v5.4	9	dar	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C007	AR_HEAD	I	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I
f86v6	f86v6.25	6	or	ACTION_SEQUENCE	ARBEITSGANG	C001	OR_PORTION	NONE	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion
f86v6	f86v6.31	1	dair	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C008	AR_HEAD	II	abgemessene Fraktion II	abgemessene Fraktion II	abgemessener Anteil II	abgemessenes Material auf Stufe II	abgemessenes Material der Klasse II
f86v6	f86v6.31	8	dar	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	C007	AR_HEAD	I	abgemessene Fraktion I	abgemessene Fraktion I	abgemessener Anteil I	abgemessenes Material auf Stufe I	abgemessenes Material der Klasse I
f86v6	f86v6.5	1	tar	NOMINAL_REGISTER	ZUSTANDSLISTE	C004	AR_HEAD	I	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenanteil I	kaltes Drogenmaterial auf Stufe I	kalter Drogenstoff, Klasse I
f86v6	f86v6.5	7	or	NOMINAL_REGISTER	ZUSTANDSLISTE	C001	OR_PORTION	NONE	Drogenportion	Drogenportion	Drogenportion	Drogenportion	Drogenportion
f95v1	f95v1.7	6	tar	NOMINAL_REGISTER	ZUSTANDSLISTE	C004	AR_HEAD	I	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenanteil I	kaltes Drogenmaterial auf Stufe I	kalter Drogenstoff, Klasse I
