page	locus	section	language	hand	token_count	zl3b_line	v66_line_mode	v66_reader_mode	v65_compositional_translation_de	v66_selected_candidate	v66_selected_translation_de	v66_selected_changed_token_positions	v66_selected_changed_ordinals	v66_selected_compact_apparatus_de	v66_local_product_rivals_de	v66_status
f102v2	f102v2.3	P	A	1	1	oror	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Zwei Portionen.	share	Zwei Portionen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f104v	f104v.2	S	B	3	10	ychedaiin qoteed chockhy otaiin ydaiin qokamdy otarar alched otair oram	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; erste Unterfraktion der Fraktion I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Fraktion II des kalten Ansatzes; eine Maßportion Ansatz.	share	Hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen; Auszug vollständig abkühlen und abziehen; trockene Arzneizubereitung, Gradanfang; kalter Ansatz, Grad III; davon drei Maße; ein Maß nehmen und erhitzen; Unteranteil I des Anteils I des kalten Ansatzes; Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen; Anteil II des kalten Ansatzes; eine Maßportion Ansatz.	2	7|9	#7 otarar: erste Unterfraktion der Fraktion I des kalten Ansatzes → Unteranteil I des Anteils I des kalten Ansatzes [H009] || #9 otair: Fraktion II des kalten Ansatzes → Anteil II des kalten Ansatzes [H008]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f105r	f105r.2	S	B	3	13	dshees yey cheey raiin otchdy qodor ches or cheey okees odar cheody qody	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion Ansatz abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Fraktion I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	share	Eine Dosis vollständig eingeweichte Arzneimischung; hieran anschließend; trocken am Ende des Grades; Wurzel, Charge III; kalt-trockene Zubereitung, Anfangsstufe erreicht; eine Portion des Ansatzes abmessen; trockenes Drogenmaterial, Mittelstufe; Drogenportion; trocken am Ende des Grades; Charge vollständig erhitzten Ansatzes; Anteil I des Ansatzes abmessen; getrocknete Masse; fertige Zubereitung.	2	6|11	#6 qodor: eine Portion Ansatz abmessen → eine Portion des Ansatzes abmessen [O001] || #11 odar: Fraktion I des Ansatzes abmessen → Anteil I des Ansatzes abmessen [H005]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f105r	f105r.31	S	B	3	13	kodeey lchl shx ar aiijy cpheesy okal lkedy lkar chedy qokaiin or fchoky	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenfraktion I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	share	Vollständig erhitzte und abgeschlossene Zubereitungsdosis; getrocknetes Holz; eingeweichtes Gummi; Drogenanteil I; in drei Bündel abfüllen und schließen; vollständig bereitetes und abgeschlossenes Arzneikompositum; Rohstoffklasse I im heißen Ansatz, Gradanfang; bis zur mittleren Heizstufe erhitztes Holz; heiße Holzfraktion I; mittlere Trockenstufe erreicht; heiß, Grad III; Drogenportion; heiß-trockene Blütenzubereitung in Grundform.	1	4	#4 ar: Drogenfraktion I → Drogenanteil I [H001]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f105v	f105v.1	S	B	3	9	polairy oair olpcheey ykaiin olpchedy opchedaiin dairody ypcheddy sairy	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Zweite Pulverfraktion, abgeschlossen; Fraktion II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	share	Zweite Pulverfraktion, abgeschlossen; Anteil II des Ansatzes; trocken gebundenes Holzpulver, Form II; erhitze hiervon auf Stufe III; fertiges Holzextraktpulver; drei Dosen bis zur Mittelstufe getrockneten Pulvers; fertige abgemessene Ansatzfraktion II; hieraus Pulver bis zur Mittelstufe trocknen; zweite Samenfraktion, abgeschlossen.	1	2	#2 oair: Fraktion II des Ansatzes → Anteil II des Ansatzes [H004]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f105v	f105v.14	S	B	3	10	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	ACTION_SEQUENCE	ARBEITSGANG	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm die heiße Drogenfraktion III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Fraktion I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	share	Drei Dosen bis Mittelstufe getrocknetes Pulver; trockenes Arzneikompositum, Anfangsstufe erreicht; nimm den heißen Drogenanteil III; fertiges Holzextraktpulver; abgezogene Portion Holzauszug; Menge IV; kaltgestellte Rohdroge II; Anteil I des Ansatzes abmessen; erste erhitzte Drogenfraktion, abgezogen; Droge kalt trocknen und leicht nachtrocknen.	2	3|8	#3 qokaiir: nimm die heiße Drogenfraktion III → nimm den heißen Drogenanteil III [H016] || #8 odar: Fraktion I des Ansatzes abmessen → Anteil I des Ansatzes abmessen [H005]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f106r	f106r.23	S	B	3	10	ychedy qckhedy dair al qokedy shecphy qokchy otedy dar aror	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessene Fraktion II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessene Fraktion I; eine Portion der ersten Drogenfraktion.	share	Bis zur Mittelstufe getrocknet und abgeschlossen; das Arzneikompositum bis zur Mittelstufe aufbereiten; abgemessener Anteil II; Rohstoffklasse I; heiße Mittelstufe erreicht; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; heiß und trocken am Anfang des Grades; kalter Ansatz, Mittelstufe erreicht; abgemessener Anteil I; eine Portion des Drogenanteils I.	3	3|9|10	#3 dair: abgemessene Fraktion II → abgemessener Anteil II [C008] || #9 dar: abgemessene Fraktion I → abgemessener Anteil I [C007] || #10 aror: eine Portion der ersten Drogenfraktion → eine Portion des Drogenanteils I [C010]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f107r	f107r.2	S	B	3	13	dchey qoteos aiin shedy oteed qor aiin cheockhy olkeey qotain chey qeeey lor	ACTION_SEQUENCE	ARBEITSGANG	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	share	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine bis zur Mittelstufe gekühlte Ansatzcharge nehmen; Menge III; mittlere Feuchtstufe erreicht; vollständig abgekühlter und abgezogener Auszug; nimm eine Drogenportion; Menge III; trocken angesetztes Arzneikompositum am Gradanfang; Holzansatz vollständig erhitzt; kalter Ansatz, Grad II; trocken in der Mitte des Grades; die vorstehende Behandlung bis zur letzten Stufe führen und abschließen; Holzportion.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f107r	f107r.40	S	B	3	10	lolkaiin chey qokaiin chal aiin okaiin olkar otair okal okal	NOMINAL_REGISTER	ZUSTANDSLISTE	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Fraktion I des heißen Holzansatzes; Fraktion II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	share	Holzstoff, heiß auf Stufe III; trocken in der Mitte des Grades; heiß, Grad III; Rohstoffklasse I, trocken am Gradanfang; Menge III; heißer Ansatz, Grad III; Anteil I des heißen Holzansatzes; Anteil II des kalten Ansatzes; Rohstoffklasse I im heißen Ansatz, Gradanfang; Rohstoffklasse I im heißen Ansatz, Gradanfang.	2	7|8	#7 olkar: Fraktion I des heißen Holzansatzes → Anteil I des heißen Holzansatzes [H011] || #8 otair: Fraktion II des kalten Ansatzes → Anteil II des kalten Ansatzes [H008]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f10r	f10r.2	H	A	1	10	dchey cthoor char chty os chair otytchol oky daiin etyd	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	share	Eine abgemessene Portion bis zur Mittelstufe trocknen; eine Portion Krautansatz; Trockenfraktion I; trocken-kalt am Gradanfang; Ansatzcharge; zweite Trockenfraktion; nachgekühlter Trockenstoff im Ansatz; heißer Ansatz am Anfang des Grades; Qualitätsgrad III des erhitzten Ansatzes; bis Mittelstufe gekühlte Zubereitung, abgeschlossen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f112r	f112r.36	S	B	3	6	sain ol checkhy olchain okeey olam	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Samen, Charge II; Grundansatz; trockenes Arzneikompositum am Gradanfang; Holzansatz, trocken auf Stufe II; heißer Ansatz am Ende des Grades; ein Maß Holz.	share	Samen, Charge II; Grundansatz; trockenes Arzneikompositum am Gradanfang; Holzansatz, trocken auf Stufe II; heißer Ansatz am Ende des Grades; ein Maß Holz.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f112v	f112v.10	S	B	3	4	dain sheey okchedy oror	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Feuchtgrad II; feucht am Ende des Grades; heiß-trockene Zubereitung, Mittelstufe erreicht; zwei Portionen.	share	Feuchtgrad II; feucht am Ende des Grades; heiß-trockene Zubereitung, Mittelstufe erreicht; zwei Portionen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f113v	f113v.12	S	B	3	5	solchedy otsheody arl olchey oror	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Bis zur Mittelstufe getrocknete Samenmasse; fertiges kalt angefeuchtetes Mazerat; erste Holzfraktion; Holzansatz, bis Mittelstufe getrocknet; zwei Portionen.	share	Bis zur Mittelstufe getrocknete Samenmasse; fertiges kalt angefeuchtetes Mazerat; erste Holzfraktion; Holzansatz, bis Mittelstufe getrocknet; zwei Portionen.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f113v	f113v.17	S	B	3	7	saraiin shedy lcheey olkar okaiin cthororaiin yteeeor	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; trocken gebundenes Holz, Form II; Fraktion I des heißen Holzansatzes; heißer Ansatz, Grad III; drei Portionen Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	share	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; trocken gebundenes Holz, Form II; Anteil I des heißen Holzansatzes; heißer Ansatz, Grad III; drei Portionen Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	1	4	#4 olkar: Fraktion I des heißen Holzansatzes → Anteil I des heißen Holzansatzes [H011]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f113v	f113v.3	S	B	3	7	sar aiin chotar okeeodar qokain olol olam	QUANTITY_LABEL	MENGEN_UND_ZUSTANDSLISTE	Erste Samenfraktion; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Auszugs; heiß, Grad II; Holz-Grundansatz; ein Maß Holz.	share	Samenanteil I; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Auszugs; heiß, Grad II; Holz-Grundansatz; ein Maß Holz.	1	1	#1 sar: erste Samenfraktion → Samenanteil I [C005]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f114r	f114r.24	S	B	3	13	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	NOMINAL_REGISTER	ZUSTANDSLISTE	Drei Dosen bis zur Mittelstufe kalt-getrocknete Droge; abgemessener Drogenrohstoff I; Pflanzenteil; nachgetrocknetes Pulver, Form II; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; leicht angetrocknetes Arzneikompositum im Ansatz; eine Charge Trockenansatz; Drogenfraktion III; trocken-kalt am Gradanfang; Pulverzubereitung aus Trockengut; zweite Samenfraktion; Arzneikompositum in Grundform; abgemessene Fraktion II.	share	Drei Dosen bis zur Mittelstufe kalt-getrocknete Droge; abgemessener Drogenrohstoff I; Pflanzenteil; nachgetrocknetes Pulver, Form II; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; leicht angetrocknetes Arzneikompositum im Ansatz; eine Charge Trockenansatz; Drogenanteil III; trocken-kalt am Gradanfang; Pulverzubereitung aus Trockengut; Samenanteil II; Arzneikompositum in Grundform; abgemessener Anteil II.	3	8|11|13	#8 aiir: Drogenfraktion III → Drogenanteil III [H002] || #11 sair: zweite Samenfraktion → Samenanteil II [C006] || #13 dair: abgemessene Fraktion II → abgemessener Anteil II [C008]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f114r	f114r.26	S	B	3	10	ycheeodaiin olkaiir qokaiin chodaiin okar olkaiin okaiin cheody airoy olam	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; Fraktion III des heißen Holzansatzes; heiß, Grad III; Trockenansatz, Dosis III; Fraktion I des heißen Ansatzes; heiße Drogenbasis, Stufe III; heißer Ansatz, Grad III; getrocknete Masse; zweite Drogenfraktion als Grundansatz; ein Maß Holz.	share	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; Anteil III des heißen Holzansatzes; heiß, Grad III; Trockenansatz, Dosis III; Anteil I des heißen Ansatzes; heiße Drogenbasis, Stufe III; heißer Ansatz, Grad III; getrocknete Masse; zweite Drogenfraktion als Grundansatz; ein Maß Holz.	2	2|5	#2 olkaiir: Fraktion III des heißen Holzansatzes → Anteil III des heißen Holzansatzes [H012] || #5 okar: Fraktion I des heißen Ansatzes → Anteil I des heißen Ansatzes [H006]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f114v	f114v.36	S	B	3	11	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Kalt und feucht in der Mitte des Grades; abgemessene Rohstoffmenge I im Grundansatz; Pulverzubereitung; erhitztes Mazerat; kalt-trockene Zubereitung in der Mitte des Grades; nimm getrockneten Pulverstoff; drei Teile Pulverzubereitung nehmen; kalte Drogenfraktion I; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; ein Maß Wurzel.	share	Kalt und feucht in der Mitte des Grades; abgemessene Rohstoffmenge I im Grundansatz; Pulverzubereitung; erhitztes Mazerat; kalt-trockene Zubereitung in der Mitte des Grades; nimm getrockneten Pulverstoff; drei Teile Pulverzubereitung nehmen; kalter Drogenanteil I; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; ein Maß Wurzel.	1	8	#8 qotar: kalte Drogenfraktion I → kalter Drogenanteil I [H014]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f115r	f115r.1	S	B	@	11	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	ACTION_SEQUENCE	ARBEITSGANG	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlte Zubereitung, fertig; eine Portion der dritten Ansatzfraktion; fertige, bis zur Mittelstufe getrocknete Masse; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	share	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlte Zubereitung, fertig; eine Portion des Ansatzanteils III; fertige, bis zur Mittelstufe getrocknete Masse; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	1	8	#8 oroiir: eine Portion der dritten Ansatzfraktion → eine Portion des Ansatzanteils III [C011]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f115r	f115r.23	S	B	@	13	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	ACTION_SEQUENCE	ARBEITSGANG	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; leicht getrocknete Zubereitung, abgeschlossen; erhitze, trockne und setze an; Samenposten; trockenes Kraut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; mittlere Trockenstufe erreicht; heiß-trockene Mittelstufe erreicht; fertig aufbereitetes Holz.	share	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; leicht getrocknete Zubereitung, abgeschlossen; erhitze, trockne und setze an; Samenposten; trockenes Kraut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; mittlere Trockenstufe erreicht; heiß-trockene Mittelstufe erreicht; fertig aufbereitetes Holz.	0	NONE	NONE	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
f116r	f116r.12	S	B	3	12	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	MIXED_RECORD	HYBRID_ARBEIT_UND_ZUSTAND	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heißer Ansatz, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalter Ansatz, Grad II; Holz im Ansatz fertig getrocknet; Rohstoffklasse I im kalten Ansatz, Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Holz.	share	Zweiten Ansatz nehmen; Drogenanteil I; nachgetrocknetes Drogenmaterial, Mittelstufe; heißer Ansatz, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalter Ansatz, Grad II; Holz im Ansatz fertig getrocknet; Rohstoffklasse I im kalten Ansatz, Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Holz.	1	2	#2 ar: Drogenfraktion I → Drogenanteil I [H001]	NONE	SCOPED_INDEXED_MATERIAL_SHARE_RENDERER__NO_LOCAL_R_REDEFINITION
