page	locus	token_ordinal	surface	v66_selected_gloss_de	v65_composition	v65_family	v65_basis	v66_scope_status	next_question
f105r	f105r.31	9	lkar	heiße Holzfraktion I	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f105v	f105v.1	1	polairy	zweite Pulverfraktion, abgeschlossen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f105v	f105v.1	7	dairody	fertige abgemessene Ansatzfraktion II	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f105v	f105v.1	9	sairy	zweite Samenfraktion, abgeschlossen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f105v	f105v.14	9	kard	erste erhitzte Drogenfraktion, abgezogen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f10r	f10r.2	3	char	Trockenfraktion I	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f10r	f10r.2	6	chair	zweite Trockenfraktion	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f113v	f113v.12	3	arl	erste Holzfraktion	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f113v	f113v.17	1	saraiin	drei Teile der ersten Samenfraktion	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f113v	f113v.3	3	chotar	erste Fraktion des abgekühlten Trockenansatzes	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f113v	f113v.3	4	okeeodar	erste abgemessene Fraktion des vollständig erhitzten Auszugs	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f114r	f114r.26	9	airoy	zweite Drogenfraktion als Grundansatz	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f115r	f115r.1	1	fdar	erste Blütenfraktion abmessen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f30r	f30r.9	2	qochar	erste Trockenfraktion nehmen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f83v	f83v.12	4	lldar	erste Holzfraktion abmessen	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f85r2	f85r2.5	1	ockhdar	erste abgemessene Fraktion der Arzneizubereitung	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f86v5	f86v5.2	1	losair	zweite Fraktion des Holzpostens	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f86v6	f86v6.25	10	araram	ein Maß der ersten Drogenfraktion	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f86v6	f86v6.4	9	chdar	abgemessene Trockenfraktion I, Anfangsstufe	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f86v6	f86v6.4	11	karchees	vollständig getrocknete Kräutercharge der ersten heißen Fraktion	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f86v6	f86v6.5	6	chear	trockene Fraktion I	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
f8r	f8r.15	9	daiiiry	abgemessene vierte Trockenfraktion, Anfangsstufe	INHERITED	INHERITED	UNCHANGED_V64	INHERITED_OUTSIDE_GDT693_HEAD_SCOPE	MIGRATE_AS_COMPOSED_R_SHARE_OR_RETAIN_AS_INDEPENDENT_LEARNED_WHOLE
