rule_id	surface	expected_v65_gloss_de	fraction_de	share_de	stage_de	class_de	ar_level	construction	selected_candidate	selected_gloss_de	selected_formal_role
H001	ar	Drogenfraktion I	Drogenfraktion I	Drogenanteil I	Drogenmaterial auf Stufe I	Drogenstoff, Klasse I	I	NAKED	share	Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
H002	aiir	Drogenfraktion III	Drogenfraktion III	Drogenanteil III	Drogenmaterial auf Stufe III	Drogenstoff, Klasse III	III	NAKED	share	Drogenanteil III	R_INDEXED_MATERIAL_SHARE_SELECTOR
H003	oar	Fraktion I des Ansatzes	Fraktion I des Ansatzes	Anteil I des Ansatzes	Ansatz auf Zubereitungsstufe I	Ansatz, Stoffklasse I	I	O_PREP	share	Anteil I des Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H004	oair	Fraktion II des Ansatzes	Fraktion II des Ansatzes	Anteil II des Ansatzes	Ansatz auf Zubereitungsstufe II	Ansatz, Stoffklasse II	II	O_PREP	share	Anteil II des Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H005	odar	Fraktion I des Ansatzes abmessen	Fraktion I des Ansatzes abmessen	Anteil I des Ansatzes abmessen	Material des Ansatzes auf Stufe I abmessen	Ansatzstoff der Klasse I abmessen	I	O_MEASURE	share	Anteil I des Ansatzes abmessen	R_INDEXED_MATERIAL_SHARE_SELECTOR
H006	okar	Fraktion I des heißen Ansatzes	Fraktion I des heißen Ansatzes	Anteil I des heißen Ansatzes	heißer Ansatz auf Zubereitungsstufe I	heißer Ansatz, Stoffklasse I	I	O_HOT	share	Anteil I des heißen Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H007	otar	Fraktion I des kalten Ansatzes	Fraktion I des kalten Ansatzes	Anteil I des kalten Ansatzes	kalter Ansatz auf Zubereitungsstufe I	kalter Ansatz, Stoffklasse I	I	O_COLD	share	Anteil I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H008	otair	Fraktion II des kalten Ansatzes	Fraktion II des kalten Ansatzes	Anteil II des kalten Ansatzes	kalter Ansatz auf Zubereitungsstufe II	kalter Ansatz, Stoffklasse II	II	O_COLD	share	Anteil II des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H009	otarar	erste Unterfraktion der Fraktion I des kalten Ansatzes	erste Unterfraktion der Fraktion I des kalten Ansatzes	Unteranteil I des Anteils I des kalten Ansatzes	kalter Ansatz auf Zubereitungsstufe I, Unterstufe I	kalter Ansatz, Stoffklasse I, Unterklasse I	I_I	O_COLD_RECURSIVE	share	Unteranteil I des Anteils I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H010	otardy	fertige Fraktion I des kalten Ansatzes	fertige Fraktion I des kalten Ansatzes	fertiger Anteil I des kalten Ansatzes	kalter Ansatz auf Zubereitungsstufe I, fertig	kalter Ansatz, Stoffklasse I, fertig	I	O_COLD_FINISHED	share	fertiger Anteil I des kalten Ansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H011	olkar	Fraktion I des heißen Holzansatzes	Fraktion I des heißen Holzansatzes	Anteil I des heißen Holzansatzes	heißer Holzansatz auf Zubereitungsstufe I	heißer Holzansatz, Stoffklasse I	I	O_WOOD_HOT	share	Anteil I des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H012	olkaiir	Fraktion III des heißen Holzansatzes	Fraktion III des heißen Holzansatzes	Anteil III des heißen Holzansatzes	heißer Holzansatz auf Zubereitungsstufe III	heißer Holzansatz, Stoffklasse III	III	O_WOOD_HOT	share	Anteil III des heißen Holzansatzes	R_INDEXED_MATERIAL_SHARE_SELECTOR
H013	qokar	heiße Drogenfraktion I	heiße Drogenfraktion I	heißer Drogenanteil I	heiße Drogenzubereitung auf Stufe I	Drogenstoff, Klasse I, heiß	I	QO_HOT	share	heißer Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
H014	qotar	kalte Drogenfraktion I	kalte Drogenfraktion I	kalter Drogenanteil I	kalte Drogenzubereitung auf Stufe I	Drogenstoff, Klasse I, kalt	I	QO_COLD	share	kalter Drogenanteil I	R_INDEXED_MATERIAL_SHARE_SELECTOR
H015	qodar	Fraktion I abmessen	Fraktion I abmessen	Drogenanteil I abmessen	Drogenmaterial auf Stufe I abmessen	Drogenstoff der Klasse I abmessen	I	QO_MEASURE	share	Drogenanteil I abmessen	R_INDEXED_MATERIAL_SHARE_SELECTOR
H016	qokaiir	nimm die heiße Drogenfraktion III	nimm die heiße Drogenfraktion III	nimm den heißen Drogenanteil III	nimm die heiße Drogenzubereitung auf Stufe III	nimm heißen Drogenstoff der Klasse III	III	QO_HOT_TAKE	share	nimm den heißen Drogenanteil III	R_INDEXED_MATERIAL_SHARE_SELECTOR
