page	locus	token_ordinal	surface	verb_de	canonical_lemma	v64_token_gloss_de	v65_token_gloss_de	action_licensed	v64_exact_form_present	v65_exact_form_present	preserved_exact_ordinal	gdt692_additional_verb_form_loss	v66_fraction_exact_form_present	v66_share_exact_form_present	v66_stage_exact_form_present	v66_class_exact_form_present
f104v	f104v.2	1	ychedaiin	abmessen	abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	hiervon drei Dosen bis zur Mittelstufe getrocknete Droge abmessen	1	1	1	1	0	1	1	1	1
f104v	f104v.2	2	qoteed	abkühlen	abkühlen	Auszug vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	1	1	1	0	1	1	1	1
f104v	f104v.2	2	qoteed	abziehen	abziehen	Auszug vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	1	1	1	1	0	1	1	1	1
f104v	f104v.2	6	qokamdy	nehmen	nehmen	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	1	1	1	1	0	1	1	1	1
f104v	f104v.2	6	qokamdy	erhitzen	erhitzen	ein Maß nehmen und erhitzen	ein Maß nehmen und erhitzen	1	1	1	1	0	1	1	1	1
f105r	f105r.2	6	qodor	abmessen	abmessen	eine Portion Ansatz abmessen	eine Portion Ansatz abmessen	1	1	1	1	0	1	1	1	1
f105r	f105r.2	11	odar	abmessen	abmessen	erste Ansatzfraktion abmessen	Fraktion I des Ansatzes abmessen	1	1	1	1	0	1	1	1	1
f105r	f105r.31	5	aiijy	abfüllen	abfüllen	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	1	1	1	1	0	1	1	1	1
f105r	f105r.31	5	aiijy	schließen	abschließen	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	1	1	1	1	0	1	1	1	1
f105v	f105v.1	4	ykaiin	erhitze	erhitzen	erhitze hiervon auf Stufe III	erhitze hiervon auf Stufe III	1	1	1	1	0	1	1	1	1
