separator_route_id	target_ordered_pair	separator_focus	separated_recipe	separated_factor_gate_status	separator_decision	scope_selector_rules	portable_factor_rules	ordered_literal_reading_de	direct_pair_promoted	surface_or_occurrence_prediction	guard
G503-S01	CH>CHD	AIIN	CH+AIIN+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIIN	NEHMEN · WERT · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S02	CH>CHD	AIN	CH+AIN+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-AIN	NEHMEN · ANTEIL · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S03	CH>CHD	AIR	CH+AIR+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	L_AIR_RIGHT_FALLBACK	FOCUS:CHD<-AIR	NEHMEN · BAHN · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S04	CH>CHD	AL	CH+AL+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	AL_AR_ORDERED_FALLBACK	FOCUS:CH<-AL	NEHMEN · ZIELORT · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S05	CH>CHD	AR	CH+AR+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	AL_AR_ORDERED_FALLBACK	FOCUS:CH<-AR	NEHMEN · AUSGANG · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S06	CH>CHD	E	CH+E+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-E	NEHMEN · GRAD I · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S07	CH>CHD	EE	CH+EE+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-EE	NEHMEN · GRAD II · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S08	CH>CHD	EEE	CH+EEE+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-EEE	NEHMEN · GRAD III · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S09	CH>CHD	L	CH+L+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	L_AIR_RIGHT_FALLBACK	FOCUS:CHD<-L	NEHMEN · VERBINDUNG · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S10	CH>CHD	OR	CH+OR+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-OR	NEHMEN · EINHEIT · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
G503-S11	CH>CHD	Y	CH+Y+CHD	FACTOR_GREEN_CROSS_PAGE	SEPARATED_CHAIN_GREEN	NEAREST_HEAD_LEFT_TIE	FOCUS:CH<-Y	NEHMEN · POSTEN · BEARBEITEN	NO	NO	BROADER_CHAIN_SUPPORT_ONLY__TWO_HEAD_TARGETS_REMAIN_COMPOSED__NO_SURFACE_PREDICTION
