event_id	diagram_unit	physical_page	locus	surface	visible_owner_de	component_recipe	address_reading_de	diagram_model
P912-E0848	f75r	f75r	f75r.47	sal	mehrstufige Becken-, Figuren- und Laufseite	S+AL	mehrstufige Becken-, Figuren- und Laufseite: Klasse wählen, Zielplatz.	BECKEN_UND_FIGURENSTATIONEN
P912-E0849	f75r	f75r	f75r.47	okeedy	mehrstufige Becken-, Figuren- und Laufseite	OK+EE+DY	mehrstufige Becken-, Figuren- und Laufseite: Platz aktivieren, zweiter Grad, Eintrag schließen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0850	f75r	f75r	f75r.48	daly	mehrstufige Becken-, Figuren- und Laufseite	AL+Y	mehrstufige Becken-, Figuren- und Laufseite: Zielplatz, dieser Platz.	BECKEN_UND_FIGURENSTATIONEN
P912-E0851	f75r	f75r	f75r.48	ychey	mehrstufige Becken-, Figuren- und Laufseite	Y+Y	mehrstufige Becken-, Figuren- und Laufseite: dieser Platz.	BECKEN_UND_FIGURENSTATIONEN
P912-E0852	f75r	f75r	f75r.49	sols	mehrstufige Becken-, Figuren- und Laufseite	OL+S	mehrstufige Becken-, Figuren- und Laufseite: gleiche Reihe weiter, Klasse wählen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0853	f75r	f75r	f75r.49	dara	mehrstufige Becken-, Figuren- und Laufseite	D_ADDR+AR+A_ADDR	mehrstufige Becken-, Figuren- und Laufseite: Unterplatz, Quell- oder Bezugsstelle, lokale Adresse.	BECKEN_UND_FIGURENSTATIONEN
P912-E0854	f75r	f75r	f75r.50	ychty	mehrstufige Becken-, Figuren- und Laufseite	Y+CH+T+Y	mehrstufige Becken-, Figuren- und Laufseite: dieser Platz, Klassenkennung, Platz einstellen, dieser Platz.	BECKEN_UND_FIGURENSTATIONEN
P912-E0855	f75r	f75r	f75r.51	saino	mehrstufige Becken-, Figuren- und Laufseite	S+AIN+O	mehrstufige Becken-, Figuren- und Laufseite: Klasse wählen, Einheit, Reihe aufrufen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0856	f75r	f75r	f75r.52	saldy	mehrstufige Becken-, Figuren- und Laufseite	S+AL+DY	mehrstufige Becken-, Figuren- und Laufseite: Klasse wählen, Zielplatz, Eintrag schließen.	BECKEN_UND_FIGURENSTATIONEN
P912-E0857	f75r	f75r	f75r.53	dainy	mehrstufige Becken-, Figuren- und Laufseite	AIN+Y	mehrstufige Becken-, Figuren- und Laufseite: Einheit, dieser Platz.	BECKEN_UND_FIGURENSTATIONEN
