diagram_unit	physical_page	diagram_model	loci	groups	surface_types	dominant_address_components	concrete_diagram_reading_de
f75r	f75r	BECKEN_UND_FIGURENSTATIONEN	7	10	10	Y:6|S:4|AL:3|DY:2|AIN:2|OK:1|EE:1|OL:1|D_ADDR:1|AR:1	Die sieben Beschriftungsorte benennen keine neuen Tätigkeiten. Sie ordnen Becken- und Figurenstationen nach Klasse, Zielplatz, Einheit und nächster Stufe.
f81v	f81v	GEMEINSAMES_BADFELD	1	2	2	OT:1|AIN:1|OL:1|K:1|AL:1	Die zwei Karten am gemeinsamen Badfeld sagen sinngemäß: nächste Einheit; dieselbe Reihe am Zielplatz fortführen.
f82r	f82r	LOKALE_BAD_UND_LEITUNGSSTATIONEN	13	13	13	OL:7|OK:7|OR:4|Y:4|D_ADDR:3|AIR:2|DA:2|R:2|AL:2|AR:2	Dreizehn Einzelbeschriftungen kennzeichnen Quelle, Ziel, Unterplatz, Ringlauf, Stufe und Sollwert der jeweils benachbarten Station. Sie bilden kein zweites Rezept.
f83r	f83r	LOKALE_BECKEN_UND_VERBINDUNGSSTATIONEN	4	4	4	OL:4|S:4|DA:2|CH:1|T:1|OR:1|AIIN:1|A_ADDR:1|L:1|R:1	Vier Beschriftungen unterscheiden Stationstyp, Weiterführung, Sollwert und zweite Stufe an den lokalen Beckenverbindungen.
f67r2	f67r2	ZWEI_HIMMELSRAD_REGISTER	39	64	60	Y:38|O:19|K:15|S:15|AR:12|CH:11|E:10|D_ADDR:8|OK:8|OL:6	Die Beschriftungen rufen Ringreihen auf, wählen Klassen und Plätze und tragen Stufen oder Werte ein. Sie gehören zu zwei lokalen Rädern; sie sind keine laut gelesene Arbeitsprosa.
f68r1	f68r1	MEHRTEILIGER_STERNATLAS	30	34	34	Y:25|O:17|OK:9|OT:9|D_ADDR:8|E:5|CHD:5|CH:4|AR:4|OL:4	Die Sternbeschriftungen adressieren einzelne Plätze, Unterplätze, Grade und Gegenstellen in mehreren lokalen Paneelen. Es gibt kein einziges zwingendes Zentrum und keine festgelegte Laufrichtung.
f69v	f69v	DREI_GETRENNTE_HIMMELSRAD_NAMENSRAEUME	31	140	107	Y:80|O:38|E:28|OK:26|AR:22|EE:20|D_ADDR:19|OT:19|K:14|CH:13	Die Seite hat drei getrennte Adressräume. Das linke Rad besitzt 28 lokale Plätze; die beiden anderen Räder haben eigene Klassen und Einträge. Die Karten ergeben keine lineare 28-Schritt-Anweisung.
f70v1	f70v	WIDDERRAD_MIT_STERNFIGUREN	17	86	78	E:30|AL:28|O:28|Y:28|OT:24|SH:15|OK:15|EE:10|AIIN:9|CH:8	Die Ringtexte bezeichnen Figurenplätze des Widderrads: Reihe, Klasse, nächster Platz, Grad, Quell- oder Zielstelle und lokaler Wert. AIR bedeutet hier Ringlauf, nicht Wasser.
f70v2	f70v	FISCHRING_MIT_STERNFIGUREN	33	132	110	OT:47|Y:41|AL:39|O:33|E:27|EE:23|AR:22|OK:13|T:13|OL:13	Die Ringtexte bezeichnen die Plätze und Unterplätze des Fischpaars, wählen die jeweilige Reihe und tragen Grad oder Wert ein. Auch hier sind die Karten Adressen, keine Werkstattverben.
f88r	f88r	GEFAESS_WURZEL_UND_BLATTREIHEN	15	16	16	Y:8|OT:6|OR:6|AL:5|O:4|DA:4|S:3|D_ADDR:2|OL:2|R:2	Die Bildlabels ordnen die drei Gefäße sowie Wurzel- und Blattreihen: nächster Eintrag, Klasse, Zielplatz, Unterplatz, Stufe und Innenstelle.
