component	selected_value_de	event_id	page	statement_id	owner_de	surface	component_recipe	role_test	full_statement_de
K	ZUGEBEN	E032	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	oykchor	O+Y+K+OR	join active mixture	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
K	ZUGEBEN	E036	f10r	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	kaiiin	K+IIN	join active mixture	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Stufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.
P	EINBRINGEN	E043	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	cphy	P+Y	move inward to receiver or work site	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle bearbeiten und weiter halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einfuellen, laenger halten, bearbeiten, entnehmen und den Schritt schliessen.
K	ZUGEBEN	E049	f11r	H3-S003	abgebildete dicht blau blühende Kronenpflanze	kchy	K+Y	join active mixture	Bei der dicht bluehenden Kronenpflanze: Davon, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.
K	ZUGEBEN	E058	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	ykain	Y+K+AIN	join active mixture	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
K	ZUGEBEN	E059	f55v	H4-S001	abgebildete breitblättrige rispige Pflanze	ykan	Y+K+AN	join active mixture	Bei der breitblaettrigen rispigen Pflanze: Nach Sollmass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.
K	ZUGEBEN	E064	f55v	H4-S003	abgebildete breitblättrige rispige Pflanze	ykaiin	Y+K+AIIN	join active mixture	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann weiterarbeiten; den Schritt schliessen.
K	ZUGEBEN	E079	f56r	H5-S001	abgebildete mehrköpfige stachelige Pflanze	kchol	K+OL	join active mixture	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.
K	ZUGEBEN	E089	f56r	H5-S003	abgebildete mehrköpfige stachelige Pflanze	kchey	K+E+Y	join active mixture	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.
K	ZUGEBEN	E093	f56r	H5-S004	abgebildete mehrköpfige stachelige Pflanze	kchal	K+AL	join active mixture	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.
