page	locus	word_index	surface	formal_translation	production_class	root_family	root_action	state_role	bound_q	position	production_mode	production_source	production_operation	semantic_gloss	signature_roundtrip	production_roundtrip
f1r	f1r.1	1	fachys	START · SELECT(a) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	a	SELECT	PLAIN_FORM	0	START	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	2	ykal	MIDDLE · SELECT(EMPTY) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	EMPTY	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	3	ar	MIDDLE · SELECT(ar) · PLAIN_FORM · NEAR_FORM_EMIT	NEAR_FORM_EMIT	ar	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	4	ataiin	MIDDLE · SELECT(a) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	a	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	5	shol	MIDDLE · SELECT(H) · RESOLVE · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	H	SELECT	RESOLVE	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	6	shory	MIDDLE · REPEAT1(H) · RESOLVE · EDIT<f1r.1:5=shol;ins@3:r,sub@3:l>y>	DERIVED_EDIT	H	REPEAT1	RESOLVE	0	MIDDLE	EDIT	f1r.1:5=shol	ins@3:r,sub@3:l>y	UNGROUNDED	True	True
f1r	f1r.1	7	cthres	MIDDLE · SELECT(cthr) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	cthr	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	8	y	MIDDLE · SELECT(EMPTY) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	EMPTY	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	9	kor	MIDDLE · SELECT(k) · PLAIN_FORM · NEAR_FORM_EMIT	NEAR_FORM_EMIT	k	SELECT	PLAIN_FORM	0	MIDDLE	LITERAL		literal	UNGROUNDED	True	True
f1r	f1r.1	10	sholdy	END · SELECT(H) · PLAIN_FORM · PAGE_INIT_FUTURE_REUSED	PAGE_INIT_FUTURE_REUSED	H	SELECT	PLAIN_FORM	0	END	LITERAL		literal	UNGROUNDED	True	True
