page	locus	word_index	surface	root_family	root_action	position	state_role	bound_q	unit_count	signature_code	signature_reconstruction	signature_roundtrip	structural_reading	production_mode	production_source	production_operation	production_roundtrip	chosen_bits	literal_bits	strict_first	strict_last
f1r	f1r.1	1	fachys	a	SELECT	START	PLAIN_FORM	0	3	a|q0|F|NONE|NONE|NONE+ch|q0|NONE|NONE|NONE|Y+s|q0|NONE|NONE|NONE|NONE	fachys	True	START:SELECT:a:PLAIN_FORM	LITERAL		literal	True	31.770981551934376	31.770981551934376	a|q0|F|NONE|NONE|NONE	s|q0|NONE|NONE|NONE|NONE
f1r	f1r.1	2	ykal	EMPTY	SELECT	MIDDLE	PLAIN_FORM	0	2	EMPTY|q0|NONE|NONE|NONE|Y+k|q0|NONE|NONE|AL|NONE	ykal	True	MIDDLE:SELECT:EMPTY:PLAIN_FORM	LITERAL		literal	True	26.8167852415475	26.8167852415475	EMPTY|q0|NONE|NONE|NONE|Y	k|q0|NONE|NONE|AL|NONE
f1r	f1r.1	3	ar	ar	SELECT	MIDDLE	PLAIN_FORM	0	1	ar|q0|NONE|NONE|NONE|NONE	ar	True	MIDDLE:SELECT:ar:PLAIN_FORM	LITERAL		literal	True	14.90839262077375	14.90839262077375	ar|q0|NONE|NONE|NONE|NONE	ar|q0|NONE|NONE|NONE|NONE
f1r	f1r.1	4	ataiin	a	SELECT	MIDDLE	PLAIN_FORM	0	2	a|q0|NONE|NONE|NONE|NONE+t|q0|NONE|NONE|AII|N	ataiin	True	MIDDLE:SELECT:a:PLAIN_FORM	LITERAL		literal	True	36.725177862321246	36.725177862321246	a|q0|NONE|NONE|NONE|NONE	t|q0|NONE|NONE|AII|N
f1r	f1r.1	5	shol	H	SELECT	MIDDLE	RESOLVE	0	1	sh|q0|NONE|NONE|OL|NONE	shol	True	MIDDLE:SELECT:H:RESOLVE	LITERAL		literal	True	21.862588931160623	21.862588931160623	sh|q0|NONE|NONE|OL|NONE	sh|q0|NONE|NONE|OL|NONE
f1r	f1r.1	6	shory	H	REPEAT1	MIDDLE	RESOLVE	0	1	sh|q0|NONE|NONE|OR|Y	shory	True	MIDDLE:REPEAT1:H:RESOLVE	EDIT	f1r.1:5=shol	ins@3:r,sub@3:l>y	True	25.90839262077375	26.8167852415475	sh|q0|NONE|NONE|OR|Y	sh|q0|NONE|NONE|OR|Y
f1r	f1r.1	7	cthres	cthr	SELECT	MIDDLE	PLAIN_FORM	0	2	cthr|q0|NONE|NONE|NONE|NONE+es|q0|NONE|NONE|NONE|NONE	cthres	True	MIDDLE:SELECT:cthr:PLAIN_FORM	LITERAL		literal	True	26.8167852415475	26.8167852415475	cthr|q0|NONE|NONE|NONE|NONE	es|q0|NONE|NONE|NONE|NONE
f1r	f1r.1	8	y	EMPTY	SELECT	MIDDLE	PLAIN_FORM	0	1	EMPTY|q0|NONE|NONE|NONE|Y	y	True	MIDDLE:SELECT:EMPTY:PLAIN_FORM	LITERAL		literal	True	9.954196310386875	9.954196310386875	EMPTY|q0|NONE|NONE|NONE|Y	EMPTY|q0|NONE|NONE|NONE|Y
f1r	f1r.1	9	kor	k	SELECT	MIDDLE	PLAIN_FORM	0	2	k|q0|NONE|NONE|NONE|NONE+or|q0|NONE|NONE|NONE|NONE	kor	True	MIDDLE:SELECT:k:PLAIN_FORM	LITERAL		literal	True	21.862588931160623	21.862588931160623	k|q0|NONE|NONE|NONE|NONE	or|q0|NONE|NONE|NONE|NONE
f1r	f1r.1	10	sholdy	H	SELECT	END	PLAIN_FORM	0	2	sh|q0|NONE|NONE|OL|NONE+d|q0|NONE|NONE|NONE|Y	sholdy	True	END:SELECT:H:PLAIN_FORM	LITERAL		literal	True	31.770981551934376	31.770981551934376	sh|q0|NONE|NONE|OL|NONE	d|q0|NONE|NONE|NONE|Y
f1r	f1r.2	1	sory	s	SELECT	START	PLAIN_FORM	0	2	s|q0|NONE|NONE|NONE|NONE+or|q0|NONE|NONE|NONE|Y	sory	True	START:SELECT:s:PLAIN_FORM	EDIT	f1r.1:6=shory	sub@1:sh>s	True	20.954196310386877	26.8167852415475	s|q0|NONE|NONE|NONE|NONE	or|q0|NONE|NONE|NONE|Y
f1r	f1r.2	2	ckhar	ckh	SELECT	MIDDLE	RESOLVE	0	1	ckh|q0|NONE|NONE|AR|NONE	ckhar	True	MIDDLE:SELECT:ckh:RESOLVE	LITERAL		literal	True	21.862588931160623	21.862588931160623	ckh|q0|NONE|NONE|AR|NONE	ckh|q0|NONE|NONE|AR|NONE
f1r	f1r.2	3	or	or	SELECT	MIDDLE	PLAIN_FORM	0	1	or|q0|NONE|NONE|NONE|NONE	or	True	MIDDLE:SELECT:or:PLAIN_FORM	SPLIT_SUFFIX	f1r.1:9=kor	split_suffix	True	11.0	14.90839262077375	or|q0|NONE|NONE|NONE|NONE	or|q0|NONE|NONE|NONE|NONE
f1r	f1r.2	4	y	EMPTY	SELECT	MIDDLE	PLAIN_FORM	0	1	EMPTY|q0|NONE|NONE|NONE|Y	y	True	MIDDLE:SELECT:EMPTY:PLAIN_FORM	COPY	f1r.1:8=y	exact	True	8.0	9.954196310386875	EMPTY|q0|NONE|NONE|NONE|Y	EMPTY|q0|NONE|NONE|NONE|Y
