word	count	h12	h12_collision_size	line_first	line_last	mean_line_position	P_running	L_label	C_circle	R_radius	section_H	section_S	section_B	section_P	section_Z	section_C	section_A	section_T	currier_A	currier_B
daiin	850	gena	4	158	130	0.5072	818	5	24	3	462	129	81	96	12	28	11	31	500	313
ol	566	ula	13	33	43	0.4894	536	0	29	1	97	117	223	44	2	38	3	42	109	441
aiin	514	ena	4	1	40	0.5592	468	1	44	1	113	221	35	35	26	33	12	39	88	380
chedy	508	eda	9	6	35	0.5598	495	0	12	1	67	198	184	1	4	13	1	40	1	498
shedy	435	meda	5	7	21	0.4793	425	1	9	0	37	118	219	1	6	11	0	43	2	425
ar	414	ara	13	3	26	0.5551	341	8	60	5	87	173	16	6	29	52	13	38	57	287
chol	398	ula	13	18	5	0.4315	381	2	15	0	229	72	10	44	5	13	6	19	278	100
or	396	ura	13	32	18	0.4611	370	1	23	2	131	78	65	35	3	36	4	44	107	279
s	357	sa	16	18	34	0.5659	317	12	27	1	192	37	27	45	10	18	14	14	205	113
chey	355	ea	12	5	19	0.4642	339	1	14	1	82	127	76	23	6	12	2	27	89	248
y	341	a	14	63	39	0.4580	289	16	34	2	128	85	44	13	11	30	6	24	117	182
dar	323	gara	10	37	43	0.5470	286	5	26	6	117	47	59	24	7	27	10	32	100	190
qokeey	307	ugēa	19	32	11	0.4381	303	0	2	2	22	165	78	21	1	2	4	14	40	262
qokeedy	307	ugēda	11	32	4	0.4414	307	0	0	0	12	136	148	0	0	1	0	10	0	307
dy	280	ga	16	2	87	0.7155	250	6	18	6	149	16	51	16	7	19	10	12	126	118
shey	279	mea	7	6	13	0.4365	270	0	8	1	43	85	87	20	7	5	6	26	59	202
qokain	279	ugæna	6	25	10	0.4781	279	0	0	0	7	102	160	1	0	1	0	8	4	275
qokedy	276	ugeda	14	20	10	0.4684	276	0	0	0	41	61	158	1	0	4	0	11	1	275
qokaiin	265	ugena	6	29	12	0.4571	265	0	0	0	34	125	81	2	0	3	0	20	22	243
al	263	ala	11	1	27	0.5789	218	3	38	4	26	146	17	7	25	22	3	17	27	193
dal	242	gala	13	5	47	0.6472	214	4	21	3	65	36	63	24	7	21	6	20	80	131
o	218	u	9	23	2	0.4220	157	18	40	3	75	44	19	15	12	31	11	11	77	99
okaiin	216	ugena	6	15	13	0.4849	204	5	7	0	59	98	31	6	7	4	0	11	36	171
dain	214	gæna	3	49	27	0.4988	211	0	3	0	92	49	40	12	0	1	3	17	99	112
chor	212	ura	13	10	6	0.4256	209	2	0	1	156	19	0	25	0	3	2	7	180	27
qokal	197	ugala	16	14	12	0.5052	191	3	2	1	13	51	103	3	0	13	0	14	16	174
chy	193	a	14	2	11	0.5197	173	4	15	1	122	21	12	7	8	11	5	7	121	52
l	192	la	15	3	4	0.4887	169	6	17	0	25	103	27	8	2	17	1	9	29	145
shol	186	mula	2	16	4	0.3784	179	1	6	0	115	27	14	8	5	8	0	9	118	58
cheey	186	ēa	8	3	6	0.4483	177	0	8	1	26	82	41	18	6	5	3	5	40	133
okeey	185	ugēa	19	12	4	0.4518	160	6	12	7	15	99	16	23	11	12	5	4	32	125
cheol	171	eula	5	7	5	0.4299	164	0	7	0	35	58	28	37	4	1	2	6	66	98
r	169	ra	10	1	7	0.5514	139	5	24	1	48	41	30	14	4	19	4	9	56	90
otedy	165	uteda	12	4	6	0.5567	140	10	14	1	23	60	49	0	4	19	0	10	0	160
qokar	159	ugara	14	7	3	0.4811	157	0	2	0	30	51	45	5	1	3	0	24	16	141
okal	156	ugala	16	3	13	0.5728	134	7	14	1	39	58	24	5	7	15	2	6	36	105
otaiin	155	utena	7	4	12	0.5978	141	2	12	0	34	79	12	3	13	5	0	9	31	110
otar	154	utara	11	2	5	0.6104	126	8	19	1	26	63	20	2	15	12	2	14	11	122
sheey	149	mēa	2	4	3	0.4266	144	2	3	0	26	53	28	18	1	10	1	12	42	99
chdy	147	da	8	0	17	0.5810	140	3	4	0	58	40	18	1	3	11	0	16	9	131
qoky	147	uga	28	7	28	0.6095	147	0	0	0	36	34	60	6	0	1	0	10	35	112
oteey	145	utēa	12	9	4	0.5104	108	4	30	3	12	64	17	5	21	15	7	4	13	98
qol	142	ula	13	17	9	0.4288	142	0	0	0	3	27	104	4	0	0	0	4	6	136
okain	141	ugæna	6	8	11	0.5157	136	4	1	0	19	71	40	1	0	1	1	8	9	131
okar	140	ugara	14	6	4	0.5357	123	5	8	4	38	46	18	5	1	11	4	17	15	114
chckhy	139	kha	12	1	9	0.5459	134	0	4	1	48	38	34	3	1	5	0	10	15	122
otal	137	utala	13	1	11	0.6184	125	7	5	0	25	60	22	4	8	4	0	14	22	104
saiin	127	sena	5	56	9	0.3552	122	1	4	0	37	37	30	9	3	1	2	8	36	86
sho	125	ma	7	31	0	0.3237	118	0	6	1	93	14	0	7	2	5	1	3	103	15
okedy	120	ugeda	14	1	6	0.5315	109	4	7	0	25	32	41	0	3	7	1	11	0	115
oty	118	uta	20	3	25	0.6907	103	3	11	1	51	26	17	1	7	9	1	6	42	63
ain	117	æna	4	0	10	0.5160	112	2	3	0	16	58	16	7	0	6	3	11	13	100
lchedy	116	leda	5	6	17	0.5450	116	0	0	0	3	53	51	0	0	0	0	9	1	115
dair	111	gæra	6	26	6	0.4327	93	2	13	3	35	31	3	13	1	12	9	7	46	46
okeedy	111	ugēda	11	4	10	0.5584	105	1	5	0	17	47	36	1	4	1	1	4	2	104
dol	109	gula	4	14	6	0.4975	105	0	4	0	48	7	28	18	0	2	2	4	62	45
qokey	109	ugea	21	10	7	0.4381	109	0	0	0	8	43	35	11	0	1	1	10	18	90
sheol	109	meula	3	3	4	0.3765	105	2	2	0	22	27	25	20	3	1	1	10	40	64
shy	107	ma	7	3	10	0.4845	103	1	2	1	72	9	11	5	1	3	1	5	65	38
oky	106	uga	28	3	22	0.6516	93	8	4	1	54	13	12	7	5	3	3	9	44	52
oteedy	106	utēda	11	3	4	0.5447	90	4	12	0	5	57	22	0	6	11	1	4	1	97
cthy	103	tha	7	0	27	0.6434	103	0	0	0	92	1	1	2	0	2	1	4	94	6
qokol	98	ugula	10	11	0	0.4284	96	0	0	2	33	14	22	22	0	2	1	4	46	49
shor	96	mura	2	19	2	0.3338	95	0	1	0	68	8	3	6	0	3	0	8	69	27
otain	96	utæna	5	1	8	0.6182	94	2	0	0	11	53	23	0	1	2	0	6	3	92
cheor	93	eura	3	2	3	0.4347	82	1	10	0	33	14	10	21	6	2	4	3	51	30
chody	92	uda	17	1	9	0.5843	87	1	3	1	46	23	0	12	0	5	1	5	44	44
cheody	91	euda	7	1	12	0.5725	82	1	5	3	23	34	0	19	3	5	3	4	28	53
qoty	89	uta	20	4	17	0.6173	87	0	2	0	32	20	27	0	1	3	0	6	30	58
qotedy	89	uteda	12	2	4	0.5418	87	1	1	0	12	25	46	0	0	1	0	5	0	89
am	88	a	14	0	59	0.9278	75	6	7	0	21	31	4	3	9	11	4	5	17	55
dam	88	ga	16	0	54	0.8565	84	2	1	1	46	14	7	10	0	5	2	4	43	38
cho	87	u	9	3	4	0.4496	80	1	6	0	56	16	0	7	1	2	4	1	63	17
char	85	ara	13	2	1	0.5251	77	4	3	1	35	36	5	1	4	3	0	1	35	43
air	84	æra	5	0	1	0.5472	64	5	15	0	14	39	3	3	9	9	4	3	9	53
sheedy	84	mēda	3	3	0	0.4032	83	0	1	0	8	26	41	1	1	2	0	5	1	82
otol	82	utula	12	7	3	0.5238	65	5	11	1	31	11	12	7	5	7	3	6	39	30
chcthy	81	tha	7	0	7	0.5824	79	0	2	0	25	25	23	1	1	3	0	3	21	58
sar	81	sara	7	30	12	0.3859	69	1	7	4	14	23	20	6	1	11	4	2	17	53
kaiin	79	kena	4	1	4	0.5511	77	0	2	0	24	36	7	0	1	2	0	9	18	59
qotaiin	79	utena	7	5	7	0.5274	79	0	0	0	14	42	13	0	0	4	0	6	13	66
okol	78	ugula	10	4	5	0.5291	64	7	7	0	25	8	8	21	2	6	6	2	44	22
cheo	78	ea	12	3	0	0.4437	70	0	7	1	16	38	0	13	2	3	4	2	27	42
qoteedy	77	utēda	11	10	4	0.4806	76	0	1	0	2	31	41	0	1	0	0	2	0	76
d	72	ga	16	3	12	0.6590	50	8	12	2	40	1	5	1	1	14	1	9	42	17
dor	68	gura	3	19	6	0.4242	66	1	1	0	42	3	8	9	0	1	1	4	45	22
odaiin	67	udena	5	7	5	0.5152	59	1	7	0	26	20	1	5	0	8	1	6	30	36
qokchy	67	uga	28	13	4	0.4286	66	0	0	1	44	14	5	1	0	0	1	2	40	26
sol	67	sula	4	36	2	0.2258	64	0	2	1	14	6	37	6	0	1	2	1	19	45
cheky	67	ega	8	0	6	0.5189	59	1	6	1	28	13	10	4	2	5	2	3	13	48
oly	65	ula	13	1	40	0.8671	58	2	5	0	12	9	28	1	2	4	2	7	9	51
okey	65	ugea	21	2	4	0.4683	55	1	7	2	11	18	11	12	4	2	6	1	19	33
sain	65	sæna	3	36	7	0.2852	65	0	0	0	6	24	21	2	0	2	2	8	7	56
okeol	64	ugeula	9	1	5	0.5089	57	1	4	2	10	13	3	31	3	2	2	0	38	19
raiin	64	rena	1	0	6	0.6203	63	0	1	0	3	41	12	2	1	1	0	4	4	59
qotar	64	utara	11	2	6	0.5737	63	0	1	0	9	29	16	0	0	2	0	8	1	63
qotchy	62	uta	20	18	3	0.3437	62	0	0	0	49	7	4	2	0	0	0	0	49	13
keedy	62	kēda	6	0	6	0.5465	62	0	0	0	9	34	17	0	0	1	0	1	0	62
kar	61	kara	7	1	4	0.5441	59	1	1	0	23	22	7	1	1	1	0	6	8	52
shckhy	60	makha	3	0	0	0.4060	59	0	1	0	7	21	22	0	1	0	0	9	4	54
otey	60	utea	17	0	1	0.6021	43	1	15	1	6	18	14	1	12	4	2	3	7	37
cheedy	60	ēda	5	0	4	0.5883	58	0	2	0	3	24	24	3	2	0	0	4	3	55
qotain	60	utæna	5	3	4	0.5371	60	0	0	0	0	36	20	0	0	0	0	4	2	58
qotal	59	utala	13	2	5	0.5712	59	0	0	0	6	19	25	0	0	2	0	7	4	53
ykeey	57	agēa	7	11	1	0.3411	52	0	3	2	18	14	8	9	2	3	1	2	22	30
cthol	56	thula	3	1	6	0.5616	56	0	0	0	46	2	1	5	0	1	0	1	52	3
keey	56	kēa	9	0	2	0.5069	50	0	5	1	14	22	3	7	2	1	4	3	22	27
shody	53	muda	4	5	10	0.4542	53	0	0	0	30	11	1	3	0	0	0	8	26	27
qo	53	u	9	13	2	0.3699	53	0	0	0	22	13	10	1	0	0	0	7	22	30
olaiin	52	ulena	4	4	1	0.4425	43	3	6	0	9	13	6	10	6	3	0	5	11	35
