current_pair_card_id	source_gdt509_card_id	source_gdt506_target_frame_card_id	target_matrix_cell_id	target_register	target_action_recipe	ordered_action_pair	literal_component_trace_de	carrier_neutral_handgrip_de	working_translation_de	target_argument_policy	target_argument_roots	old_gdt509_evidence_route	current_support_tier	current_support_tier_order	current_support_tier_title_de	target_register_local_support_form	pair_order_locality	support_span_class	current_evidence_ids	current_support_reading_de	current_residual_weakness_de	source_gdt510_upgrade_card_id	source_gdt511_linkage_card_id	selected_local_linkage_tier	selected_local_linkage_event_ids	selected_local_linkage_gap	target_register_local_support_present	default_decision	translation_status	target_evidence_status_retained	target_recipe_observed_exactly	target_phrase_changed	working_root_meaning_changed	surface_prediction_made	occurrence_prediction_made	guard
G512-C01	G509-C01	G506-T06	G498-M495	PHARMA	CH+P	CH+P	NEHMEN · EINSETZEN	Nimm das zuvor Genannte und setze es ein.	Nimm das zuvor Genannte und setze es ein.	CONTEXTUAL_TARGET_ARGUMENT	NONE	A_LOCAL_FRAME_REDUCTION	T1_LOCAL_ARGUMENT_COMPATIBLE_FRAME_REDUCTION	1	Lokaler argumentkompatibler Rahmenabbau	LOCAL_ARGUMENT_COMPATIBLE_ORDERED_FRAME_REDUCTION	LOCAL_TARGET_REGISTER_CARRIER	SINGLE_EVENT_REDUCTION	G407-E3844	Ein alter Träger im Zielregister reduziert geordnet auf den Zielrahmen und behält denselben Argumentmodus.	Das nackte Zielrezept selbst ist nicht beobachtet.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C02	G509-C02	G506-T07	G498-M491	SOURCE_SECTION_T	CH+P	CH+P	NEHMEN · EINSETZEN	Nimm das zuvor Genannte und setze es ein.	Entnimm das zuvor Genannte und setze es ein.	CONTEXTUAL_TARGET_ARGUMENT	NONE	A_LOCAL_FRAME_REDUCTION	T1_LOCAL_ARGUMENT_COMPATIBLE_FRAME_REDUCTION	1	Lokaler argumentkompatibler Rahmenabbau	LOCAL_ARGUMENT_COMPATIBLE_ORDERED_FRAME_REDUCTION	LOCAL_TARGET_REGISTER_CARRIER	SINGLE_EVENT_REDUCTION	G407-E0044	Ein alter Träger im Zielregister reduziert geordnet auf den Zielrahmen und behält denselben Argumentmodus.	Das nackte Zielrezept selbst ist nicht beobachtet.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C03	G509-C03	G506-T01	G498-M270	PHARMA	P+CH+E+Y	P+CH	EINSETZEN · NEHMEN · GRAD I · POSTEN	Setze das zuvor Genannte ein und nimm es.	Setze den Drogenposten ein und nimm den Drogenposten; auf Grad I.	EXPLICIT_TARGET_ARGUMENTS	Y	A_LOCAL_FRAME_REDUCTION	T1_LOCAL_ARGUMENT_COMPATIBLE_FRAME_REDUCTION	1	Lokaler argumentkompatibler Rahmenabbau	LOCAL_ARGUMENT_COMPATIBLE_ORDERED_FRAME_REDUCTION	LOCAL_TARGET_REGISTER_CARRIER	SINGLE_EVENT_REDUCTION	G407-E3846	Ein alter Träger im Zielregister reduziert geordnet auf den Zielrahmen und behält denselben Argumentmodus.	Das nackte Zielrezept selbst ist nicht beobachtet.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C04	G509-C08	G506-T08	G498-M460	PHARMA	CH+CH	CH+CH	NEHMEN · NEHMEN	Nimm das zuvor Genannte zweimal.	Nimm das zuvor Genannte zweimal.	CONTEXTUAL_TARGET_ARGUMENT	NONE	C_LOCAL_CONTEXT_BRIDGE	T2_LOCAL_CONTEXT_BRIDGE	2	Lokale unmittelbare/innerhalb-Karte-Kontextbrücke	LOCAL_WITHIN_OR_IMMEDIATE_SAME_ARGUMENT_CONTEXT_BRIDGE	LOCAL_TARGET_REGISTER_CONTEXT_CHAIN	SINGLE_EVENT_AND_OR_IMMEDIATE_EVENTS	G407-E3803|G407-E4239→G407-E4240	Die Paarordnung ist alt; im Zielregister trägt eine konkrete gleiche-Argument-Folge die fehlende Kontextmechanik.	Paarordnung und Kontextmechanik können auf verschiedene alte Karten verteilt sein.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C05	G509-C09	G506-T10	G498-M465	PHARMA	CH+SH	CH+SH	NEHMEN · HALTEN	Nimm das zuvor Genannte und halte es.	Nimm das zuvor Genannte und halte es.	CONTEXTUAL_TARGET_ARGUMENT	NONE	C_LOCAL_CONTEXT_BRIDGE	T2_LOCAL_CONTEXT_BRIDGE	2	Lokale unmittelbare/innerhalb-Karte-Kontextbrücke	LOCAL_WITHIN_OR_IMMEDIATE_SAME_ARGUMENT_CONTEXT_BRIDGE	LOCAL_TARGET_REGISTER_CONTEXT_CHAIN	SINGLE_EVENT_AND_OR_IMMEDIATE_EVENTS	G407-E0298|G407-E3857→G407-E3858	Die Paarordnung ist alt; im Zielregister trägt eine konkrete gleiche-Argument-Folge die fehlende Kontextmechanik.	Paarordnung und Kontextmechanik können auf verschiedene alte Karten verteilt sein.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C06	G509-C10	G506-T11	G498-M461	SOURCE_SECTION_T	CH+SH	CH+SH	NEHMEN · HALTEN	Nimm das zuvor Genannte und halte es.	Entnimm das zuvor Genannte und halte es fest.	CONTEXTUAL_TARGET_ARGUMENT	NONE	C_LOCAL_CONTEXT_BRIDGE	T2_LOCAL_CONTEXT_BRIDGE	2	Lokale unmittelbare/innerhalb-Karte-Kontextbrücke	LOCAL_WITHIN_OR_IMMEDIATE_SAME_ARGUMENT_CONTEXT_BRIDGE	LOCAL_TARGET_REGISTER_CONTEXT_CHAIN	SINGLE_EVENT_AND_OR_IMMEDIATE_EVENTS	G407-E0298|G407-E0117→G407-E0118	Die Paarordnung ist alt; im Zielregister trägt eine konkrete gleiche-Argument-Folge die fehlende Kontextmechanik.	Paarordnung und Kontextmechanik können auf verschiedene alte Karten verteilt sein.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C07	G509-C11	G506-T09	G498-M456	SOURCE_SECTION_T	CH+CH	CH+CH	NEHMEN · NEHMEN	Nimm das zuvor Genannte zweimal.	Entnimm das zuvor Genannte zweimal.	CONTEXTUAL_TARGET_ARGUMENT	NONE	D_LOCAL_REPEATED_PACKAGE_PROJECTION	T3_LOCAL_REPEATED_PACKAGE_PROJECTION	3	Lokale Wiederholung eines größeren Pakets	LOCAL_REPEATED_CH_PACKAGE_PROJECTION	LOCAL_TARGET_REGISTER_PACKAGE_PROJECTION	ZERO_OR_ONE_GAP_REPEATED_PACKAGES	G407-E0630|G407-E0019→G407-E0020|G407-E0187→G407-E0188→G407-E0189	Die Paarordnung ist alt; im Source-Register wiederholt ein exaktes CH-tragendes Paket denselben geerbten Wert, und je ein CH-Slot bleibt erhalten.	Die lokale Brücke liegt auf Paketprojektionsebene, nicht als nacktes CH+CH-Ereignis.	NONE	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C08	G509-C07	G506-T03	G498-M269	CELESTIAL	P+CH+E+Y	P+CH	EINSETZEN · NEHMEN · GRAD I · POSTEN	Setze das zuvor Genannte ein und nimm es.	Setze den Positionsposten ein und nimm den Positionsposten auf; auf Grad I.	EXPLICIT_TARGET_ARGUMENTS	Y	B_CROSS_REGISTER_FRAME_REDUCTION	T4_LOCAL_CONTIGUOUS_SUFFIX_REDUCTION	4	Lokaler exakter zusammenhängender Suffix	LOCAL_CONTIGUOUS_TARGET_SUFFIX_IN_LONGER_EVENT	LOCAL_TARGET_REGISTER_CONTIGUOUS_INTERVAL	SINGLE_EVENT_CONTIGUOUS_SUFFIX	G407-E0966|G407-E3846	Der vollständige Zielrahmen steht im Zielregister als exakter zusammenhängender Suffix einer längeren Karte.	Der Zielrahmen ist nur als Suffix einer längeren lokalen Drei-Aktions-Karte alt; die nackte Zielkarte bleibt unbelegt.	G510-T04	NONE	NOT_APPLICABLE	NOT_APPLICABLE	NOT_APPLICABLE	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C09	G509-C06	G506-T05	G498-M291	SOURCE_SECTION_T	S+CHD+Y	S+CHD	WÄHLEN · BEARBEITEN · POSTEN	Wähle das zuvor Genannte und bearbeite es.	Wähle den laufenden Eintrag und bearbeite den laufenden Eintrag.	EXPLICIT_TARGET_ARGUMENTS	Y	B_CROSS_REGISTER_FRAME_REDUCTION	T5_LOCAL_LONG_SAME_STATEMENT_HEAD_INVENTORY	5	Langes lokales Kopf-Inventar in derselben Anweisung	LOCAL_S_ON_Y_AND_CHD_ON_Y_HEAD_INVENTORY	CROSS_REGISTER_CARRIER_ONLY	LONG_MULTI_EVENT_HEAD_INVENTORY	G407-E0079|G407-E0102|G407-E1883	Beide Köpfe liegen in derselben Anweisung, aber nicht unmittelbar und nicht unter durchgehendem Y-Zustand. Die gerichtete Paarordnung bleibt bei G407-E1883.	Die lokalen Köpfe bilden weder ein unmittelbares noch ein Y-kontinuierliches Paar; das nackte Zielrezept bleibt unbelegt.	G510-T03	G511-C03	A_LONG_SAME_STATEMENT_OWNER_PAGE	G407-E0079|G407-E0102	22	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
G512-C10	G509-C05	G506-T04	G498-M295	PHARMA	S+CHD+Y	S+CHD	WÄHLEN · BEARBEITEN · POSTEN	Wähle das zuvor Genannte und bearbeite es.	Wähle den Drogenposten und bearbeite den Drogenposten.	EXPLICIT_TARGET_ARGUMENTS	Y	B_CROSS_REGISTER_FRAME_REDUCTION	T6_LOCAL_LONG_SAME_OWNER_PAGE_HEAD_INVENTORY	6	Langes lokales Kopf-Inventar bei demselben Besitzer	LOCAL_S_ON_Y_AND_CHD_ON_Y_HEAD_INVENTORY	CROSS_REGISTER_CARRIER_ONLY	LONG_MULTI_EVENT_HEAD_INVENTORY	G407-E3999|G407-E4028|G407-E1883	Beide Köpfe liegen beim selben Besitzer auf derselben Seite, aber nicht in derselben Anweisung oder unter durchgehendem Y-Zustand. Die gerichtete Paarordnung bleibt bei G407-E1883.	Die lokalen Köpfe bilden weder ein unmittelbares noch ein Y-kontinuierliches Paar; das nackte Zielrezept bleibt unbelegt.	G510-T02	G511-C02	B_LONG_SAME_OWNER_PAGE	G407-E3999|G407-E4028	28	YES	KEEP_CURRENT_WORKING_TRANSLATION	EXPLORATORY_COMPOSED_DEFAULT__TARGET_UNOBSERVED	COMPOSED_WORKING	NO	NO	NO	NO	NO	COMPLETE_PAIR_TIER_REVISION_ONLY__ALL_TARGET_RECIPES_UNOBSERVED
