transition_serial	statement_id	record_unit_id	page	statement_ordinal_in_record	constituent_fields	entry_boundary_class	exit_boundary_class	pre_state	selected_mnemonic_triggers	observed_triggers	inferred_missing_slots	silent_register_demand	owner_operation	active_item_preparation_operation	target_station_operation	previous_item_operation	operation_trace	post_state	backward_reconstructable_from_post_state_only	backward_reconstructability	irreducible_ambiguity_codes	complete_creative_reading	strongest_source_alternative	source_boundary_triggers	anonymous_id_contract	card_binding_contract	source_lineage
1	H1-S001	H1	f10r	1	F001	RECORD_START	RESUME_ACTIVE_ITEM	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	ANWENDEN? | MASS?	BOUNDARY:RECORD_START | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:MASS? | CLOSURE:F001:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_FROM:H1-LB01:RESUME_ACTIVE_ITEM	ACTIVE_ITEM/PREPARATION | TARGET/STATION	TARGET/STATION	INTRODUCE	INTRODUCE	INTRODUCE	INTRODUCE	OWNER:INTRODUCE(H1:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H1:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H1:I002;LOCAL_RETAINED_PART) -> TARGET/STATION:INTRODUCE_INFERRED(H1:T001;TARGET_SENSITIVE_ACTION)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INFERRED_WITHOUT_EXACT_OR_LOCAL_CUE	TARGET_INFERRED_WITHOUT_EXACT_OR_LOCAL_CUE	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Wurzelstoff aus dem Bildlos übernehmen [Ganzfeldexemplar H1, Feld 1/2]	FROM:H1-LB01:RESUME_ACTIVE_ITEM	H1:Oxx/H1:Ixxx/H1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
2	H1-S002	H1	f10r	2	F002	RESUME_ACTIVE_ITEM	RECORD_END	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	BEREIT?	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:BEREIT? | CLOSURE:F002:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:H1-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	OWNER | ACTIVE_ITEM/PREPARATION | PREVIOUS_ITEM	CARRY	RESUME	CARRY	RESUME	OWNER:CARRY(H1:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H1:I001) -> TARGET/STATION:CARRY(H1:T001) -> PREVIOUS_ITEM:CARRY(H1:I002) -> PREVIOUS_ITEM:RESUME(H1:I002;LOCAL_FILLER)	OWNER=H1:O01;ACTIVE_ITEM/PREPARATION=H1:I001;TARGET/STATION=H1:T001;PREVIOUS_ITEM=H1:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_REFERENT_CLASS_AMBIGUOUS	PREVIOUS_REFERENT_CLASS_AMBIGUOUS | OPEN_RECORD_END	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	SEGMENTATION=START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.; NONMEDICAL=als Standardzusatz ansetzen [Ganzfeldexemplar H1, Feld 2/2]	TO:H1-LB01:RESUME_ACTIVE_ITEM	H1:Oxx/H1:Ixxx/H1:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
3	H2-S001	H2	f10r	1	F003	RECORD_START	RESUME_ACTIVE_ITEM	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	BEREIT? | ANSATZ? | MASS?	BOUNDARY:RECORD_START | EXACT_SELECTED:BEREIT? | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:MASS? | CLOSURE:F003:OPEN | SOURCE_FROM:H2-LB01:RESUME_ACTIVE_ITEM	NONE	NONE	INTRODUCE	INTRODUCE	RESET	RESET	OWNER:INTRODUCE(H2:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=obere Pflanzenteile übernehmen [Ganzfeldexemplar H2, Feld 1/3]	FROM:H2-LB01:RESUME_ACTIVE_ITEM	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
4	H2-S002	H2	f10r	2	F004	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	ANSATZ? | VORIGES? | MASS?	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | CLOSURE:F004:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_TO:H2-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H2-LB02:NEXT_PARALLEL_CELL	OWNER | PREVIOUS_ITEM	OWNER | PREVIOUS_ITEM	CARRY	RESUME	CARRY	RESUME	OWNER:CARRY(H2:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H2:I001) -> TARGET/STATION:CARRY(UNSET) -> PREVIOUS_ITEM:CARRY(UNSET) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I001;ANSATZ?) -> PREVIOUS_ITEM:INTRODUCE_INFERRED(H2:I002;VORIGES?) -> ACTIVE_ITEM/PREPARATION:RESUME_FROM_PREVIOUS(H2:I002;VORIGES?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:INFERRED_PREVIOUS_IDENTITY|PREVIOUS_REFERENT_CLASS_AMBIGUOUS	INFERRED_PREVIOUS_IDENTITY | PREVIOUS_REFERENT_CLASS_AMBIGUOUS	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	SEGMENTATION=NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.; NONMEDICAL=ausziehen [Ganzfeldexemplar H2, Feld 2/3]	TO:H2-LB01:RESUME_ACTIVE_ITEM | FROM:H2-LB02:NEXT_PARALLEL_CELL	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
5	H2-S003	H2	f10r	3	F005	NEXT_PARALLEL_CELL	RECORD_END	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I002;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I001	ANSATZ? | ANSATZ?	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:ANSATZ? | CLOSURE:F005:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_TO:H2-LB02:NEXT_PARALLEL_CELL	OWNER	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H2:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H2:I002) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H2:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?) -> ACTIVE_ITEM/PREPARATION:RESUME_OR_CONFIRM(H2:I003;ANSATZ?)	OWNER=H2:O01;ACTIVE_ITEM/PREPARATION=H2:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H2:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|REPEATED_ACTIVE_TRIGGER	PREVIOUS_SLOT_OVERWRITTEN | REPEATED_ACTIVE_TRIGGER | OPEN_RECORD_END	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	SEGMENTATION=CONTINUE_SAME_CLAUSE: beide OPEN-Felder könnten eine einzige lange Ernte-/Zubereitungsanweisung sein.; NONMEDICAL=mit einem Träger verbinden [Ganzfeldexemplar H2, Feld 3/3]	TO:H2-LB02:NEXT_PARALLEL_CELL	H2:Oxx/H2:Ixxx/H2:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
6	H3-S001	H3	f11r	1	F006	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	KLAR?	BOUNDARY:RECORD_START | EXACT_SELECTED:KLAR? | CLOSURE:F006:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_TARGET_FILLER:CLOTH	ACTIVE_ITEM/PREPARATION	NONE	INTRODUCE	INTRODUCE	INTRODUCE	RESET	OWNER:INTRODUCE(H3:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET -> TARGET/STATION:INTRODUCE(H3:T001;LOCAL_SHADOW_PLACE) -> TARGET/STATION:INTRODUCE(H3:T002;LOCAL_CLOTH)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET|MULTIPLE_TARGETS_ONE_SLOT	MULTIPLE_TARGETS_ONE_SLOT | TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blüten- oder Krautanteil übernehmen [Ganzfeldexemplar H3, Feld 1/4]	NONE	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
7	H3-S002	H3	f11r	2	F007	WITHIN_LOCUS_FIELD_BOUNDARY	RESUME_ACTIVE_ITEM	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=UNSET	NONE	BOUNDARY:WITHIN_LOCUS_FIELD_BOUNDARY | CLOSURE:F007:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_FROM:H3-LB01:RESUME_ACTIVE_ITEM	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	CARRY	CARRY	INTRODUCE	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:CARRY(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(UNSET) -> PREVIOUS_ITEM:INTRODUCE_DERIVED(H3:I002;LOCAL_RETAINED_PART)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	behalte die Blütenkrone zurück	SEGMENTATION=Benachbarte Felder könnten eine größere Exemplarklausel bilden.; NONMEDICAL=ausziehen [Ganzfeldexemplar H3, Feld 2/4]	FROM:H3-LB01:RESUME_ACTIVE_ITEM	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
8	H3-S003	H3	f11r	3	F008	RESUME_ACTIVE_ITEM	NEXT_PARALLEL_CELL	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T002;PREVIOUS_ITEM=H3:I002	MASS?	BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:MASS? | CLOSURE:F008:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:H3-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H3-LB02:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER | ACTIVE_ITEM/PREPARATION	CARRY	RESUME	INTRODUCE	CARRY	OWNER:CARRY(H3:O01) -> ACTIVE_ITEM/PREPARATION:RESUME(H3:I001) -> TARGET/STATION:CARRY(H3:T002) -> PREVIOUS_ITEM:CARRY(H3:I002) -> TARGET/STATION:INTRODUCE(H3:T003;LOCAL_MARKED_TARGET)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	SEGMENTATION=START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.; NONMEDICAL=filtrieren [Ganzfeldexemplar H3, Feld 3/4]	TO:H3-LB01:RESUME_ACTIVE_ITEM | FROM:H3-LB02:NEXT_PARALLEL_CELL	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
9	H3-S004	H3	f11r	4	F009	NEXT_PARALLEL_CELL	RECORD_END	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I001;TARGET/STATION=H3:T003;PREVIOUS_ITEM=H3:I002	BEREIT?	BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:BEREIT? | CLOSURE:F009:OPEN | SOURCE_TO:H3-LB02:NEXT_PARALLEL_CELL	OWNER | ACTIVE_ITEM/PREPARATION	OWNER	CARRY	INTRODUCE	RESET	INTRODUCE	OWNER:CARRY(H3:O01) -> PREVIOUS_ITEM:INTRODUCE_FROM_ACTIVE(H3:I001) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H3:I003) -> TARGET/STATION:RESET(NEW_OR_PARALLEL_CLAUSE)	OWNER=H3:O01;ACTIVE_ITEM/PREPARATION=H3:I003;TARGET/STATION=UNSET;PREVIOUS_ITEM=H3:I001	NO	TRANSITION_LOG=YES;POST_STATE_ONLY=NO:PREVIOUS_SLOT_OVERWRITTEN|TARGET_RESET_DISCARDS_PRIOR_TARGET	PREVIOUS_SLOT_OVERWRITTEN | TARGET_RESET_DISCARDS_PRIOR_TARGET | OPEN_RECORD_END	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	SEGMENTATION=CONTINUE_SAME_CLAUSE: F009 könnte die in F008 nur knapp bezeichnete Auflage ausführen.; NONMEDICAL=getrennt verwahren [Ganzfeldexemplar H3, Feld 4/4]	TO:H3-LB02:NEXT_PARALLEL_CELL	H3:Oxx/H3:Ixxx/H3:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
10	H4-S001	H4	f55v	1	F010	RECORD_START	WITHIN_LOCUS_FIELD_BOUNDARY	OWNER=UNSET;ACTIVE_ITEM/PREPARATION=UNSET;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	MASS?	BOUNDARY:RECORD_START | EXACT_SELECTED:MASS? | CLOSURE:F010:TERMINAL	ACTIVE_ITEM/PREPARATION	NONE	INTRODUCE	INTRODUCE	RESET	RESET	OWNER:INTRODUCE(H4:O01) -> ACTIVE_ITEM/PREPARATION:INTRODUCE(H4:I001) -> TARGET/STATION:RESET -> PREVIOUS_ITEM:RESET	OWNER=H4:O01;ACTIVE_ITEM/PREPARATION=H4:I001;TARGET/STATION=UNSET;PREVIOUS_ITEM=UNSET	YES	TRANSITION_LOG=YES;POST_STATE_ONLY=YES:ANONYMOUS_BUT_DETERMINISTIC	NONE	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	SEGMENTATION=Ein erstes Feld kann Überschrift oder Rubrik statt Klausel sein.; NONMEDICAL=Blattflotte ansetzen [Ganzfeldexemplar H4, Feld 1/4]	NONE	H4:Oxx/H4:Ixxx/H4:Txxx;RECORD_LOCAL_ONLY	V60_SELECTED_EXACT_MNEMONICS_ONLY;NO_STRING_OR_COMPONENT_INHERITANCE;LOCAL_FILLER_IS_NOT_CARD_MEANING	V60_SELECTED_VALUES>V61_SELECTED_STATEMENTS+BOUNDARIES>V62_R3_FOUR_REGISTER_MACHINE
