statement_id	record_unit_id	page	statement_ordinal_in_record	start_locus	start_field	end_locus	end_field	constituent_fields	entry_boundary_id	entry_boundary_class	selected_short_card_skeleton	concrete_source_clause	required_roles	explicit_required_roles	missing_roles_needed	unresolved_required_roles	input_picture_owner	picture_owner_needed	picture_owner_resolution	picture_owner_evidence	picture_owner_operation	next_picture_owner	input_active_preparation_or_item	active_preparation_or_item_needed	active_preparation_or_item_resolution	active_preparation_or_item_evidence	active_preparation_or_item_operation	next_active_preparation_or_item	input_target_or_station	target_or_station_needed	target_or_station_resolution	target_or_station_evidence	target_or_station_operation	next_target_or_station	input_previous_item_reference	previous_item_reference_needed	previous_item_reference_resolution	previous_item_reference_evidence	previous_item_reference_operation	next_previous_item_reference	exact_next_register_state	strongest_register_alternative	semantic_guard
H1-S001	H1	f10r	1	f10r.2	F001	f10r.2	F001	F001	NONE	RECORD_START	F001[ANWENDEN? MASS?]	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM_REFERENCE	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	TARGET_OR_STATION	TARGET_OR_STATION	OWNER_H1	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCED_AT_RECORD_INITIALIZATION	OWNER_H1	UNSET	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	ITEM_H1_001	UNSET	YES	UNRESOLVED	SELECTED_MNEMONIC+EXEMPLAR_ONLY	INTRODUCE_UNRESOLVED	UNRESOLVED_TARGET_H1_001	UNSET	YES	EXPLICIT	EXEMPLAR_ONLY	REFERENCE_EXPLICIT	ITEM_H1_001	PICTURE_OWNER=OWNER_H1;ACTIVE_PREPARATION_OR_ITEM=ITEM_H1_001;TARGET_OR_STATION=UNRESOLVED_TARGET_H1_001;PREVIOUS_ITEM_REFERENCE=ITEM_H1_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H1-S002	H1	f10r	2	f10r.5	F002	f10r.5	F002	F002	H1-LB01	RESUME_ACTIVE_ITEM	F002[BEREIT?]	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	PICTURE_OWNER	NONE	OWNER_H1	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H1	ITEM_H1_001	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	RESUME	ITEM_H1_001	UNRESOLVED_TARGET_H1_001	NO	NOT_REQUIRED	EXEMPLAR_ONLY	CARRY_UNUSED	UNRESOLVED_TARGET_H1_001	ITEM_H1_001	YES	EXPLICIT	EXEMPLAR_ONLY	REFERENCE_EXPLICIT	ITEM_H1_001	PICTURE_OWNER=OWNER_H1;ACTIVE_PREPARATION_OR_ITEM=ITEM_H1_001;TARGET_OR_STATION=UNRESOLVED_TARGET_H1_001;PREVIOUS_ITEM_REFERENCE=ITEM_H1_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H2-S001	H2	f10r	1	f10r.6	F003	f10r.6	F003	F003	NONE	RECORD_START	F003[BEREIT? ANSATZ? MASS?]	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION	NONE	NONE	OWNER_H2	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCED_AT_RECORD_INITIALIZATION	OWNER_H2	UNSET	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	ITEM_H2_001	UNSET	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	TARGET_H2_001	UNSET	NO	NOT_REQUIRED	EXEMPLAR_ONLY	KEEP_UNSET	UNSET	PICTURE_OWNER=OWNER_H2;ACTIVE_PREPARATION_OR_ITEM=ITEM_H2_001;TARGET_OR_STATION=TARGET_H2_001;PREVIOUS_ITEM_REFERENCE=UNSET	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H2-S002	H2	f10r	2	f10r.8	F004	f10r.8	F004	F004	H2-LB01	RESUME_ACTIVE_ITEM	F004[ANSATZ? VORIGES? MASS?]	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	PICTURE_OWNER	NONE	OWNER_H2	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H2	ITEM_H2_001	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	RESUME	ITEM_H2_001	TARGET_H2_001	NO	NOT_REQUIRED	EXEMPLAR_ONLY	CARRY_UNUSED	TARGET_H2_001	UNSET	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	REFERENCE_EXPLICIT	ITEM_H2_001	PICTURE_OWNER=OWNER_H2;ACTIVE_PREPARATION_OR_ITEM=ITEM_H2_001;TARGET_OR_STATION=TARGET_H2_001;PREVIOUS_ITEM_REFERENCE=ITEM_H2_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H2-S003	H2	f10r	3	f10r.9	F005	f10r.9	F005	F005	H2-LB02	NEXT_PARALLEL_CELL	F005[ANSATZ? ANSATZ?]	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM	ACTIVE_PREPARATION_OR_ITEM	PICTURE_OWNER	NONE	OWNER_H2	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H2	ITEM_H2_001	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	RESET_TO_EXPLICIT_NEW_ITEM	ITEM_H2_002	TARGET_H2_001	NO	NOT_REQUIRED	EXEMPLAR_ONLY	RESET_TO_UNSET	UNSET	ITEM_H2_001	NO	NOT_REQUIRED	BOUNDARY	ARCHIVE_ACTIVE_ON_RESET	ITEM_H2_001	PICTURE_OWNER=OWNER_H2;ACTIVE_PREPARATION_OR_ITEM=ITEM_H2_002;TARGET_OR_STATION=UNSET;PREVIOUS_ITEM_REFERENCE=ITEM_H2_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H3-S001	H3	f11r	1	f11r.1	F006	f11r.1	F006	F006	NONE	RECORD_START	F006[KLAR?]	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM_REFERENCE	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM_REFERENCE	NONE	NONE	OWNER_H3	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCED_AT_RECORD_INITIALIZATION	OWNER_H3	UNSET	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	ITEM_H3_001	UNSET	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	TARGET_H3_001	UNSET	YES	EXPLICIT	EXEMPLAR_ONLY	REFERENCE_EXPLICIT	ITEM_H3_001	PICTURE_OWNER=OWNER_H3;ACTIVE_PREPARATION_OR_ITEM=ITEM_H3_001;TARGET_OR_STATION=TARGET_H3_001;PREVIOUS_ITEM_REFERENCE=ITEM_H3_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H3-S002	H3	f11r	2	f11r.1	F007	f11r.1	F007	F007	NONE	WITHIN_LOCUS_FIELD_BOUNDARY	F007[∅]	behalte die Blütenkrone zurück	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	ACTIVE_PREPARATION_OR_ITEM|PREVIOUS_ITEM_REFERENCE	PICTURE_OWNER	NONE	OWNER_H3	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H3	ITEM_H3_001	YES	EXPLICIT	EXEMPLAR_ONLY	CARRY_EXPLICIT_REASSERTION	ITEM_H3_001	TARGET_H3_001	NO	NOT_REQUIRED	EXEMPLAR_ONLY	CARRY_UNUSED	TARGET_H3_001	ITEM_H3_001	YES	EXPLICIT	EXEMPLAR_ONLY	REFERENCE_EXPLICIT	ITEM_H3_001	PICTURE_OWNER=OWNER_H3;ACTIVE_PREPARATION_OR_ITEM=ITEM_H3_001;TARGET_OR_STATION=TARGET_H3_001;PREVIOUS_ITEM_REFERENCE=ITEM_H3_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H3-S003	H3	f11r	3	f11r.4	F008	f11r.4	F008	F008	H3-LB01	RESUME_ACTIVE_ITEM	F008[MASS?]	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION|PREVIOUS_ITEM_REFERENCE	ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION	PICTURE_OWNER|PREVIOUS_ITEM_REFERENCE	NONE	OWNER_H3	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H3	ITEM_H3_001	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	RESUME	ITEM_H3_001	TARGET_H3_001	YES	EXPLICIT	EXEMPLAR_ONLY	RESET_TO_EXPLICIT_TARGET	TARGET_H3_002	ITEM_H3_001	YES	INHERITED	BOUNDARY	RESUME_REFERENCE	ITEM_H3_001	PICTURE_OWNER=OWNER_H3;ACTIVE_PREPARATION_OR_ITEM=ITEM_H3_001;TARGET_OR_STATION=TARGET_H3_002;PREVIOUS_ITEM_REFERENCE=ITEM_H3_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H3-S004	H3	f11r	4	f11r.7	F009	f11r.7	F009	F009	H3-LB02	NEXT_PARALLEL_CELL	F009[BEREIT?]	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION	ACTIVE_PREPARATION_OR_ITEM	PICTURE_OWNER|TARGET_OR_STATION	TARGET_OR_STATION	OWNER_H3	YES	INHERITED	EXEMPLAR_ONLY	CARRY	OWNER_H3	ITEM_H3_001	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	RESET_TO_EXPLICIT_NEW_ITEM	ITEM_H3_002	TARGET_H3_002	YES	UNRESOLVED	BOUNDARY+EXEMPLAR_ONLY	RESET_TO_UNRESOLVED_TARGET	UNRESOLVED_TARGET_H3_001	ITEM_H3_001	NO	NOT_REQUIRED	BOUNDARY	ARCHIVE_ACTIVE_ON_RESET	ITEM_H3_001	PICTURE_OWNER=OWNER_H3;ACTIVE_PREPARATION_OR_ITEM=ITEM_H3_002;TARGET_OR_STATION=UNRESOLVED_TARGET_H3_001;PREVIOUS_ITEM_REFERENCE=ITEM_H3_001	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
H4-S001	H4	f55v	1	f55v.5	F010	f55v.5	F010	F010	NONE	RECORD_START	F010[MASS?]	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM|TARGET_OR_STATION	PICTURE_OWNER|ACTIVE_PREPARATION_OR_ITEM	TARGET_OR_STATION	TARGET_OR_STATION	OWNER_H4	YES	EXPLICIT	EXEMPLAR_ONLY	INTRODUCED_AT_RECORD_INITIALIZATION	OWNER_H4	UNSET	YES	EXPLICIT	SELECTED_MNEMONIC+EXEMPLAR_ONLY	INTRODUCE_EXPLICIT	ITEM_H4_001	UNSET	YES	UNRESOLVED	EXEMPLAR_ONLY	INTRODUCE_UNRESOLVED	UNRESOLVED_TARGET_H4_001	UNSET	NO	NOT_REQUIRED	EXEMPLAR_ONLY	KEEP_UNSET	UNSET	PICTURE_OWNER=OWNER_H4;ACTIVE_PREPARATION_OR_ITEM=ITEM_H4_001;TARGET_OR_STATION=UNRESOLVED_TARGET_H4_001;PREVIOUS_ITEM_REFERENCE=UNSET	ACTIVE could reset instead of carry, or carry instead of reset; TARGET may denote apparatus rather than body; PREVIOUS may be discourse-only.	ANONYMOUS_RECORD_LOCAL_STATE_ONLY;SELECTED_MNEMONIC_MARKS_SLOT_NOT_REFERENT;EXEMPLAR_CUE_NOT_CARD_MEANING
