record_unit_id	page	statements	line_boundaries	owner_ids	active_item_ids	active_item_introductions	active_item_resets	active_item_resumptions	target_ids	target_introductions_or_resets	previous_required_statements	exact_voriges_occurrences	required_silent_argument_total	silent_argument_slot_counts	boundary_class_counts	f82_edge_copy_present	marked_complete_record_reading	historical_ellipsis_mechanism	strongest_list_or_form_rival	strongest_counterevidence	status	source_lineage
H1	f10r	2	1	H1:O01	H1:I01	1	0	1	H1:T01	1	2	0	7	OWNER=2;ACTIVE_ITEM=2;TARGET_OR_STATION=1;PREVIOUS_ITEM=2	RESUME_ACTIVE_ITEM=1	NO	[STILL:OWNER=H1:O01] [STILL:ACTIVE_ITEMS=H1:I01] [STILL:TARGETS=H1:T01] Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Bildbesitzer bleibt als Simplex-Rubrik aktiv; Teile, Ansätze und Verwendungen werden parataktisch eingeführt oder de-eodem-artig wieder aufgenommen.	Wurzelstoff wässern, als Standardzusatz ansetzen und den Rest lagern.	Wasser Wurzel Indikation und Waerme sind Artikelannahmen; nur 5 von 14 Ereignissen tragen Anker.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
H2	f10r	3	2	H2:O01	H2:I01|H2:I02	1	1	1	NONE	0	1	1	7	OWNER=3;ACTIVE_ITEM=3;PREVIOUS_ITEM=1	RESUME_ACTIVE_ITEM=1;NEXT_PARALLEL_CELL=1	NO	[STILL:OWNER=H2:O01] [STILL:ACTIVE_ITEMS=H2:I01|H2:I02] [STILL:TARGETS=UNBOUND] Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Bildbesitzer bleibt als Simplex-Rubrik aktiv; Teile, Ansätze und Verwendungen werden parataktisch eingeführt oder de-eodem-artig wieder aufgenommen.	Obere Teile ausziehen, mit einem Träger verbinden und als zweite Charge buchen.	Bluetenzeit Saft Oel und aeusserlicher Gebrauch sind nicht durch die Ankerfolge festgelegt.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
H3	f11r	4	2	H3:O01	H3:I01|H3:I02|H3:I03	1	2	1	H3:T01|H3:T02	2	1	0	11	OWNER=4;ACTIVE_ITEM=4;TARGET_OR_STATION=2;PREVIOUS_ITEM=1	RESUME_ACTIVE_ITEM=1;NEXT_PARALLEL_CELL=1	NO	[STILL:OWNER=H3:O01] [STILL:ACTIVE_ITEMS=H3:I01|H3:I02|H3:I03] [STILL:TARGETS=H3:T01|H3:T02] Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Bildbesitzer bleibt als Simplex-Rubrik aktiv; Teile, Ansätze und Verwendungen werden parataktisch eingeführt oder de-eodem-artig wieder aufgenommen.	Blüten- oder Krautanteil ausziehen, filtrieren und getrennt verwahren.	Nur 3 von 17 Ereignissen sind benannt; selbst die Pflanzenfamilie bleibt bildlich zweideutig.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
H4	f55v	4	1	H4:O01	H4:I01|H4:I02	1	1	0	H4:T01	1	0	0	10	OWNER=4;ACTIVE_ITEM=4;TARGET_OR_STATION=2	START_NEW_CLAUSE=1	NO	[STILL:OWNER=H4:O01] [STILL:ACTIVE_ITEMS=H4:I01|H4:I02] [STILL:TARGETS=H4:T01] Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Bildbesitzer bleibt als Simplex-Rubrik aktiv; Teile, Ansätze und Verwendungen werden parataktisch eingeführt oder de-eodem-artig wieder aufgenommen.	Blattflotte und weichen Rest als zwei Arbeitsfraktionen führen.	Allium und Wegerich liefern beide passende historische Verfahren; Medium und Anwendung sind Kontext.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
H5	f56r	6	6	H5:O01	H5:I01|H5:I02|H5:I03|H5:I04	1	3	2	H5:T01	1	2	0	17	OWNER=6;ACTIVE_ITEM=6;TARGET_OR_STATION=3;PREVIOUS_ITEM=2	CONTINUE_SAME_CLAUSE=1;RESUME_ACTIVE_ITEM=2;NEXT_PARALLEL_CELL=3	NO	[STILL:OWNER=H5:O01] [STILL:ACTIVE_ITEMS=H5:I01|H5:I02|H5:I03|H5:I04] [STILL:TARGETS=H5:T01] Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Bildbesitzer bleibt als Simplex-Rubrik aktiv; Teile, Ansätze und Verwendungen werden parataktisch eingeführt oder de-eodem-artig wieder aufgenommen.	Seltenes klebriges Feuchtlandmaterial klein dosieren und trocknen.	21 von 27 Ereignissen sind opak und eine nahe Rezeptquelle um 1420 fehlt.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
B1	f81v	21	6	B1:O01	B1:I01|B1:I02|B1:I03|B1:I04|B1:I05|B1:I06	1	5	0	B1:T01|B1:T02|B1:T03|B1:T04|B1:T05|B1:T06|B1:T07|B1:T08|B1:T09	9	6	1	69	OWNER=21;ACTIVE_ITEM=21;TARGET_OR_STATION=21;PREVIOUS_ITEM=6	CONTINUE_SAME_CLAUSE=3;NEXT_PARALLEL_CELL=2;START_NEW_CLAUSE=1	NO	[STILL:OWNER=B1:O01] [STILL:ACTIVE_ITEMS=B1:I01|B1:I02|B1:I03|B1:I04|B1:I05|B1:I06] [STILL:TARGETS=B1:T01|B1:T02|B1:T03|B1:T04|B1:T05|B1:T06|B1:T07|B1:T08|B1:T09] Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Bildbesitzer bleibt Apparat/Patient-unentschieden; Flüssigkeitscharge und Station werden über kurze Bade-/Gefäßzellen getragen oder zurückgesetzt.	Den Hauptkreislauf temperieren, absetzen, klären und weitergeben.	39 von 66 Ereignissen sind opak; Becken Ruecklauf und Anwendung stammen aus Bild und Genre.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
B2	f82r	22	7	B2:O01	B2:I01|B2:I02|B2:I03|B2:I04|B2:I05|B2:I06	1	5	0	B2:T01|B2:T02|B2:T03|B2:T04|B2:T05|B2:T06|B2:T07	7	1	0	67	OWNER=22;ACTIVE_ITEM=22;TARGET_OR_STATION=22;PREVIOUS_ITEM=1	CONTINUE_SAME_CLAUSE=4;START_NEW_CLAUSE=2;UNRESOLVED=1	YES	[STILL:OWNER=B2:O01] [STILL:ACTIVE_ITEMS=B2:I01|B2:I02|B2:I03|B2:I04|B2:I05|B2:I06] [STILL:TARGETS=B2:T01|B2:T02|B2:T03|B2:T04|B2:T05|B2:T06|B2:T07] Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Bildbesitzer bleibt Apparat/Patient-unentschieden; Flüssigkeitscharge und Station werden über kurze Bade-/Gefäßzellen getragen oder zurückgesetzt.	Das Einzelbecken füllen, bewegen, filtern, ablassen und nachfüllen.	Baden Auflage Tuch und Koerperziel sind austauschbare Expansionen; die meisten Labels sind nur nahe bei Figuren oder Formen.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
B3	f83r	34	9	B3:O01	B3:I01|B3:I02|B3:I03|B3:I04|B3:I05|B3:I06|B3:I07	1	6	3	B3:T01|B3:T02|B3:T03|B3:T04|B3:T05|B3:T06|B3:T07|B3:T08|B3:T09|B3:T10|B3:T11|B3:T12|B3:T13	13	6	0	108	OWNER=34;ACTIVE_ITEM=34;TARGET_OR_STATION=34;PREVIOUS_ITEM=6	CONTINUE_SAME_CLAUSE=4;RESUME_ACTIVE_ITEM=3;NEXT_PARALLEL_CELL=1;START_NEW_CLAUSE=1	NO	[STILL:OWNER=B3:O01] [STILL:ACTIVE_ITEMS=B3:I01|B3:I02|B3:I03|B3:I04|B3:I05|B3:I06|B3:I07] [STILL:TARGETS=B3:T01|B3:T02|B3:T03|B3:T04|B3:T05|B3:T06|B3:T07|B3:T08|B3:T09|B3:T10|B3:T11|B3:T12|B3:T13] Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Bildbesitzer bleibt Apparat/Patient-unentschieden; Flüssigkeitscharge und Station werden über kurze Bade-/Gefäßzellen getragen oder zurückgesetzt.	Einen wiederholten Mehrbecken- und Stationszyklus betreiben.	50 von 86 Ereignissen sind opak; zwei klare Bildlabels gehoeren Auslaeufen ohne lokale Figur.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
B4	f83r	16	9	B4:O01	B4:I01|B4:I02|B4:I03|B4:I04|B4:I05|B4:I06	1	5	0	B4:T01|B4:T02|B4:T03|B4:T04|B4:T05|B4:T06|B4:T07	7	2	0	50	OWNER=16;ACTIVE_ITEM=16;TARGET_OR_STATION=16;PREVIOUS_ITEM=2	CONTINUE_SAME_CLAUSE=4;NEXT_PARALLEL_CELL=2;START_NEW_CLAUSE=3	NO	[STILL:OWNER=B4:O01] [STILL:ACTIVE_ITEMS=B4:I01|B4:I02|B4:I03|B4:I04|B4:I05|B4:I06] [STILL:TARGETS=B4:T01|B4:T02|B4:T03|B4:T04|B4:T05|B4:T06|B4:T07] Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Bildbesitzer bleibt Apparat/Patient-unentschieden; Flüssigkeitscharge und Station werden über kurze Bade-/Gefäßzellen getragen oder zurückgesetzt.	Den bezeichneten Lauf warm reinigen, filtern und neu ansetzen.	Auflegen oder Binden setzt einen Koerper voraus, waehrend der sichtbare Owner auch eine Station sein kann.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
B5	f83r	3	2	B5:O01	B5:I01	1	0	0	B5:T01|B5:T02	2	1	0	10	OWNER=3;ACTIVE_ITEM=3;TARGET_OR_STATION=3;PREVIOUS_ITEM=1	CONTINUE_SAME_CLAUSE=2	NO	[STILL:OWNER=B5:O01] [STILL:ACTIVE_ITEMS=B5:I01] [STILL:TARGETS=B5:T01|B5:T02] Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Bildbesitzer bleibt Apparat/Patient-unentschieden; Flüssigkeitscharge und Station werden über kurze Bade-/Gefäßzellen getragen oder zurückgesetzt.	Den Restbestand erwärmen, halten und an die nächste Station übergeben.	Nur vier von elf Ereignissen tragen Anker und drei der fuenf Felder bleiben offen.	RECORD_LOCAL_ANONYMOUS_REFERENT_MODEL;CREATIVE_NOT_TRANSLATION	V61_SELECTED_RECORD+STATEMENTS+BOUNDARIES>V62_R2
