record_unit_id	from_statement_id	to_statement_id	entry_boundary_class	owner_edge	active_item_edge	target_edge	previous_edge	strongest_rival
H1	H1-S001	H1-S002	RESUME_ACTIVE_ITEM	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H2	H2-S001	H2-S002	RESUME_ACTIVE_ITEM	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	SELECT	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H2	H2-S002	H2-S003	NEXT_PARALLEL_CELL	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H3	H3-S001	H3-S002	WITHIN_LOCUS_FIELD_BOUNDARY	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H3	H3-S002	H3-S003	RESUME_ACTIVE_ITEM	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H3	H3-S003	H3-S004	NEXT_PARALLEL_CELL	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H4	H4-S001	H4-S002	WITHIN_LOCUS_FIELD_BOUNDARY	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H4	H4-S002	H4-S003	START_NEW_CLAUSE	CARRY	REPLACE_AND_STORE_PREVIOUS	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H4	H4-S003	H4-S004	WITHIN_LOCUS_FIELD_BOUNDARY	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H5	H5-S001	H5-S002	RESUME_ACTIVE_ITEM	CARRY	CARRY_OR_RESUME	CARRY	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H5	H5-S002	H5-S003	NEXT_PARALLEL_CELL	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H5	H5-S003	H5-S004	RESUME_ACTIVE_ITEM	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H5	H5-S004	H5-S005	NEXT_PARALLEL_CELL	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
H5	H5-S005	H5-S006	NEXT_PARALLEL_CELL	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
B1	B1-S001	B1-S002	WITHIN_LOCUS_FIELD_BOUNDARY	CARRY	CARRY_OR_RESUME	INTRODUCE	SELECT	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
B1	B1-S002	B1-S003	WITHIN_LOCUS_FIELD_BOUNDARY	CARRY	CARRY_OR_RESUME	NONE_OR_RESET	AVAILABLE_NOT_SELECTED	NO_SEMANTIC_REGISTER_PURE_EXEMPLAR_ORDER
