record_unit_id	page	statements	initial_picture_owner	initial_active_preparation_or_item	initial_target_or_station	initial_previous_item_reference	initialization_rule	final_picture_owner	final_active_preparation_or_item	final_target_or_station	final_previous_item_reference	explicit_required_slots	inherited_required_slots	unresolved_required_slots	anonymous_item_ids_seen	anonymous_target_ids_seen	unresolved_ids_seen	complete_record_reading	strongest_register_contradiction	status
H1	f10r	2	OWNER_H1	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_H1	ITEM_H1_001	UNRESOLVED_TARGET_H1_001	ITEM_H1_001	5	1	1	ITEM_H1_001	UNRESOLVED_TARGET_H1_001	UNRESOLVED_TARGET_H1_001	Von der abgebildeten Pflanze den unteren Wurzelstock nehmen, reinigen und zerkleinern. Mit gutem Wasser eine Arznei bereiten, davon ein vorgeschriebenes Mass verwenden und den Rest verwahren. Fuer einen zweiten Gebrauch die frische Bereitung mit dem vorigen Arbeitsstand verbinden und nur gelinde waermen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
H2	f10r	3	OWNER_H2	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_H2	ITEM_H2_002	UNSET	ITEM_H2_001	6	2	0	ITEM_H2_001|ITEM_H2_002	TARGET_H2_001	NONE	Die oberen Teile vor voller Bluete sammeln, zerquetschen und Saft oder Sud bereiten. Ein Mass davon mit der zuvor gewonnenen Zubereitung verbinden, mit Oel sanft bearbeiten und als aeusserliche Arznei verwahren.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
H3	f11r	4	OWNER_H3	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_H3	ITEM_H3_002	UNRESOLVED_TARGET_H3_001	ITEM_H3_001	9	4	1	ITEM_H3_001|ITEM_H3_002	TARGET_H3_001|TARGET_H3_002|UNRESOLVED_TARGET_H3_001	UNRESOLVED_TARGET_H3_001	Blueten und junge Teile im Fruehjahr nehmen, in Wein oder Wasser gelinde ausziehen, durch ein Tuch pressen und nochmals klaeren. Einen Teil zurueckbehalten; aus dem uebrigen Material eine warme Auflage bereiten und massweise gebrauchen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
H4	f55v	4	OWNER_H4	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_H4	ITEM_H4_002	UNRESOLVED_TARGET_H4_002	ITEM_H4_001	6	4	2	ITEM_H4_001|ITEM_H4_002	TARGET_H4_001|UNRESOLVED_TARGET_H4_001|UNRESOLVED_TARGET_H4_002	UNRESOLVED_TARGET_H4_001|UNRESOLVED_TARGET_H4_002	Ein Mass frischer Blaetter zerkleinern, in Wein oder Wasser ausziehen und durch Tuch geben; die betroffene Stelle mit der Fluessigkeit waschen. Fuer eine zweite Bereitung die warmen Blaetter mit wenig Honig oder Oel verbinden und frisch auflegen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
H5	f56r	6	OWNER_H5	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_H5	ITEM_H5_004	UNSET	ITEM_H5_003	13	6	1	ITEM_H5_001|ITEM_H5_002|ITEM_H5_003|ITEM_H5_004	TARGET_H5_001|TARGET_H5_002|UNRESOLVED_TARGET_H5_001	UNRESOLVED_TARGET_H5_001	Eine kleine Menge des frischen ganzen Krauts sammeln, in mildem Wein oder Wasser ausziehen und mit wenig Honig bereiten. Blaetter Koepfe und Bluetenschaft getrennt trocknen; den frischen Auszug massweise bei Brust- oder Hustenbeschwerden verwenden.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
B1	f81v	21	OWNER_B1	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_B1	ITEM_B1_005	TARGET_B1_010	ITEM_B1_003	27	29	9	ITEM_B1_001|ITEM_B1_002|ITEM_B1_003|ITEM_B1_004|ITEM_B1_005|UNRESOLVED_ITEM_B1_001|UNRESOLVED_ITEM_B1_002|UNRESOLVED_ITEM_B1_003	TARGET_B1_001|TARGET_B1_002|TARGET_B1_003|TARGET_B1_004|TARGET_B1_005|TARGET_B1_006|TARGET_B1_007|TARGET_B1_008|TARGET_B1_009|TARGET_B1_010|UNRESOLVED_TARGET_B1_001|UNRESOLVED_TARGET_B1_002	UNRESOLVED_ITEM_B1_001|UNRESOLVED_ITEM_B1_002|UNRESOLVED_ITEM_B1_003|UNRESOLVED_TARGET_B1_001|UNRESOLVED_TARGET_B1_002	Den vorbereiteten Zusatz im unteren Becken ansetzen, mehrere gemessene Portionen mit dem vorhandenen Arbeitsstand verbinden und durch die sichtbaren Laeufe fuehren. Warm halten, mischen, stehen und klaeren lassen; nachfuellen und die fertige Portion ueber die erste Station weitergeben.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
B2	f82r	22	OWNER_B2	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_B2	ITEM_B2_007	TARGET_B2_012	ITEM_B2_005	36	30	4	ITEM_B2_001|ITEM_B2_002|ITEM_B2_003|ITEM_B2_004|ITEM_B2_005|ITEM_B2_006|ITEM_B2_007|UNRESOLVED_ITEM_B2_001|UNRESOLVED_ITEM_B2_002	TARGET_B2_001|TARGET_B2_002|TARGET_B2_003|TARGET_B2_004|TARGET_B2_005|TARGET_B2_006|TARGET_B2_007|TARGET_B2_008|TARGET_B2_009|TARGET_B2_010|TARGET_B2_011|TARGET_B2_012|UNRESOLVED_TARGET_B2_001|UNRESOLVED_TARGET_B2_002	UNRESOLVED_ITEM_B2_001|UNRESOLVED_ITEM_B2_002|UNRESOLVED_TARGET_B2_001|UNRESOLVED_TARGET_B2_002	Eine gemessene Portion in ein temperiertes Teilbad oder Gefaess geben, zwischen mehreren Zugaengen bewegen, durch Tuch klaeren, ablassen und warm nachfuellen. Die bezeichnete Portion als Waschung Bad oder Auflage verwenden und die Schlussvarianten nacheinander buchen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
B3	f83r	34	OWNER_B3	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_B3	ITEM_B3_008	TARGET_B3_020	ITEM_B3_005	51	55	2	ITEM_B3_001|ITEM_B3_002|ITEM_B3_003|ITEM_B3_004|ITEM_B3_005|ITEM_B3_006|ITEM_B3_007|ITEM_B3_008|UNRESOLVED_ITEM_B3_001	TARGET_B3_001|TARGET_B3_002|TARGET_B3_003|TARGET_B3_004|TARGET_B3_005|TARGET_B3_006|TARGET_B3_007|TARGET_B3_008|TARGET_B3_009|TARGET_B3_010|TARGET_B3_011|TARGET_B3_012|TARGET_B3_013|TARGET_B3_014|TARGET_B3_015|TARGET_B3_016|TARGET_B3_017|TARGET_B3_018|TARGET_B3_019|TARGET_B3_020	UNRESOLVED_ITEM_B3_001	Die Fluessigkeit absetzen, warm nachfuellen, mischen, eintauchen oder baden, unten ablassen, wieder klaeren und am markierten Ort verwenden. Oeffnungen und Intervalle wechseln, Rueckstand behalten und Bad Filterung und Spuelung in mehreren Stationsgaengen wiederholen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
B4	f83r	16	OWNER_B4	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_B4	ITEM_B4_006	TARGET_B4_012	ITEM_B4_004	28	19	5	ITEM_B4_001|ITEM_B4_002|ITEM_B4_003|ITEM_B4_004|ITEM_B4_005|ITEM_B4_006|UNRESOLVED_ITEM_B4_001	TARGET_B4_001|TARGET_B4_002|TARGET_B4_003|TARGET_B4_004|TARGET_B4_005|TARGET_B4_006|TARGET_B4_007|TARGET_B4_008|TARGET_B4_009|TARGET_B4_010|TARGET_B4_011|TARGET_B4_012|UNRESOLVED_TARGET_B4_001|UNRESOLVED_TARGET_B4_002	UNRESOLVED_ITEM_B4_001|UNRESOLVED_TARGET_B4_001|UNRESOLVED_TARGET_B4_002	Den bezeichneten Teil lauwarm spuelen, einen Anteil entnehmen, durch Tuch fuehren und als Auflage oder Waschung verwenden. Gefaess und unteren Lauf reinigen, ablassen, erneut ansetzen und warmes Wasser nachgiessen.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
B5	f83r	3	OWNER_B5	UNSET	UNSET	UNSET	INTRODUCE PICTURE_OWNER FROM PICTURE_EXEMPLAR; OTHERS UNSET	OWNER_B5	ITEM_B5_001	TARGET_B5_001	UNRESOLVED_ITEM_B5_001	3	2	4	ITEM_B5_001|UNRESOLVED_ITEM_B5_001	TARGET_B5_001|UNRESOLVED_TARGET_B5_001	UNRESOLVED_ITEM_B5_001|UNRESOLVED_TARGET_B5_001	Den Arbeitsbestand abziehen, einmal erwaermen, einen Zeitraum halten und mit dem vorigen Posten im vorgeschriebenen Mass zur naechsten sichtbaren Station weiterfuehren.	Identity links are chosen from boundary class and creative exemplar flow; the visible cards do not name any anonymous ID.	ANONYMOUS_RECORD_LOCAL_REGISTER_MAP;NO_CARD_REFERENT
