statement_id	record_unit_id	page	statement_ordinal	entry_boundary_class	selected_short_card_skeleton	pre_owner	pre_active_item	pre_target	pre_previous_item	register_operations	resolved_previous_for_voriges	post_owner	post_active_item	post_target	post_previous_item	required_silent_slots	evidence_channels	creative_source_clause	status
H1-S001	H1	f10r	1	RECORD_START	F001[ANWENDEN? MASS?]	OWNER_H1	NONE	NONE	NONE	CARRY_OWNER|INTRODUCE_ACTIVE_ITEM	NOT_SELECTED	OWNER_H1	ITEM_H1_01	NONE	NONE	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT|TARGET_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RECORD_START|EXACT_V60_SHORT_CARD	Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H1-S002	H1	f10r	2	RESUME_ACTIVE_ITEM	F002[BEREIT?]	OWNER_H1	ITEM_H1_01	NONE	NONE	CARRY_OWNER|STORE_PREVIOUS_STATE|RESUME_ACTIVE_ITEM	NOT_SELECTED	OWNER_H1	ITEM_H1_01	NONE	ITEM_H1_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RESUME_ACTIVE_ITEM|EXACT_V60_SHORT_CARD	gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H2-S001	H2	f10r	1	RECORD_START	F003[BEREIT? ANSATZ? MASS?]	OWNER_H2	NONE	NONE	NONE	CARRY_OWNER|INTRODUCE_ACTIVE_ITEM	NOT_SELECTED	OWNER_H2	ITEM_H2_01	NONE	NONE	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RECORD_START|EXACT_V60_SHORT_CARD	sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H2-S002	H2	f10r	2	RESUME_ACTIVE_ITEM	F004[ANSATZ? VORIGES? MASS?]	OWNER_H2	ITEM_H2_01	NONE	NONE	CARRY_OWNER|STORE_PREVIOUS_STATE|RESUME_ACTIVE_ITEM|SELECT_PREVIOUS_ITEM	ITEM_H2_01	OWNER_H2	ITEM_H2_01	NONE	ITEM_H2_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT|PREVIOUS_ITEM_ANTECEDENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RESUME_ACTIVE_ITEM|EXACT_V60_SHORT_CARD	vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H2-S003	H2	f10r	3	NEXT_PARALLEL_CELL	F005[ANSATZ? ANSATZ?]	OWNER_H2	ITEM_H2_01	NONE	ITEM_H2_01	CARRY_OWNER|STORE_PREVIOUS_STATE|CARRY_ACTIVE_ITEM|RESET_TARGET	NOT_SELECTED	OWNER_H2	ITEM_H2_01	NONE	ITEM_H2_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=NEXT_PARALLEL_CELL|EXACT_V60_SHORT_CARD	wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H3-S001	H3	f11r	1	RECORD_START	F006[KLAR?]	OWNER_H3	NONE	NONE	NONE	CARRY_OWNER|INTRODUCE_ACTIVE_ITEM	NOT_SELECTED	OWNER_H3	ITEM_H3_01	NONE	NONE	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RECORD_START|EXACT_V60_SHORT_CARD	sammle die Wurzel im Frühjahr ; vom schattigen Waldort ; bevor sich die Blütenkrone öffnet ; presse die gequetschte Wurzel durch ein Tuch ; seihe die Flüssigkeit ein zweites Mal ; Bis die Flüssigkeit klar abläuft ; lasse die geseihte Flüssigkeit offen abkühlen	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H3-S002	H3	f11r	2	WITHIN_LOCUS_FIELD_BOUNDARY	F007[∅]	OWNER_H3	ITEM_H3_01	NONE	NONE	CARRY_OWNER|STORE_PREVIOUS_STATE|CARRY_ACTIVE_ITEM|RESET_TARGET	NOT_SELECTED	OWNER_H3	ITEM_H3_01	NONE	ITEM_H3_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=WITHIN_LOCUS_FIELD_BOUNDARY|EXACT_V60_SHORT_CARD	behalte die Blütenkrone zurück	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H3-S003	H3	f11r	3	RESUME_ACTIVE_ITEM	F008[MASS?]	OWNER_H3	ITEM_H3_01	NONE	ITEM_H3_01	CARRY_OWNER|STORE_PREVIOUS_STATE|RESUME_ACTIVE_ITEM	NOT_SELECTED	OWNER_H3	ITEM_H3_01	NONE	ITEM_H3_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RESUME_ACTIVE_ITEM|EXACT_V60_SHORT_CARD	von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H3-S004	H3	f11r	4	NEXT_PARALLEL_CELL	F009[BEREIT?]	OWNER_H3	ITEM_H3_01	NONE	ITEM_H3_01	CARRY_OWNER|STORE_PREVIOUS_STATE|CARRY_ACTIVE_ITEM|RESET_TARGET	NOT_SELECTED	OWNER_H3	ITEM_H3_01	NONE	ITEM_H3_01	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=NEXT_PARALLEL_CELL|EXACT_V60_SHORT_CARD	bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
H4-S001	H4	f55v	1	RECORD_START	F010[MASS?]	OWNER_H4	NONE	NONE	NONE	CARRY_OWNER|INTRODUCE_ACTIVE_ITEM	NOT_SELECTED	OWNER_H4	ITEM_H4_01	NONE	NONE	PICTURE_OWNER_REFERENT|ACTIVE_ITEM_REFERENT	RECORD_MEMBERSHIP_OWNER|ENTRY=RECORD_START|EXACT_V60_SHORT_CARD	beginne den nächsten abgemessenen Posten ; Ein vorgeschriebenes Maß ; koche das breite Blatt sanft ; in Weißwein ; lasse es ziehen, bis die Flüssigkeit klar ist	ANONYMOUS_REGISTER_TRACE_NOT_CARD_MEANING
