boundary_id	record_unit_id	page	boundary_ordinal_in_record	from_locus	to_locus	from_field	to_field	classification_unchanged	from_statement_id	to_statement_id	same_statement	carry_operation	owner_id_from_to	active_item_id_from_to	target_id_from_to	selected_short_skeleton	exact_voriges_occurrences	exact_voriges_binding	f82_edge_copy	visible_edge_copy	edge_copy_mechanism	marked_boundary_reading	historical_mechanism	strongest_list_or_form_rival	confidence	status	source_lineage
H1-LB01	H1	f10r	1	f10r.2	f10r.5	F001	F002	RESUME_ACTIVE_ITEM	H1-S001	H1-S002	NO	RESUME_IN_NEW_CLAUSE	H1:O01→H1:O01	H1:I01→H1:I01	H1:T01→H1:T01	ANWENDEN? MASS? > BEREIT?	0	NONE	NO	NONE	NONE	[STILL:OWNER=H1:O01] [STILL:ACTIVE=H1:I01] Nimm die faserige untere Wurzel ; wasche sie in fließendem Wasser ; Daraus, aus demselben Ansatz ; Gleichmäßig bearbeiten ; zerstoße sie zu grobem Pulver ; gib Rotwein hinzu ; trinke es bei Magenschmerz ; Die aktive Portion verwenden ; Ein vorgeschriebenes Maß ; bewahre die übrige Wurzel trocken auf || gebrauche die frisch bereitete Arznei ; wende sie warm an ; Mit der vorigen Zubereitung weiter ; Sobald die Zubereitung gebrauchsfertig ist	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	START_NEW_CLAUSE: F002 könnte ein unabhängiger zweiter Rezeptzusatz sein.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H2-LB01	H2	f10r	1	f10r.6	f10r.8	F003	F004	RESUME_ACTIVE_ITEM	H2-S001	H2-S002	NO	RESUME_IN_NEW_CLAUSE	H2:O01→H2:O01	H2:I01→H2:I01	NONE→NONE	BEREIT? ANSATZ? MASS? > ANSATZ? VORIGES? MASS?	1	H2:I01	NO	NONE	NONE	[STILL:OWNER=H2:O01] [STILL:ACTIVE=H2:I01] sie wächst auf feuchtem Wiesengrund ; Sobald die Zubereitung gebrauchsfertig ist ; Die bereitete Arbeitsflüssigkeit ; gib den ausgepressten Saft hinzu ; koche es sanft ; Diese aktive Portion ; Diese aktive Portion ; Ein vorgeschriebenes Maß ; Diese aktive Portion || vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	NEXT_PARALLEL_CELL: die abweichende Sammelzeit kann eine zweite Erntevariante eröffnen.	.58	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H2-LB02	H2	f10r	2	f10r.8	f10r.9	F004	F005	NEXT_PARALLEL_CELL	H2-S002	H2-S003	NO	CARRY_OWNER_RESET_ITEM_AND_OR_TARGET	H2:O01→H2:O01	H2:I01→H2:I02	NONE→NONE	ANSATZ? VORIGES? MASS? > ANSATZ? ANSATZ?	1	NONE	NO	NONE	NONE	[STILL:OWNER=H2:O01] [STILL:ACTIVE=H2:I02] vor der Blüte gesammelt ; Die bereitete Arbeitsflüssigkeit ; eine Handvoll ; Mit der vorigen Zubereitung weiter ; Aus dem vorigen Ansatz entnehmen ; Mit der vorigen Zubereitung weiter ; Ein vorgeschriebenes Maß ; Daraus, aus demselben Ansatz || wenn sich die Blüte geöffnet hat ; Die bereitete Arbeitsflüssigkeit ; Die bereitete Arbeitsflüssigkeit ; Diese aktive Portion ; bis ein bitterer Geschmack bleibt ; Diese aktive Portion ; bewahre diesen Anteil unter Öl	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	CONTINUE_SAME_CLAUSE: beide OPEN-Felder könnten eine einzige lange Ernte-/Zubereitungsanweisung sein.	.58	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H3-LB01	H3	f11r	1	f11r.1	f11r.4	F007	F008	RESUME_ACTIVE_ITEM	H3-S002	H3-S003	NO	RESUME_IN_NEW_CLAUSE	H3:O01→H3:O01	H3:I02→H3:I02	NONE→H3:T01	∅ > MASS?	0	NONE	NO	NONE	NONE	[STILL:OWNER=H3:O01] [STILL:ACTIVE=H3:I02] behalte die Blütenkrone zurück || von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	START_NEW_CLAUSE: F008 kann eine eigenständige Anwendung des Simplex beginnen.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H3-LB02	H3	f11r	2	f11r.4	f11r.7	F008	F009	NEXT_PARALLEL_CELL	H3-S003	H3-S004	NO	CARRY_OWNER_RESET_ITEM_AND_OR_TARGET	H3:O01→H3:O01	H3:I02→H3:I03	H3:T01→H3:T02	MASS? > BEREIT?	0	NONE	NO	NONE	NONE	[STILL:OWNER=H3:O01] [STILL:ACTIVE=H3:I03] von diesem abgebildeten Simplex ; Diese aktive Portion ; binde es auf die geschwollene Stelle ; Diese aktive Portion ; Ein vorgeschriebenes Maß || bereite aus den Blättern einen warmen Umschlag ; lege ihn warm auf ; Sobald die Zubereitung gebrauchsfertig ist ; Diese aktive Portion	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	CONTINUE_SAME_CLAUSE: F009 könnte die in F008 nur knapp bezeichnete Auflage ausführen.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H4-LB01	H4	f55v	1	f55v.5	f55v.11	F011	F012	START_NEW_CLAUSE	H4-S002	H4-S003	NO	CARRY_OWNER_RESET_PROCESS_PHASE	H4:O01→H4:O01	H4:I01→H4:I02	H4:T01→H4:T01	MASS? > ∅	0	NONE	NO	NONE	NONE	[STILL:OWNER=H4:O01] [STILL:ACTIVE=H4:I02] Ein vorgeschriebenes Maß ; rühre, bis alles gleichmäßig vermischt ist ; wasche die wunde Stelle einmal || für den zweiten Arzneigebrauch ; gib Weißwein hinzu ; solange es noch warm ist ; koche sanft und beende diesen Arbeitsschritt	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	NEXT_PARALLEL_CELL: beide Linien können als zwei gleichrangige Fraktionen desselben Blattes gelten.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H5-LB01	H5	f56r	1	f56r.5	f56r.7	F014	F015	CONTINUE_SAME_CLAUSE	H5-S001	H5-S001	YES	CARRY_SAME_CLAUSE	H5:O01→H5:O01	H5:I01→H5:I01	H5:T01→H5:T01	MASS? > ANWENDEN? ZIEL?	0	NONE	NO	NONE	NONE	[STILL:OWNER=H5:O01] [STILL:ACTIVE=H5:I01] sammle die Pflanze im Frühjahr ; nimm danach den folgenden Zusatz oder Pflanzenteil ; die dünne untere Wurzel ; Ein vorgeschriebenes Maß || nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	RESUME_ACTIVE_ITEM: F015 könnte eine neue Klausel mit demselben Pflanzenteil beginnen.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H5-LB02	H5	f56r	2	f56r.7	f56r.8	F015	F016	RESUME_ACTIVE_ITEM	H5-S001	H5-S002	NO	RESUME_IN_NEW_CLAUSE	H5:O01→H5:O01	H5:I01→H5:I01	H5:T01→H5:T01	ANWENDEN? ZIEL? > ANWENDEN?	0	NONE	NO	NONE	NONE	[STILL:OWNER=H5:O01] [STILL:ACTIVE=H5:I01] nimm danach den folgenden Zusatz oder Pflanzenteil ; lasse es in Weißwein ziehen ; vor der Blüte gesammelt ; Die aktive Portion verwenden ; An die bezeichnete Zielstelle führen || von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	CONTINUE_SAME_CLAUSE: der Zeilenreset kann bloßer Reflow innerhalb derselben Anwendung sein.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H5-LB03	H5	f56r	3	f56r.8	f56r.12	F016	F017	NEXT_PARALLEL_CELL	H5-S002	H5-S003	NO	CARRY_OWNER_RESET_ITEM_AND_OR_TARGET	H5:O01→H5:O01	H5:I01→H5:I02	H5:T01→H5:T01	ANWENDEN? > ∅	0	NONE	NO	NONE	NONE	[STILL:OWNER=H5:O01] [STILL:ACTIVE=H5:I02] von diesem abgebildeten Simplex ; die auf feuchter schattiger Heide wächst ; Die aktive Portion verwenden ; lasse das Pflaster unbedeckt trocknen || ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	START_NEW_CLAUSE: die neue Linie kann statt einer Parallelzelle einen neuen Rezeptabschnitt eröffnen.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
H5-LB04	H5	f56r	4	f56r.12	f56r.13	F017	F018	RESUME_ACTIVE_ITEM	H5-S003	H5-S004	NO	RESUME_IN_NEW_CLAUSE	H5:O01→H5:O01	H5:I02→H5:I02	H5:T01→H5:T01	∅ > ∅	0	NONE	NO	NONE	NONE	[STILL:OWNER=H5:O01] [STILL:ACTIVE=H5:I02] ihren kleinen Samen- oder Knospenkopf ; nimm danach den folgenden Zusatz oder Pflanzenteil ; das getrocknete schmale Blatt ; trockne es im Schatten || gebrauche die frisch bereitete Arznei ; trinke es bei Magenschmerz ; bewahre den Rest trocken im Schatten	idem/de eodem/praedictum oder wiederholter recipe-/item-Anfang sind nur Vergleichsmechanismen; keine Form wird damit gleichgesetzt.	START_NEW_CLAUSE: frisch und getrocknet können zwei unabhängige Zubereitungen bezeichnen.	.40	REFERENT_CARRY_HYPOTHESIS;NO_NEW_CARD_MEANING	V61_SELECTED_46_BOUNDARIES+V62_R2_ANONYMOUS_REGISTERS
