error_serial	error_id	statement_id	record_unit_id	severity	error_code	evidence	four_register_resolution	strongest_alternative	irreducible_with_four_registers	impacts_post_state_backward_reconstruction	source_lineage
1	ERR001	H1-S001	H1	HIGH	TARGET_INFERRED_WITHOUT_EXACT_OR_LOCAL_CUE	A target-sensitive operation has no exact ZIEL? and no concrete local target cue. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:ANWENDEN? | EXACT_SELECTED:MASS? | CLOSURE:F001:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | LOCAL_PREVIOUS_CUE:REMAINDER | SOURCE_FROM:H1-LB01:RESUME_ACTIVE_ITEM	Introduce one anonymous target/station from record context.	Treat the operation as intransitive or owner-targeted.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
2	ERR002	H1-S002	H1	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:BEREIT? | CLOSURE:F002:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:H1-LB01:RESUME_ACTIVE_ITEM	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
3	ERR003	H1-S002	H1	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:BEREIT? | CLOSURE:F002:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | SOURCE_TO:H1-LB01:RESUME_ACTIVE_ITEM	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
4	ERR004	H2-S002	H2	HIGH	INFERRED_PREVIOUS_IDENTITY	A previous-item cue occurs before a uniquely stored previous item is available. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | CLOSURE:F004:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_TO:H2-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H2-LB02:NEXT_PARALLEL_CELL	Introduce one anonymous record-local previous item.	Leave the reading unresolved or import a deeper history.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
5	ERR005	H2-S002	H2	HIGH	PREVIOUS_REFERENT_CLASS_AMBIGUOUS	The cue does not choose uniquely among prior item, preparation, run, remainder or setting. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:VORIGES? | EXACT_SELECTED:MASS? | CLOSURE:F004:OPEN | LOCAL_PREVIOUS_CUE:PREVIOUS_PREPARATION | LOCAL_PREVIOUS_CUE:PREVIOUS_BATCH | SOURCE_TO:H2-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H2-LB02:NEXT_PARALLEL_CELL	Use the depth-one PREVIOUS_ITEM register.	Split PREVIOUS_ITEM into typed history registers.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
6	ERR006	H2-S003	H2	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:ANSATZ? | CLOSURE:F005:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_TO:H2-LB02:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
7	ERR007	H2-S003	H2	MEDIUM	REPEATED_ACTIVE_TRIGGER	The same statement contains repeated active-preparation or portion triggers. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:ANSATZ? | CLOSURE:F005:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_TO:H2-LB02:NEXT_PARALLEL_CELL	Treat later repetitions as confirmations of the current anonymous item.	Introduce a distinct item for every repetition.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
8	ERR008	H2-S003	H2	MEDIUM	OPEN_RECORD_END	The selected statement exits the record with an OPEN field. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:ANSATZ? | EXACT_SELECTED:ANSATZ? | CLOSURE:F005:OPEN | LOCAL_PREVIOUS_CUE:RETAINED_PART | SOURCE_TO:H2-LB02:NEXT_PARALLEL_CELL	Keep the post-state available only inside the closed record audit; do not carry it to the next record.	Infer an unmarked final commit.	YES	NO	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
9	ERR009	H3-S001	H3	HIGH	MULTIPLE_TARGETS_ONE_SLOT	More than one local target/station cue occurs in one statement. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:KLAR? | CLOSURE:F006:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_TARGET_FILLER:CLOTH	Execute them in reading order and retain the final anonymous target.	Use multiple simultaneous target slots.	YES	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
10	ERR010	H3-S001	H3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RECORD_START | EXACT_SELECTED:KLAR? | CLOSURE:F006:TERMINAL | LOCAL_TARGET_FILLER:SHADOW_PLACE | LOCAL_TARGET_FILLER:CLOTH	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
11	ERR011	H3-S003	H3	LOW	TARGET_INTRODUCTION_OVERWRITES_PRIOR_TARGET	A newly observed local target replaces a carried target. Trigger=BOUNDARY:RESUME_ACTIVE_ITEM | EXACT_SELECTED:MASS? | CLOSURE:F008:OPEN | LOCAL_TARGET_FILLER:MARKED_TARGET | SOURCE_TO:H3-LB01:RESUME_ACTIVE_ITEM | SOURCE_FROM:H3-LB02:NEXT_PARALLEL_CELL	Keep the most recently introduced target.	Retain a target stack or multi-target frame.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
12	ERR012	H3-S004	H3	MEDIUM	PREVIOUS_SLOT_OVERWRITTEN	A new active item replaces an already occupied depth-one previous slot. Trigger=BOUNDARY:NEXT_PARALLEL_CELL | EXACT_SELECTED:BEREIT? | CLOSURE:F009:OPEN | SOURCE_TO:H3-LB02:NEXT_PARALLEL_CELL	Keep only the immediately displaced active item.	Use an unbounded history stack.	NO	YES	V61_SELECTED_STATEMENT>V62_R3_ERROR_AUDIT
