record_unit_id	register	anonymous_values	value_count	initialization	semantic_status
H1	PICTURE_OWNER	OWNER_H1	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
H1	ACTIVE_ITEM_OR_PREPARATION	ITEM_H1_01	1	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
H1	TARGET_OR_STATION	NONE	0	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
H1	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	0	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
H2	PICTURE_OWNER	OWNER_H2	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
H2	ACTIVE_ITEM_OR_PREPARATION	ITEM_H2_01	1	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
H2	TARGET_OR_STATION	NONE	0	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
H2	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	0	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
H3	PICTURE_OWNER	OWNER_H3	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
H3	ACTIVE_ITEM_OR_PREPARATION	ITEM_H3_01	1	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
H3	TARGET_OR_STATION	NONE	0	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
H3	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	0	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
H4	PICTURE_OWNER	OWNER_H4	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
H4	ACTIVE_ITEM_OR_PREPARATION	ITEM_H4_01|ITEM_H4_02	2	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
H4	TARGET_OR_STATION	NONE	0	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
H4	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	1	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
H5	PICTURE_OWNER	OWNER_H5	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
H5	ACTIVE_ITEM_OR_PREPARATION	ITEM_H5_01	1	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
H5	TARGET_OR_STATION	TARGET_H5_01	1	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
H5	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	0	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
B1	PICTURE_OWNER	OWNER_B1	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
B1	ACTIVE_ITEM_OR_PREPARATION	ITEM_B1_01|ITEM_B1_02	2	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
B1	TARGET_OR_STATION	TARGET_B1_01|TARGET_B1_02|TARGET_B1_03	3	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
B1	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	1	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
B2	PICTURE_OWNER	OWNER_B2	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
B2	ACTIVE_ITEM_OR_PREPARATION	ITEM_B2_01|ITEM_B2_02|ITEM_B2_03|ITEM_B2_04	4	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
B2	TARGET_OR_STATION	TARGET_B2_01	1	EXACT_ZIEL_SLOT_ONLY	TARGET_ID_UNGROUNDED
B2	PREVIOUS_ITEM	DERIVED_FROM_ACTIVE_HISTORY	3	ON_ACTIVE_ITEM_REPLACEMENT	ANTECEDENT_UNGROUNDED
B3	PICTURE_OWNER	OWNER_B3	1	RECORD_START_FROM_IMAGE_OR_LAYOUT	REFERENT_UNGROUNDED
B3	ACTIVE_ITEM_OR_PREPARATION	ITEM_B3_01|ITEM_B3_02	2	SOURCE_STATEMENT_TRANSITION	REFERENT_UNGROUNDED
