family	word	syntax_values	source_valid_values	excluded_values	scope	independent_meaning_capacity
FUNCTIONAL	chckhdy	WOULD_BE	WOULD_BE		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	checthy	ALL	ALL		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	ched	WITHOUT_AGENT	WITHOUT_AGENT		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	chedain	FERRY,LIKEWISE,NEXT,RETURN_EXCLUDING	NEXT	FERRY,LIKEWISE,RETURN_EXCLUDING	EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	chedy	C,FIRST_CARGO,G,OTHER_CARGO,W	C,FIRST_CARGO,G,W	OTHER_CARGO	EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	cheeety	FERRY,RETURN_EXCLUDING	RETURN_EXCLUDING	FERRY	EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	chety	UNHARMED	UNHARMED		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	dal	BESIDES	BESIDES		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	lchedy	C,G,W	C,G,W		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	ldy	ALONE	ALONE		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	lkedy	PAIRED_WITH	PAIRED_WITH		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	ockhey	FORBIDDEN	FORBIDDEN		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	olsaly	ATTENDED_BY	ATTENDED_BY		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	opshedy	HOME	HOME		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	otaiin	THERE	THERE		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	otchedy	C,FIRST_CARGO,G,NEXT,OTHER_CARGO,W	OTHER_CARGO	C,FIRST_CARGO,G,NEXT,W	EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	otedy	RETURN	RETURN		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	otor	COLOC	COLOC		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
FUNCTIONAL	otshdy	GOAL	GOAL		EXHAUSTIVE_WITHIN_FIXED_SOURCE_MODEL	0
