body	head_occupancy	opaque_heads	candidate_family	analogy_family	prior_candidate_de	prior_confidence	headed_occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	formal_head_count	formal_heads	position_exceptions	position_exception_rate	capacity_points	penalty_single_formal_head	penalty_position	penalty_prior	total_penalty	discovery_direct_score	discovery_shared_surface_count	discovery_shared_surfaces	discovery_registered_surface_count	discovery_registered_surfaces	discovery_shared_fingerprint_count	discovery_shared_fingerprints	discovery_registered_fingerprint_count	discovery_registered_fingerprints	discovery_register_overlap_count	discovery_register_overlaps	discovery_recurrence_evidence_heads	discovery_recurrence_heads_balanced_ge2_exact	discovery_exact_occurrences_by_head	discovery_family_comparator	discovery_family_surface_cosine	discovery_family_axis_cosine	discovery_family_register_cosine	discovery_family_points	discovery_strong_family	discovery_working_score_not_probability	discovery_decision	w23_direct_score	w23_shared_surface_count	w23_shared_surfaces	w23_registered_surface_count	w23_registered_surfaces	w23_shared_fingerprint_count	w23_shared_fingerprints	w23_registered_fingerprint_count	w23_registered_fingerprints	w23_register_overlap_count	w23_register_overlaps	w23_recurrence_evidence_heads	w23_recurrence_heads_balanced_ge2_exact	w23_exact_occurrences_by_head	w23_family_comparator	w23_family_surface_cosine	w23_family_axis_cosine	w23_family_register_cosine	w23_family_points	w23_strong_family	w23_working_score_not_probability	w23_decision	body_renderer_license	literal_head_lexeme_credit	literal_body_lexeme_credit	component_export_credit
a	2	H2|H3	EQUAL_PART_FIELD	NONE	Gleichanteilsfeld	LOW	4	2	1	1	0	1	H2	2	0.500000	0	0	-1	-1	-2	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:2|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-2	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:2|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-2	UNDECIDABLE	0	0	0	0
ag	2	H3|H4	ENTRY_CLOSE	NONE	opaker Eintragsabschluss G	STRUCTURE_ONLY	3	0	0	0	0	0	NONE	0	0.000000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
aiiin	3	H2|H3|H4	VALUE_LADDER	VALUE_A	Ordinal-/Wertstufe IV	HIGH	5	3	4	3	1	2	H2|H4	2	0.400000	1	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:2	aiin	0.112867	0.843101	0.778312	2	0	2	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:2	aiin	0.112867	0.691095	0.778312	1	0	1	UNDECIDABLE	0	0	0	0
aiir	3	H1|H2|H3	PART_VALUE	NONE	Teil-/Anteilswert III	MEDIUM	4	2	3	3	2	1	H1	1	0.250000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:2|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
ain	3	H2|H3|H4	VALUE_LADDER	VALUE_A	Ordinal-/Wertstufe II	HIGH	86	71	89	76	25	3	H2|H3|H4	27	0.313953	2	0	0	0	0	6	6	al|cheal|cheey|chey|ol|y	2	al@R@S@B|chey@R@S@B	11	COLD|VALUE || COLD|VALUE|PREPARATION || DRY|MATERIAL || DRY|VALUE || DRY|VALUE|MATERIAL || HEAT|VALUE || HEAT|VALUE|PREPARATION || MATERIAL|PREPARATION || MOIST|VALUE || VALUE|MATERIAL || VALUE|PREPARATION	4	DRY|VALUE@R@S@B || HEAT|VALUE|PREPARATION@L@S@B || VALUE|MATERIAL@R@S@B || VALUE|PREPARATION@L@B@B	2	B|B|S|B	H2|H3|H4	1	H1:0|H2:53|H3:14|H4:4	aiin	0.421221	0.969004	0.974738	4	1	12	SUPPORTED_CROSS_HEAD	6	6	al|cheal|cheey|chey|ol|y	2	al@R@S@B|chey@R@S@B	4	COLD|VALUE || DRY|VALUE|MATERIAL || HEAT|VALUE || VALUE|PREPARATION	1	VALUE|PREPARATION@L@B@B	2	B|B|S|B	H2|H3|H4	1	H1:0|H2:53|H3:14|H4:4	aiin	0.421221	0.908635	0.974738	4	1	12	SUPPORTED_CROSS_HEAD	0	0	0	0
alar	2	H1|H2	MATERIAL_PART	NONE	Rohstoff-/Materialfraktion I	MEDIUM	2	2	1	1	0	1	H1	0	0.000000	0	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:1|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	0	UNDECIDABLE	0	0	0	0
alchey	2	H2|H3	DRY_MATERIAL	NONE	trockenes Rohmaterial, Stufe I/Form I	HIGH	2	0	0	0	0	0	NONE	1	0.500000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:0|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
alol	2	H2|H3	MATERIAL_CARRIER	NONE	Rohmaterialträger	HIGH	2	1	1	1	1	1	H2	2	1.000000	0	0	-1	0	-1	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:0|H4:0	NONE	0.000000	0.000000	0.000000	0	0	-1	UNDECIDABLE	0	0	0	0
aly	2	H2|H3	MATERIAL_SERIES	NONE	Rohstoff-/Materialstufe I, Grundform	HIGH	6	4	6	5	2	2	H2|H3	2	0.333333	2	0	-1	0	-1	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|S|B	NONE	0	H1:0|H2:2|H3:2|H4:0	NONE	0.000000	0.000000	0.000000	0	0	2	UNDECIDABLE	1	0	NONE	0	NONE	0	NONE	0	NONE	2	B|B|S|B	NONE	0	H1:0|H2:2|H3:2|H4:0	NONE	0.000000	0.000000	0.000000	0	0	2	UNDECIDABLE	0	0	0	0
araiin	2	H2|H3	PART_VALUE	NONE	Teil-/Fraktionsstufe I: Wert III	HIGH	7	4	3	2	1	1	H3	1	0.142857	1	0	0	0	0	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	NONE	0	NONE	0	NONE	0	NONE	0	NONE	NONE	0	H1:0|H2:1|H3:3|H4:0	NONE	0.000000	0.000000	0.000000	0	0	1	UNDECIDABLE	0	0	0	0
