held_form_id	form	opaque_head_id	body	head_occupancy	occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	line_first	line_middle	line_last	exact_line_first	exact_line_middle	exact_line_last	position_exceptions	position_exception_rate	discovery_body_decision	discovery_body_score_not_probability	discovery_form_gate	discovery_form_decision	w23_body_decision	w23_body_score_not_probability	w23_form_gate	w23_form_decision	discovery_working_whole_de	licensed_working_whole_de	renderer_license	renderer_scope	unconditional_global_export	literal_head_lexeme_credit	literal_body_lexeme_credit	component_export_credit
G737-F001	sa	H2	a	2	3	2	1	1	0	1	2	0	1	1	0	2	0.666667	UNDECIDABLE	-2	0	UNDECIDABLE	UNDECIDABLE	-2	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F002	ra	H3	a	2	1	0	0	0	0	0	1	0	0	0	0	0	0.000000	UNDECIDABLE	-2	0	UNDECIDABLE	UNDECIDABLE	-2	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F003	rag	H3	ag	2	2	0	0	0	0	0	0	2	0	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F004	lag	H4	ag	2	1	0	0	0	0	0	0	1	0	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F005	saiiin	H2	aiiin	3	2	1	2	1	1	0	2	0	0	1	0	2	1.000000	UNDECIDABLE	2	0	UNDECIDABLE	UNDECIDABLE	1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F006	raiiin	H3	aiiin	3	1	0	0	0	0	0	1	0	0	0	0	0	0.000000	UNDECIDABLE	2	0	UNDECIDABLE	UNDECIDABLE	1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F007	laiiin	H4	aiiin	3	2	2	2	2	0	0	2	0	0	2	0	0	0.000000	UNDECIDABLE	2	0	UNDECIDABLE	UNDECIDABLE	1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F008	paiir	H1	aiir	3	2	2	3	3	2	1	1	0	1	1	0	1	0.500000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F009	saiir	H2	aiir	3	1	0	0	0	0	1	0	0	0	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F010	raiir	H3	aiir	3	1	0	0	0	0	0	1	0	0	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F011	sain	H2	ain	3	60	53	60	52	15	34	20	6	29	18	6	26	0.433333	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	Skalarstufe II	Skalarstufe II	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0	0
G737-F012	rain	H3	ain	3	21	14	21	16	8	1	15	5	0	11	3	1	0.047619	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	Skalarstufe II, Rückbezug	Skalarstufe II, Rückbezug	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0	0
G737-F013	lain	H4	ain	3	5	4	8	8	2	0	5	0	0	4	0	0	0.000000	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	SUPPORTED_CROSS_HEAD	12	1	SUPPORTED_SCOPED_WHOLE	internes Skalarfeld II	internes Skalarfeld II	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0	0
G737-F014	palar	H1	alar	2	1	1	1	1	0	1	0	0	1	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F015	salar	H2	alar	2	1	1	0	0	0	1	0	0	1	0	0	0	0.000000	UNDECIDABLE	0	0	UNDECIDABLE	UNDECIDABLE	0	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F016	salchey	H2	alchey	2	1	0	0	0	0	0	1	0	0	0	0	1	1.000000	UNDECIDABLE	-1	0	UNDECIDABLE	UNDECIDABLE	-1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F017	ralchey	H3	alchey	2	1	0	0	0	0	0	0	1	0	0	0	0	0.000000	UNDECIDABLE	-1	0	UNDECIDABLE	UNDECIDABLE	-1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F018	salol	H2	alol	2	1	1	1	1	1	0	1	0	0	1	0	1	1.000000	UNDECIDABLE	-1	0	UNDECIDABLE	UNDECIDABLE	-1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
G737-F019	ralol	H3	alol	2	1	0	0	0	0	1	0	0	0	0	0	1	1.000000	UNDECIDABLE	-1	0	UNDECIDABLE	UNDECIDABLE	-1	0	UNDECIDABLE	NONE	NONE	0	NONE	0	0	0	0
