patch_id	card_id	occurrence_id	page	locus	token_index	surface	body	opaque_head_id	line_position	position_exception	exact_whole_fallback_used	section	language	previous_surface	next_surface	surface_line	gdt738_scoped_whole_render_de	scope	unconditional_global_export	literal_plaintext_claimed	component_export_credit
G738-P0001	G738-W01	G737-O0258	f111v	f111v.31	5	lain	ain	H4	MIDDLE	0	0	S	B	cheal	chey	pochey oteain chekain cheal lain chey qokain chey lkain chal ldy llm	internes Skalarfeld II; Dimension lokal	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0002	G738-W01	G737-O0342	f113v	f113v.46	4	lain	ain	H4	MIDDLE	0	0	S	B	cheey	al	o lkaiin cheey lain al cheey	internes Skalarfeld II; Dimension lokal	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0003	G738-W01	G737-O0407	f116r	f116r.17	5	lain	ain	H4	MIDDLE	0	0	S	B	okeey	okeey	dain chey qokeey okeey lain okeey qol chedy	internes Skalarfeld II; Dimension lokal	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0004	G738-W01	G737-O0502	f46r	f46r.13	8	lain	ain	H4	MIDDLE	0	0	H	B	ols	y	ar akaiin shol okeey chol dar ols lain y	internes Skalarfeld II; Dimension lokal	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0005	G738-W02	G737-O0026	f103r	f103r.47	6	lcheedy	cheedy	H4	MIDDLE	0	0	S	B	qokaly	oloraiin	ssheey okeeo l lchey qokaly lcheedy oloraiin	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0006	G738-W02	G737-O0072	f104v	f104v.20	3	lcheedy	cheedy	H4	MIDDLE	0	0	S	B	sheeo	qokeey	or sheeo lcheedy qokeey qochey qotcheedy qotchedy qokol chor chorol chdar otam	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0007	G738-W02	G737-O0100	f106r	f106r.12	2	lcheedy	cheedy	H4	MIDDLE	0	0	S	B	okeey	olkeey	okeey lcheedy olkeey qokeeo dchedy	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0008	G738-W02	G737-O0162	f107v	f107v.28	4	lcheedy	cheedy	H4	MIDDLE	0	0	S	B	cheol	raraiin	y cheor cheol lcheedy raraiin	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0009	G738-W02	G737-O0593	f76v	f76v.21	8	lcheedy	cheedy	H4	MIDDLE	0	0	B	B	chey	lchedy	cthedy oteol chdar chckhy chees salkchdy chey lcheedy lchedy qoteedy	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0010	G738-W02	G737-O0703	f82r	f82r.24	2	lcheedy	cheedy	H4	MIDDLE	0	0	B	B	qokeedy	qokeoy	qokeedy lcheedy qokeoy sal raiin qokeey lkeey qokeey raiin ydy	Trockenresultat II; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0011	G738-W03	G737-O0155	f107v	f107v.12	2	lcheol	cheol	H4	MIDDLE	0	0	S	B	qokeey	chol	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0012	G738-W03	G737-O0213	f111r	f111r.2	11	lcheol	cheol	H4	MIDDLE	0	0	S	B	chcthy	oteeam	daiin sheeky okeey okeey qaal shedy okeey oteey shedy chcthy lcheol oteeam	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
G738-P0013	G738-W03	G737-O0251	f111v	f111v.23	6	lcheol	cheol	H4	MIDDLE	0	0	S	B	chckhedy	okaiin	qokaiin sheckhy qokar chalkain chckhedy lcheol okaiin qokain cheol daiin lam	trocken; Träger offen	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCE	0	0	0
