card_id	surface	opaque_head_id	body	selected_whole_de	first_realization_de	middle_realization_de	last_realization_de	w23_allowed_positions	w23_license_note	dimension_status	patient_status	occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	position_exceptions	w23_body_score_not_probability	form_decision	selection_basis	positive_evidence	counterevidence	renderer_license	renderer_scope	unconditional_global_export	literal_plaintext_claimed	component_export_credit
G738-W01	lain	H4	ain	internes Skalarfeld II	HOLD	internes Skalarfeld II; Dimension lokal	HOLD	MIDDLE	W23 intersection passed; internal position only	OPEN	NOT_APPLICABLE	5	4	8	8	2	0	12	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	five occurrences; four reader-exact; cross-head value-family support	low count; dimension open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W02	lcheedy	H4	cheedy	Trockenresultat II; Träger offen	HOLD	Trockenresultat II; Träger offen	HOLD	MIDDLE	W23 intersection passed; internal position only	OPEN	OPEN	9	6	9	7	3	0	4	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	nine occurrences; six reader-exact; dry-result family transfer	three reader variants; local repetition; exact result dimension open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W03	lcheol	H4	cheol	trocken; Träger offen	Trockenstatus-Eintrag; Träger offen	trocken; Träger offen	HOLD	FIRST|MIDDLE	W23 intersection passed as a learned complete whole at both observed positions	NOT_APPLICABLE	OPEN	8	8	12	11	3	2	6	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	eight of eight reader-exact; family transfer; readable beside state fields	two initial H4 exceptions; universal H4-field rendering rejected	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W04	lkaiin	H4	kaiin	Wärme-/Verarbeitungsstufe III	HOLD	Wärme-/Verarbeitungsstufe III	Wärme-/Verarbeitungsstufe III	MIDDLE|LAST	W23 intersection passed for middle and last; the exact initial H4 exception remains unrendered	OPEN	OPEN	48	43	57	42	15	1	7	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	48 occurrences; 43 reader-exact; strong heat-value family transfer	one exact initial H4 exception; local repetition; heat is leading orientation rather than recovered word	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W05	lkain	H4	kain	Wärme-/Verarbeitungsstufe II	HOLD	Wärme-/Verarbeitungsstufe II	Wärme-/Verarbeitungsstufe II	MIDDLE|LAST	W23 intersection passed; middle and last only	OPEN	OPEN	33	27	40	38	12	0	7	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	33 occurrences; 27 reader-exact; heat-value family transfer	one repeated line; dimension remains open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W06	lkar	H4	kar	erhitzte Teil-/Fraktionsstufe I	HOLD	erhitzte Teil-/Fraktionsstufe I; Träger offen	erhitzte Teil-/Fraktionsstufe I; Träger offen	MIDDLE|LAST	W23 intersection passed; middle and last only	OPEN	OPEN	31	29	44	37	7	0	9	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	31 occurrences; 29 reader-exact; strong kar-ar family analogy	state versus part hierarchy remains open; repetitions	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W07	lsheedy	H4	sheedy	Feucht-/Einweichresultat II; Träger offen	HOLD	Feucht-/Einweichresultat II; Träger offen	HOLD	MIDDLE	W23 intersection passed; internal position only	OPEN	OPEN	7	4	5	4	0	0	9	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	seven occurrences; four reader-exact; direct cross-head support	three reader variants; moist versus soaked open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W08	pcheol	H1	cheol	trocken; Träger offen	Trockenstatus-Eintrag; Träger offen	trocken; Träger offen	HOLD	FIRST|MIDDLE	W23 intersection passed; first and middle only	NOT_APPLICABLE	OPEN	10	10	10	7	2	4	6	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	ten of ten reader-exact; dry carrier family and exact contexts	no written carrier substance identified; entry versus learned lemma	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W09	rain	H3	ain	Skalarstufe II, Rückbezug	HOLD	Skalarstufe II, interner Rückbezug; Dimension lokal	Skalarstufe II, Abschlussbezug; Dimension lokal	MIDDLE|LAST	W23 intersection passed; the exact initial position exception remains unrendered	OPEN	NOT_APPLICABLE	21	14	21	16	8	1	12	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	21 occurrences; 14 reader-exact; cross-head value-family support	one reader-exact initial position exception; seven reader variants; dimension open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
G738-W10	rsheedy	H3	sheedy	Feucht-/Einweichresultat II, Rückbezug	HOLD	Feucht-/Einweichresultat II, interner Rückbezug	HOLD	MIDDLE	W23 intersection passed; all observed and reader-exact occurrences are internal	OPEN	OPEN	3	2	3	3	0	0	9	SUPPORTED_SCOPED_WHOLE	ALGORITHMIC_W23_AXIS195_BODY_AND_FORM_GATE	three occurrences; two reader-exact; direct cross-head support	low count; one non-exact internal occurrence; moist versus soaked and exact dimension open	1	EXACT_COMPLETE_SURFACE_AT_ENUMERATED_OCCURRENCES	0	0	0
