discovery_card_id	surface	opaque_head_id	body	selected_whole_de	first_realization_de	middle_realization_de	last_realization_de	observed_positions	reader_exact_positions	discovery_card_visible	w23_renderer_license	w23_allowed_positions	w23_license_note	occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	discovery_body_score_not_probability	w23_body_score_not_probability	discovery_form_decision	w23_form_decision	confidence	dimension_status	patient_status	positive_evidence	counterevidence	unconditional_global_export	literal_plaintext_claimed	component_export_credit
G738-D01	sain	H2	ain	Skalarstufe II	Skalarposten II; Dimension lokal	Skalarstufe II; Dimension lokal	Skalarstufe II; Dimension lokal	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	FIRST|MIDDLE|LAST	W23 intersection passed; render only enumerated reader-exact occurrences	60	53	60	52	15	12	12	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	HIGH	OPEN	NOT_APPLICABLE	60 occurrences; 53 reader-exact; cross-head value-family support	H and T often late; absolute start value and dimension open; sain ain can be redundant	0	0	0
G738-D02	rain	H3	ain	Skalarstufe II, Rückbezug	HOLD	Skalarstufe II, interner Rückbezug; Dimension lokal	Skalarstufe II, Abschlussbezug; Dimension lokal	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; the exact initial position exception remains unrendered	21	14	21	16	8	12	12	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	MEDIUM_HIGH	OPEN	NOT_APPLICABLE	21 occurrences; 14 reader-exact; cross-head value-family support	one reader-exact initial position exception; seven reader variants; dimension open	0	0	0
G738-D03	lain	H4	ain	internes Skalarfeld II	HOLD	internes Skalarfeld II; Dimension lokal	HOLD	MIDDLE	MIDDLE	1	1	MIDDLE	W23 intersection passed; internal position only	5	4	8	8	2	12	12	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	MEDIUM	OPEN	NOT_APPLICABLE	five occurrences; four reader-exact; cross-head value-family support	low count; dimension open	0	0	0
G738-D04	lkaiin	H4	kaiin	Wärme-/Verarbeitungsstufe III	HOLD	Wärme-/Verarbeitungsstufe III	Wärme-/Verarbeitungsstufe III	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed for middle and last; the exact initial H4 exception remains unrendered	48	43	57	42	15	7	7	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	HIGH	OPEN	OPEN	48 occurrences; 43 reader-exact; strong heat-value family transfer	one exact initial H4 exception; local repetition; heat is leading orientation rather than recovered word	0	0	0
G738-D05	skaiin	H2	kaiin	Wärme-/Verarbeitungsstufe III	Wärme-/Verarbeitungsstufenposten III	Wärme-/Verarbeitungsstufe III	HOLD	FIRST|MIDDLE	FIRST|MIDDLE	1	1	FIRST|MIDDLE	W23 intersection passed as a learned complete whole at both observed positions	3	3	4	3	1	7	7	SUPPORTED_EXACT_WHOLE_EXCEPTION	SUPPORTED_EXACT_WHOLE_EXCEPTION	MEDIUM	OPEN	OPEN	three of three reader-exact between dry and moist fields	H2 occurs twice internally; learned whole required; low count	0	0	0
G738-D06	lkain	H4	kain	Wärme-/Verarbeitungsstufe II	HOLD	Wärme-/Verarbeitungsstufe II	Wärme-/Verarbeitungsstufe II	MIDDLE|LAST	MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; middle and last only	33	27	40	38	12	7	7	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	HIGH	OPEN	OPEN	33 occurrences; 27 reader-exact; heat-value family transfer	one repeated line; dimension remains open	0	0	0
G738-D07	lkeey	H4	keey	Wärme-/Verarbeitungsform II	HOLD	Wärme-/Verarbeitungsform II	Wärme-/Verarbeitungsform II	FIRST|MIDDLE|LAST	FIRST|MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	38	34	44	38	17	8	6	SUPPORTED_SCOPED_WHOLE	UNDECIDABLE	HIGH	OPEN	OPEN	38 occurrences; 34 reader-exact; heat-state family transfer	one exact initial H4 exception; local repetition; W23 licence absent	0	0	0
G738-D08	lkey	H4	key	Wärme-/Verarbeitungsform I	HOLD	Wärme-/Verarbeitungsform I	Wärme-/Verarbeitungsform I	MIDDLE|LAST	MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	7	7	10	7	1	6	5	SUPPORTED_SCOPED_WHOLE	UNDECIDABLE	MEDIUM_HIGH	OPEN	OPEN	seven of seven reader-exact; heat-state family transfer	small series; W23 licence absent	0	0	0
G738-D09	lky	H4	ky	erhitzte oder intensiv bearbeitete Grundform	HOLD	erhitzte oder intensiv bearbeitete Grundform	erhitzte oder intensiv bearbeitete Grundform	MIDDLE|LAST	MIDDLE|LAST	1	0	NONE	Discovery card only; W23 intersection failed and no occurrence may be rendered	19	16	19	12	3	7	6	SUPPORTED_SCOPED_WHOLE	UNDECIDABLE	MEDIUM_HIGH	OPEN	OPEN	19 occurrences; 16 reader-exact; heat-state family transfer	appears between cooling fields on one line; heat versus process intensity open; W23 licence absent	0	0	0
G738-D10	lkar	H4	kar	erhitzte Teil-/Fraktionsstufe I	HOLD	erhitzte Teil-/Fraktionsstufe I; Träger offen	erhitzte Teil-/Fraktionsstufe I; Träger offen	MIDDLE|LAST	MIDDLE|LAST	1	1	MIDDLE|LAST	W23 intersection passed; middle and last only	31	29	44	37	7	10	9	SUPPORTED_SCOPED_WHOLE	SUPPORTED_SCOPED_WHOLE	HIGH	OPEN	OPEN	31 occurrences; 29 reader-exact; strong kar-ar family analogy	state versus part hierarchy remains open; repetitions	0	0	0
