surface	inherited_or_rival_de	best_remaining_candidate_de	decision	reason	object_type	algorithmic_w23_decision	occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	position_exceptions	gdt737_inherited_decision	manual_text_is_audit_only	renderer_license_from_this_table	component_export_credit
so	Ansatz-/Zubereitungsrahmen	H2-Ganzform unbekannter Funktion	HOLD	one first, five middle and one last; neighbours and function vary	HEADED_WHOLE	UNDECIDABLE	7	5	6	4	2	6	NO_GDT737_WHOLE_CARD	1	0	0
ro	Ansatz-/Zubereitungsrahmen	späte Bezugsform mit offenem Inhalt	HOLD	body o does not identify water or preparation and form is mostly late	HEADED_WHOLE	UNDECIDABLE	7	6	3	1	1	0	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	1	0	0
lo	Ansatz-/Zubereitungsrahmen	internes Feld mit offenem Inhalt	HOLD	body o does not identify water or preparation	HEADED_WHOLE	UNDECIDABLE	20	15	9	7	1	0	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	1	0	0
lchor	Trockenanteil	Trockenanteil bleibt Rivale	HOLD	only two of four reader-exact and split evenly between first and middle	HEADED_WHOLE	UNDECIDABLE	4	2	1	1	0	2	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	1	0	0
schor	möglicher Trockenteil-Posten	möglicher Trockenteil-Posten	HOLD	three exact cases are insufficient for a stable whole card	HEADED_WHOLE	UNDECIDABLE	3	3	2	2	1	1	NO_GDT737_WHOLE_CARD	1	0	0
char	trockene Teil-/Fraktionsstufe I	Teil-/Fraktionsstufe I; Trockenachse unentschieden	HOLD_CONTRADICTED_FAMILY_TRANSFER	high-capacity family comparison does not transfer	BODY_TRANSFER	CONTRADICTED_FAMILY_TRANSFER	8	6	8	7	4	4	NO_GDT737_WHOLE_CARD	1	0	0
cheody	trocken aufbereitetes Ergebnis	Zubereitungs-/Resultatform unentschieden	HOLD_CONTRADICTED_FAMILY_TRANSFER	high-capacity family comparison does not transfer	BODY_TRANSFER	CONTRADICTED_FAMILY_TRANSFER	6	5	8	5	3	2	NO_GDT737_WHOLE_CARD	1	0	0
sary	Teilmarke I; final abgeschlossen	Teil-/Fraktionsmarke I	HOLD	five reader-exact but six of seven H2 position exceptions; closure is only a final rival	HEADED_WHOLE	UNDECIDABLE	7	5	4	3	1	6	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	1	0	0
pchor	Trockenteil-Eintrag	Teil-/Portionsträger mit offener Trockenachse	HOLD	manual reading is coherent but chor-or surface-family transfer is weak	HEADED_WHOLE	UNDECIDABLE	12	10	9	5	2	5	NO_GDT737_WHOLE_CARD	1	0	0
lsheey	Feuchtform II	Feucht-/Zustandsform II	HOLD	manual contexts fit but body family did not pass the quantitative transfer gate	HEADED_WHOLE	UNDECIDABLE	6	6	10	10	6	0	QUARANTINE_RETIRED_HEAD_NOUN_DERIVATION	1	0	0
psheody	Feuchtzubereitungs-Eintrag	Feucht-/Resultatform mit offenem Träger	HOLD	three reader-exact opener contexts but family transfer remains undecided	HEADED_WHOLE	UNDECIDABLE	4	3	2	1	0	0	NO_GDT737_WHOLE_CARD	1	0	0
lsheody	Feuchtzubereitung	Feucht-/Resultatform mit offenem Träger	HOLD	three reader-exact but only one strong semantic neighbour and two H4 position exceptions	HEADED_WHOLE	UNDECIDABLE	3	3	3	1	0	2	NO_GDT737_WHOLE_CARD	1	0	0
solaiin	VERWORFENE ALTAUSLEGUNG: drei Portionen Salz	Material-/Wertposten III; Stoff und Absolutwert offen	HOLD_RETIRED_LITERAL_MATERIAL	one context; the quoted old reading is an audit target only and is not an active meaning	HEADED_WHOLE	UNDECIDABLE	1	1	1	1	0	0	RETAIN_CURRENT_EXACT_WHOLE_WORKING_DEFAULT	1	0	0
sols	VERWORFENE ALTAUSLEGUNG: fertige Salzspecies	fertige oder abgeschlossene Form; Stoff offen	HOLD_RETIRED_LITERAL_MATERIAL	three contexts, two reader-exact; the quoted old reading is an audit target only and is not an active meaning	HEADED_WHOLE	UNDECIDABLE	3	2	1	1	1	2	RETAIN_CURRENT_EXACT_WHOLE_WORKING_DEFAULT	1	0	0
