analogy_family	member_order	body_label	panel	discovery_decision	w23_decision	working_orientation	literal_body_lexeme_credit	component_export_credit
VALUE_A	1	ain	HELD_120	SUPPORTED_CROSS_HEAD	SUPPORTED_CROSS_HEAD	host-selected scalar; dimension and absolute start open	0	0
VALUE_A	2	aiin	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	host-selected scalar; dimension and absolute start open	0	0
VALUE_A	3	aiiin	HELD_120	UNDECIDABLE	UNDECIDABLE	host-selected scalar; dimension and absolute start open	0	0
HEAT_VALUE_KA	1	kain	HELD_120	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	heat or processing intensity crossed with a scalar	0	0
HEAT_VALUE_KA	2	kaiin	HELD_120	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	heat or processing intensity crossed with a scalar	0	0
HEAT_STATE_KY	1	ky	HELD_120	SUPPORTED_FAMILY_ONLY	UNDECIDABLE	heat or processing-intensity state	0	0
HEAT_STATE_KY	2	key	HELD_120	SUPPORTED_FAMILY_ONLY	UNDECIDABLE	heat or processing-intensity state	0	0
HEAT_STATE_KY	3	keey	HELD_120	SUPPORTED_FAMILY_ONLY	UNDECIDABLE	heat or processing-intensity state	0	0
DRY_RESULT_CHDY	1	chdy	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	dry or firm result; patient open	0	0
DRY_RESULT_CHDY	2	chedy	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	dry or firm result; patient open	0	0
DRY_RESULT_CHDY	3	cheedy	HELD_120	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	dry or firm result; patient open	0	0
MOIST_RESULT_SHDY	1	shdy	HELD_120	UNDECIDABLE	UNDECIDABLE	moist, soft or soaked result; patient open	0	0
MOIST_RESULT_SHDY	2	shedy	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	moist, soft or soaked result; patient open	0	0
MOIST_RESULT_SHDY	3	sheedy	HELD_120	SUPPORTED_CROSS_HEAD	SUPPORTED_CROSS_HEAD	moist, soft or soaked result; patient open	0	0
PREP_O	1	o	HELD_120	UNDECIDABLE	CONTRADICTED_FAMILY_TRANSFER	preparation remains an unlicensed rival	0	0
PREP_O	2	oiin	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	preparation remains an unlicensed rival	0	0
PREP_O	3	oaiin	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	preparation remains an unlicensed rival	0	0
PREP_O	4	odaiin	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	preparation remains an unlicensed rival	0	0
PART_AR	1	ar	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	part, fraction or share field; carrier open	0	0
PART_AR	2	kar	HELD_120	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	part, fraction or share field; carrier open	0	0
PART_AR	3	okar	HELD_120	UNDECIDABLE	UNDECIDABLE	part, fraction or share field; carrier open	0	0
PART_AR	4	char	HELD_120	CONTRADICTED_FAMILY_TRANSFER	CONTRADICTED_FAMILY_TRANSFER	part, fraction or share field; carrier open	0	0
PART_AR	5	chear	HELD_120	UNDECIDABLE	UNDECIDABLE	part, fraction or share field; carrier open	0	0
DRY_PART_OR	1	or	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	dry crossed with part/share; patient open	0	0
DRY_PART_OR	2	chor	HELD_120	UNDECIDABLE	CONTRADICTED_FAMILY_TRANSFER	dry crossed with part/share; patient open	0	0
DRY_PART_OR	3	cheor	HELD_120	SUPPORTED_FAMILY_ONLY	UNDECIDABLE	dry crossed with part/share; patient open	0	0
MATERIAL_OL	1	ol	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	state carrier with patient identity open	0	0
MATERIAL_OL	2	cheol	HELD_120	SUPPORTED_FAMILY_ONLY	SUPPORTED_FAMILY_ONLY	state carrier with patient identity open	0	0
MATERIAL_OL	3	chal	HELD_120	UNDECIDABLE	CONTRADICTED_FAMILY_TRANSFER	state carrier with patient identity open	0	0
MATERIAL_OL	4	olchey	HELD_120	UNDECIDABLE	UNDECIDABLE	state carrier with patient identity open	0	0
PREP_RESULT_ODY	1	ody	TRAINING_24	COMPARATOR_ONLY	COMPARATOR_ONLY	preparation/result or process pass remains open	0	0
PREP_RESULT_ODY	2	chody	HELD_120	UNDECIDABLE	UNDECIDABLE	preparation/result or process pass remains open	0	0
PREP_RESULT_ODY	3	cheody	HELD_120	CONTRADICTED_FAMILY_TRANSFER	CONTRADICTED_FAMILY_TRANSFER	preparation/result or process pass remains open	0	0
PREP_RESULT_ODY	4	sheody	HELD_120	UNDECIDABLE	UNDECIDABLE	preparation/result or process pass remains open	0	0
