body	family	working_axis_tags	prior_candidate_de_unlicensed	prior_confidence	headed_occurrences	reader_exact_occurrences	formal705_slots	sem570_slots	w23_axis195_slots	discovery_score_not_probability	discovery_decision	w23_score_not_probability	w23_decision	discovery_complete_forms	renderer_licensed_complete_forms	state_patient_status	scalar_dimension_status	body_renderer_license	literal_head_lexeme_credit	literal_body_lexeme_credit	component_export_credit
a	EQUAL_PART_FIELD	PART	Gleichanteilsfeld	LOW	4	2	1	1	0	-2	UNDECIDABLE	-2	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
ag	ENTRY_CLOSE	CLOSE	opaker Eintragsabschluss G	STRUCTURE_ONLY	3	0	0	0	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
aiiin	VALUE_LADDER	VALUE	Ordinal-/Wertstufe IV	HIGH	5	3	4	3	1	2	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
aiir	PART_VALUE	VALUE|PART	Teil-/Anteilswert III	MEDIUM	4	2	3	3	2	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
ain	VALUE_LADDER	VALUE	Ordinal-/Wertstufe II	HIGH	86	71	89	76	25	12	SUPPORTED_CROSS_HEAD	12	SUPPORTED_CROSS_HEAD	3	3	NOT_IDENTIFIED	OPEN	0	0	0	0
alar	MATERIAL_PART	PART|MATERIAL	Rohstoff-/Materialfraktion I	MEDIUM	2	2	1	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
alchey	DRY_MATERIAL	DRY|MATERIAL	trockenes Rohmaterial, Stufe I/Form I	HIGH	2	0	0	0	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	OPEN	NOT_APPLICABLE	0	0	0	0
alol	MATERIAL_CARRIER	MATERIAL	Rohmaterialträger	HIGH	2	1	1	1	1	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
aly	MATERIAL_SERIES	MATERIAL	Rohstoff-/Materialstufe I, Grundform	HIGH	6	4	6	5	2	2	UNDECIDABLE	2	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
araiin	PART_VALUE	VALUE|PART	Teil-/Fraktionsstufe I: Wert III	HIGH	7	4	3	2	1	1	UNDECIDABLE	1	UNDECIDABLE	0	0	NOT_IDENTIFIED	OPEN	0	0	0	0
aral	MATERIAL_PART	PART|MATERIAL	Rohstoff-/Materialfraktion I	HIGH	4	3	1	1	0	-1	UNDECIDABLE	-1	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
aram	PART_CLOSE	CLOSE|PART	Teil-/Fraktionsstufe I, Eintragsabschluss	MEDIUM_HIGH	5	3	1	1	0	0	UNDECIDABLE	0	UNDECIDABLE	0	0	NOT_IDENTIFIED	NOT_APPLICABLE	0	0	0	0
